job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Accenture Federal Services:4710190006,Accenture Federal Services,Associate Software Engineer-Hire-to-Train Program - Pega,"Arlington, VA +1",,https://boards.greenhouse.io/accenturefederalservices/jobs/4710190006?gh_jid=4710190006,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,Software Engineering,true,CLI,72,"Strong software engineering foundation in Python, C++, C#, Java, backend systems, testing, APIs, databases, Docker, and OOP, but no direct Pega or enterprise workflow-platform experience.",true,speedyapply:SpeedyApply SWE:4710190006
Accenture Federal Services:4703600006,Accenture Federal Services,Cloud DevOps Engineer,"Los Angeles, CA",,https://boards.greenhouse.io/accenturefederalservices/jobs/4703600006?gh_jid=4703600006,,,2026-08-21T13:10:37+00:00,2026-08-21 06:10 Fri,Software Engineering,true,Keyword,48,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:4703600006
Accenture Federal Services:https://boards.greenhouse.io/accenturefederalservices/jobs/4699806006?gh_jid=4699806006,Accenture Federal Services,Cybersecurity Cloud Automation Engineer,"Lorton, VA",,https://boards.greenhouse.io/accenturefederalservices/jobs/4699806006?gh_jid=4699806006,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply SWE:https://boards.greenhouse.io/accenturefederalservices/jobs/4699806006?gh_jid=4699806006
Accenture Federal Services:https://boards.greenhouse.io/accenturefederalservices/jobs/4698769006?gh_jid=4698769006,Accenture Federal Services,Full Stack Developer,"Chantilly, VA",,https://boards.greenhouse.io/accenturefederalservices/jobs/4698769006?gh_jid=4698769006,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://boards.greenhouse.io/accenturefederalservices/jobs/4698769006?gh_jid=4698769006
Accenture Federal Services:https://boards.greenhouse.io/accenturefederalservices/jobs/4689012006?gh_jid=4689012006,Accenture Federal Services,Jr. Data Scientist,"Annapolis Junction, MD",,https://boards.greenhouse.io/accenturefederalservices/jobs/4689012006?gh_jid=4689012006,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,AI / ML,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply AI:https://boards.greenhouse.io/accenturefederalservices/jobs/4689012006?gh_jid=4689012006|speedyapply:SpeedyApply AI:4689012006
Accenture Federal Services:https://boards.greenhouse.io/accenturefederalservices/jobs/4689020006?gh_jid=4689020006,Accenture Federal Services,Jr. DevOps Engineer,"Annapolis Junction, MD",,https://boards.greenhouse.io/accenturefederalservices/jobs/4689020006?gh_jid=4689020006,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://boards.greenhouse.io/accenturefederalservices/jobs/4689020006?gh_jid=4689020006|speedyapply:SpeedyApply SWE:4689020006
Accenture Federal Services:https://boards.greenhouse.io/accenturefederalservices/jobs/4695845006?gh_jid=4695845006,Accenture Federal Services,Jr. Pega Developer,"Arlington, VA +1",,https://boards.greenhouse.io/accenturefederalservices/jobs/4695845006?gh_jid=4695845006,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply SWE:https://boards.greenhouse.io/accenturefederalservices/jobs/4695845006?gh_jid=4695845006
Accenture Federal Services:https://boards.greenhouse.io/accenturefederalservices/jobs/4689025006?gh_jid=4689025006,Accenture Federal Services,Jr. Software Engineer,"Annapolis Junction, MD",,https://boards.greenhouse.io/accenturefederalservices/jobs/4689025006?gh_jid=4689025006,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://boards.greenhouse.io/accenturefederalservices/jobs/4689025006?gh_jid=4689025006|speedyapply:SpeedyApply SWE:4689025006
Accenture Federal Services:https://boards.greenhouse.io/accenturefederalservices/jobs/4690994006?gh_jid=4690994006,Accenture Federal Services,Junior DevOps Engineer,"Hanover, MD",,https://boards.greenhouse.io/accenturefederalservices/jobs/4690994006?gh_jid=4690994006,,,2026-07-22T14:17:42+00:00,2026-07-22 07:17 Wed,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://boards.greenhouse.io/accenturefederalservices/jobs/4690994006?gh_jid=4690994006|speedyapply:SpeedyApply SWE:4690994006
Accenture Federal Services:https://boards.greenhouse.io/accenturefederalservices/jobs/4693259006?gh_jid=4693259006,Accenture Federal Services,Pega Application Developer,"Arlington, VA +1",,https://boards.greenhouse.io/accenturefederalservices/jobs/4693259006?gh_jid=4693259006,,,2026-08-01T13:58:56+00:00,2026-08-01 06:58 Sat,,false,,,,false,speedyapply:SpeedyApply SWE:https://boards.greenhouse.io/accenturefederalservices/jobs/4693259006?gh_jid=4693259006|speedyapply:SpeedyApply SWE:4693259006
