job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Acuity:ebd1a990-7552-480b-a93a-c92759aefe05,Acuity,AI Product Management Specialist - Business Analyst,"Atlanta, GA",Product,https://careers.acuityinc.com/job/Atlanta-BUILD-Leadership-Program-Business-Analyst-Tech-Product-Management-Specialist-GA-30309/1429284000/?ats=successfactors,2026-09-12,2026-09-12,2026-09-12T01:41:05+00:00,2026-09-11 18:41 Fri,,false,,,,false,simplify:Simplify New Grad:ebd1a990-7552-480b-a93a-c92759aefe05,2026-09-12
Acuity:65385932-6dbf-4273-a714-fb96e148e534,Acuity,Data & AI Specialist - BUILD Leadership Program,"Atlanta, GA",AI/ML/Data,https://careers.acuityinc.com/job/Atlanta-Specialist-Data-&-AI-BUILD-Leadership-Program-GA-30309/1429285300/?ats=successfactors,2026-09-12,2026-09-12,2026-09-12T01:41:05+00:00,2026-09-11 18:41 Fri,,false,,,,false,simplify:Simplify New Grad:65385932-6dbf-4273-a714-fb96e148e534,2026-09-12
Acuity:https://careers-myacuity.icims.com/jobs/4169/data-engineer---aws-databricks/job,Acuity,Data Engineer - AWS/Databricks,"Reston, VA",,https://careers-myacuity.icims.com/jobs/4169/data-engineer---aws-databricks/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply AI:https://careers-myacuity.icims.com/jobs/4169/data-engineer---aws-databricks/job,
Acuity:4305964e-67a9-4802-9788-7885664c1c5c,Acuity,Firmware Development Intern,"Brossard, QC, Canada",Hardware,https://careers.acuityinc.com/job/Brossard-Stage-en-d%C3%A9veloppement-micrologicielfirmware-Qu%C3%A9b-J4Y-0C4/1434107300/?ats=successfactors,2026-09-25,2026-09-25,2026-09-25T23:16:45+00:00,2026-09-25 16:16 Fri,,false,,,,false,simplify:Simplify Internships:4305964e-67a9-4802-9788-7885664c1c5c,2026-09-25
Acuity:8c581baf-200d-459c-b74e-810568fe2c10,Acuity,Firmware Engineer Specialist - BUILD Leadership Program,"Atlanta, GA",Hardware,https://careers.acuityinc.com/job/Atlanta-Specialist-Firmware-Engineering-BUILD-Leadership-Program-GA-30309/1428876800/?ats=successfactors,2026-09-11,2026-09-11,2026-09-11T06:39:33+00:00,2026-09-10 23:39 Thu,,false,,,,false,simplify:Simplify New Grad:8c581baf-200d-459c-b74e-810568fe2c10,2026-09-11
Acuity:9861557d-858b-485b-a94e-ae1705e8c149,Acuity,Hardware Development Intern - Hardware,"Brossard, QC, Canada",Hardware,https://careers.acuityinc.com/job/Brossard-Stagiaire-d%C3%A9veloppement-mat%C3%A9riel-(hardware)-Qu%C3%A9b-J4Y-0C4/1433678100/?ats=successfactors,2026-09-24,2026-09-24,2026-09-24T23:16:33+00:00,2026-09-24 16:16 Thu,,false,,,,false,simplify:Simplify Internships:9861557d-858b-485b-a94e-ae1705e8c149,2026-09-24
Acuity:5c792b7d-16ed-4b9e-a8c7-e14569e5b1a4,Acuity,Software Engineering Specialist - BUILD Leadership Program,"Conyers, GA",Software,https://careers.acuityinc.com/job/Conyers-Specialist-Software-Engineering-BUILD-Leadership-Program-GA-30012/1429301900/?ats=successfactors,2026-09-12,2026-09-12,2026-09-12T06:40:42+00:00,2026-09-11 23:40 Fri,,false,,,,false,simplify:Simplify New Grad:5c792b7d-16ed-4b9e-a8c7-e14569e5b1a4,2026-09-12
Acuity:7ea8b761-f25f-4575-b1b1-f152ec0772f5,Acuity,Software Engineering Specialist - BUILD Leadership Program,"Conyers, GA",Software,https://careers.acuityinc.com/job/Conyers-Specialist-Software-Engineering-BUILD-Leadership-Program-GA-30012/1429301800/?ats=successfactors,2026-09-12,2026-09-12,2026-09-12T06:40:42+00:00,2026-09-11 23:40 Fri,,false,,,,false,simplify:Simplify New Grad:7ea8b761-f25f-4575-b1b1-f152ec0772f5,2026-09-12
Acuity:c980e3e0-5eb6-443f-bc62-cd9de0ab4ae2,Acuity,Software Engineering Specialist - BUILD Leadership Program,"Conyers, GA",Software,https://careers.acuityinc.com/job/Conyers-Specialist-Software-Engineering-BUILD-Leadership-Program-GA-30012/1429302100/?ats=successfactors,2026-09-12,2026-09-12,2026-09-12T06:40:42+00:00,2026-09-11 23:40 Fri,,false,,,,false,simplify:Simplify New Grad:c980e3e0-5eb6-443f-bc62-cd9de0ab4ae2,2026-09-12
Acuity:66055d03-6077-4b6b-a0dc-455d2dd18a88,Acuity,Software Engineering Specialist - Growth & Transformation - BUILD Leadership Program,"Atlanta, GA",Software,https://careers.acuityinc.com/job/Atlanta-Specialist-Growth-&-Transformation-Software-Engineering-BUILD-Leadership-Program-GA-30309/1429282700/?ats=successfactors,2026-09-12,2026-09-12,2026-09-12T01:41:05+00:00,2026-09-11 18:41 Fri,,false,,,,false,simplify:Simplify New Grad:66055d03-6077-4b6b-a0dc-455d2dd18a88,2026-09-12
