job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Affirm:7767436003,Affirm,Accounting Lead,Remote US,Accounting,https://job-boards.greenhouse.io/affirm/jobs/7767436003,2026-06-18T11:27:47-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7767436003
Affirm:7767438003,Affirm,Accounting Lead,Remote Canada,Accounting,https://job-boards.greenhouse.io/affirm/jobs/7767438003,2026-06-18T11:27:47-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7767438003
Affirm:7752003003,Affirm,"Affirm Bank Compliance Lead, CRA and Complaints",Affirm,Bank Strategy,https://job-boards.greenhouse.io/affirm/jobs/7752003003,2026-06-25T17:03:29-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7752003003
Affirm:7778204003,Affirm,AI Solutions Engineer,Remote US,"People Tech, Data & Analytics",https://job-boards.greenhouse.io/affirm/jobs/7778204003,2026-07-01T19:13:35-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7778204003
Affirm:7778206003,Affirm,AI Solutions Engineer,Remote Canada,"People Tech, Data & Analytics",https://job-boards.greenhouse.io/affirm/jobs/7778206003,2026-07-01T19:13:36-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7778206003
Affirm:7726627003,Affirm,"Analyst II, Full Stack (Core Analytics)",Remote US,Core Analytics,https://job-boards.greenhouse.io/affirm/jobs/7726627003,2026-06-18T11:28:56-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7726627003
Affirm:7764035003,Affirm,"Analyst II, Full Stack (Credit Analytics)",Remote US,Point of Sale Analytics,https://job-boards.greenhouse.io/affirm/jobs/7764035003,2026-06-18T11:27:47-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7764035003
Affirm:7726632003,Affirm,"Analyst II, Full Stack (Customer Servicing Analytics)",Remote US,Consumer Analytics,https://job-boards.greenhouse.io/affirm/jobs/7726632003,2026-06-26T15:21:14-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7726632003
Affirm:7533759003,Affirm,"Analyst II, Full Stack (Fraud Analytics)",Remote US,Core Analytics,https://job-boards.greenhouse.io/affirm/jobs/7533759003,2026-06-18T11:27:47-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7533759003
Affirm:7764109003,Affirm,Analytics Engineer II,Remote Poland,Accounting,https://job-boards.greenhouse.io/affirm/jobs/7764109003,2026-07-01T11:03:12-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7764109003
Affirm:7740918003,Affirm,"Analytics Lead, Full Stack (Credit Analytics)",Remote US,Point of Sale Analytics,https://job-boards.greenhouse.io/affirm/jobs/7740918003,2026-06-18T11:27:47-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7740918003
Affirm:7712707003,Affirm,Business Development Associate,Remote US,US Sales,https://job-boards.greenhouse.io/affirm/jobs/7712707003,2026-07-06T16:29:20-04:00,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,greenhouse:Affirm:7712707003
