job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Amgen:3b323906-0f7b-4f16-ad94-c2ca7c17d499,Amgen,Business Analyst Co-op,"Burnaby, BC, Canada",AI/ML/Data,https://amgen.wd1.myworkdayjobs.com/careers/job/Canada---Burnaby/Undergraduate-Co-op-Student---Business-Analyst_R-254807,2026-09-02,2026-09-02,2026-09-03T06:41:40+00:00,2026-09-02 23:41 Wed,,false,,,,false,simplify:Simplify Internships:3b323906-0f7b-4f16-ad94-c2ca7c17d499,2026-09-02
Amgen:698feec2-81e2-41f9-854b-5a57cc104ace,Amgen,Data Engineer Intern,Remote in USA,AI/ML/Data,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Grad-Intern---Data-Engineer---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255742,2026-09-11,2026-09-11,2026-09-11T23:16:48+00:00,2026-09-11 16:16 Fri,AI / ML,true,Keyword,55,僅以關鍵字比對評分,true,simplify:Simplify Internships:698feec2-81e2-41f9-854b-5a57cc104ace,2026-09-11
Amgen:65caec5f-0c22-478c-8e54-2b825e9fd94e,Amgen,Data Engineer Intern - Technology & Medical Organizations,Remote in USA,AI/ML/Data,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Undergrad-Intern---Data-Engineer---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255708,2026-09-11,2026-09-11,2026-09-11T23:16:48+00:00,2026-09-11 16:16 Fri,AI / ML,true,Keyword,55,僅以關鍵字比對評分,true,simplify:Simplify Internships:65caec5f-0c22-478c-8e54-2b825e9fd94e,2026-09-11
Amgen:6c92723f-00d1-47ec-952c-a90c737de3a0,Amgen,Data Engineer Intern - Technology & Medical Organizations,Remote in USA,AI/ML/Data,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Grad-Intern---Data-Engineer---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255725,2026-09-11,2026-09-11,2026-09-11T23:16:48+00:00,2026-09-11 16:16 Fri,AI / ML,true,Keyword,55,僅以關鍵字比對評分,true,simplify:Simplify Internships:6c92723f-00d1-47ec-952c-a90c737de3a0,2026-09-11
Amgen:https://amgen.wd1.myworkdayjobs.com/en-US/careers/job/US---Massachusetts---Cambridge/Data-Scientist_R-248084,Amgen,Data Scientist,"Massachusetts, USA",,https://amgen.wd1.myworkdayjobs.com/en-US/careers/job/US---Massachusetts---Cambridge/Data-Scientist_R-248084,,,2026-09-01T16:42:10+00:00,2026-09-01 09:42 Tue,Computer Vision,true,Keyword,73,keyword-only heuristic,true,speedyapply:SpeedyApply AI:https://amgen.wd1.myworkdayjobs.com/en-US/careers/job/US---Massachusetts---Cambridge/Data-Scientist_R-248084,
Amgen:https://amgen.wd1.myworkdayjobs.com/en-US/careers/job/US---Massachusetts---Cambridge/Data-Scientist_R-248086,Amgen,Data Scientist,"Massachusetts, USA",,https://amgen.wd1.myworkdayjobs.com/en-US/careers/job/US---Massachusetts---Cambridge/Data-Scientist_R-248086,,,2026-09-01T16:42:10+00:00,2026-09-01 09:42 Tue,Computer Vision,true,Keyword,58,keyword-only heuristic,true,speedyapply:SpeedyApply AI:https://amgen.wd1.myworkdayjobs.com/en-US/careers/job/US---Massachusetts---Cambridge/Data-Scientist_R-248086,
Amgen:9eef895c-2727-4ebb-92bc-fda2b10c3d34,Amgen,Data Scientist Intern,Remote in USA,AI/ML/Data,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Undergrad-Intern---Data-Scientist---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255704,2026-09-11,2026-09-11,2026-09-11T23:16:48+00:00,2026-09-11 16:16 Fri,AI / ML,true,Keyword,55,僅以關鍵字比對評分,true,simplify:Simplify Internships:9eef895c-2727-4ebb-92bc-fda2b10c3d34,2026-09-11
Amgen:811210da-553e-4d37-b262-9897450dc43d,Amgen,Data Scientist Intern - Amgen’s Technology & Medical Organizations,Remote in USA,AI/ML/Data,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Grad-Intern---Data-Scientist---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255722,2026-09-11,2026-09-11,2026-09-11T23:16:48+00:00,2026-09-11 16:16 Fri,AI / ML,true,Keyword,55,僅以關鍵字比對評分,true,simplify:Simplify Internships:811210da-553e-4d37-b262-9897450dc43d,2026-09-11
Amgen:6e4f094f-682c-4e8f-b9a8-f1ee44c201d3,Amgen,Digital Product Intern,Remote in USA,Product,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Undergrad-Intern---Digital-Product---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255711,2026-09-11,2026-09-11,2026-09-11T23:16:48+00:00,2026-09-11 16:16 Fri,AI / ML,true,Keyword,52,僅以關鍵字比對評分,true,simplify:Simplify Internships:6e4f094f-682c-4e8f-b9a8-f1ee44c201d3,2026-09-11
Amgen:27460c05-e022-499c-bcc8-2783559d2639,Amgen,Digital Product Intern - Digital Product - Technology & Medical Organizations,Remote in USA,Product,https://amgen.wd1.myworkdayjobs.com/careers/job/United-States---Remote/Grad-Intern---Digital-Product---Amgen-s-Technology---Medical-Organizations--Summer-2027-_R-255744,2026-09-11,2026-09-11,2026-09-11T23:16:48+00:00,2026-09-11 16:16 Fri,AI / ML,true,Keyword,52,僅以關鍵字比對評分,true,simplify:Simplify Internships:27460c05-e022-499c-bcc8-2783559d2639,2026-09-11
