job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Applied Materials:https://amat.wd1.myworkdayjobs.com/en-US/external/job/Santa-ClaraCA/XMLNAME-2026-NCG---Software-Engineer--BS-MS-_R2619063,Applied Materials,2026 NCG - Software Engineer - BS/MS - Santa Clara - CA,"Santa Clara, CA",,https://amat.wd1.myworkdayjobs.com/en-US/external/job/Santa-ClaraCA/XMLNAME-2026-NCG---Software-Engineer--BS-MS-_R2619063,,2026-07-08T14:36:08+00:00,2026-07-08 07:36 Wed,Software Engineering,true,,78,"The title is clearly a software engineer new-college-graduate BS/MS role, and the candidate has strong CS, Python/C++/backend, Docker/database, and algorithm experience, though the missing job description prevents confirming domain-specific fit.",true,speedyapply:SpeedyApply SWE:https://amat.wd1.myworkdayjobs.com/en-US/external/job/Santa-ClaraCA/XMLNAME-2026-NCG---Software-Engineer--BS-MS-_R2619063
Applied Materials:https://amat.wd1.myworkdayjobs.com/en-US/external/job/Santa-ClaraCA/XMLNAME-2026-Summer-Intern---Physics---AI-modeling-Engineering_R2616095,Applied Materials,2026 Summer Intern - Physics & AI modeling Engineering,"Santa Clara,CA",,https://amat.wd1.myworkdayjobs.com/en-US/external/job/Santa-ClaraCA/XMLNAME-2026-Summer-Intern---Physics---AI-modeling-Engineering_R2616095,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://amat.wd1.myworkdayjobs.com/en-US/external/job/Santa-ClaraCA/XMLNAME-2026-Summer-Intern---Physics---AI-modeling-Engineering_R2616095
Applied Materials:https://amat.wd1.myworkdayjobs.com/en-US/external/job/GloucesterMA/XMLNAME-2027-Software-Engineer--DevOps---New-College-Grad---Bachelor-s--Gloucester--MA-_R2625762,Applied Materials,2027 Software Engineer - DevOps - New College Grad - Bachelor's - Gloucester - MA,"Gloucester, MA",,https://amat.wd1.myworkdayjobs.com/en-US/external/job/GloucesterMA/XMLNAME-2027-Software-Engineer--DevOps---New-College-Grad---Bachelor-s--Gloucester--MA-_R2625762,,2026-08-15T12:59:12+00:00,2026-08-15 05:59 Sat,Software Engineering,true,Keyword,51,title-only listing; auto-passed (no description to score),true,speedyapply:SpeedyApply SWE:https://amat.wd1.myworkdayjobs.com/en-US/external/job/GloucesterMA/XMLNAME-2027-Software-Engineer--DevOps---New-College-Grad---Bachelor-s--Gloucester--MA-_R2625762
Applied Materials:/job/HefeiCHN/Account-Sales-III_R2624894-1,Applied Materials,Account Sales III,2 Locations,,https://amat.wd1.myworkdayjobs.com/en-US/External/job/HefeiCHN/Account-Sales-III_R2624894-1,Posted 4 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/HefeiCHN/Account-Sales-III_R2624894-1
Applied Materials:/job/ShanghaiCHN/Account-Sales-IV_R2624893,Applied Materials,Account Sales IV,"Shanghai,CHN",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/ShanghaiCHN/Account-Sales-IV_R2624893,Posted 4 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/ShanghaiCHN/Account-Sales-IV_R2624893
Applied Materials:/job/Santa-ClaraCA/Account-Technologist_R2619275,Applied Materials,Account Technologist,"Santa Clara,CA",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/Account-Technologist_R2619275,Posted 3 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/Santa-ClaraCA/Account-Technologist_R2619275
Applied Materials:/job/Santa-ClaraCA/Account-Technologist_R2623948-1,Applied Materials,Account Technologist,"Santa Clara,CA",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/Account-Technologist_R2623948-1,Posted 3 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/Santa-ClaraCA/Account-Technologist_R2623948-1
Applied Materials:/job/ShanghaiCHN/Account-Technologist-CMP_R2625774,Applied Materials,Account Technologist-CMP,"Shanghai,CHN",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/ShanghaiCHN/Account-Technologist-CMP_R2625774,Posted Today,2026-08-11T08:41:38+00:00,2026-08-11 01:41 Tue,,false,,,,false,workday:Applied Materials:/job/ShanghaiCHN/Account-Technologist-CMP_R2625774
Applied Materials:/job/FagareITA/Addetto-a-alla-Logistica_R2518598,Applied Materials,Addetto/a alla Logistica e Magazziniere,2 Locations,,https://amat.wd1.myworkdayjobs.com/en-US/External/job/FagareITA/Addetto-a-alla-Logistica_R2518598,Posted 3 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/FagareITA/Addetto-a-alla-Logistica_R2518598
Applied Materials:/job/HsinchuTWN/Administrative-Support_R2623312,Applied Materials,Administrative Support,"Hsinchu,TWN",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/HsinchuTWN/Administrative-Support_R2623312,Posted Today,2026-07-13T04:40:47+00:00,2026-07-12 21:40 Sun,,false,,,,false,workday:Applied Materials:/job/HsinchuTWN/Administrative-Support_R2623312
Applied Materials:/job/Santa-ClaraCA/Agentic-AI-Systems-Engineer_R2619018,Applied Materials,Agentic AI Systems Engineer,"Santa Clara,CA",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/Agentic-AI-Systems-Engineer_R2619018,Posted Today,2026-08-10T14:17:37+00:00,2026-08-10 07:17 Mon,AI / ML,true,Keyword,51,title-only listing; auto-passed (no description to score),true,workday:Applied Materials:/job/Santa-ClaraCA/Agentic-AI-Systems-Engineer_R2619018
Applied Materials:/job/Santa-ClaraCA/AGS-and-Spares-Supplier-Engineer_R2618638,Applied Materials,AGS and Spares Supplier Engineer,2 Locations,,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/AGS-and-Spares-Supplier-Engineer_R2618638,Posted 4 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/Santa-ClaraCA/AGS-and-Spares-Supplier-Engineer_R2618638
Applied Materials:/job/Santa-ClaraCA/AGS-and-Spares-Supplier-Engineer--M5-_R2619468,Applied Materials,AGS and Spares Supplier Engineer (E4),2 Locations,,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/AGS-and-Spares-Supplier-Engineer--M5-_R2619468,Posted 4 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/Santa-ClaraCA/AGS-and-Spares-Supplier-Engineer--M5-_R2619468
Applied Materials:/job/Santa-ClaraCA/AGS-Training-Service-DDP-New-Product--NPI--Instructor-III----E3-_R2618366,Applied Materials,AGS Training Service DDP New Product (NPI) Instructor III - (E3),"Santa Clara,CA",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/AGS-Training-Service-DDP-New-Product--NPI--Instructor-III----E3-_R2618366,Posted 2 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/Santa-ClaraCA/AGS-Training-Service-DDP-New-Product--NPI--Instructor-III----E3-_R2618366
Applied Materials:/job/RehovotISR/Algorithm-developer_R2625048,Applied Materials,Algorithm developer,"Rehovot,ISR",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/RehovotISR/Algorithm-developer_R2625048,Posted 4 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/RehovotISR/Algorithm-developer_R2625048
Applied Materials:/job/RehovotISR/Algorithm-Developer_R2625298,Applied Materials,Algorithm Research Engineer,"Rehovot,ISR",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/RehovotISR/Algorithm-Developer_R2625298,Posted Today,2026-08-17T10:41:38+00:00,2026-08-17 03:41 Mon,,false,,,,false,workday:Applied Materials:/job/RehovotISR/Algorithm-Developer_R2625298
Applied Materials:/job/Santa-ClaraCA/Americas-Security-Leader_R2624031,Applied Materials,Americas Security Leader,"Santa Clara,CA",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/Americas-Security-Leader_R2624031,Posted 4 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/Santa-ClaraCA/Americas-Security-Leader_R2624031
Applied Materials:/job/SingaporeSGP/Application-Engineer_R2624837,Applied Materials,Application Engineer,"Singapore,SGP",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/SingaporeSGP/Application-Engineer_R2624837,Posted Today,2026-08-11T15:00:02+00:00,2026-08-11 08:00 Tue,,false,,,,false,workday:Applied Materials:/job/SingaporeSGP/Application-Engineer_R2624837
Applied Materials:/job/BoiseID/Applied-Early-Career---Installation-Team-Field-Service-Engineer_R2622705,Applied Materials,Applied Early Career - Installation Team Field Service Engineer,3 Locations,,https://amat.wd1.myworkdayjobs.com/en-US/External/job/BoiseID/Applied-Early-Career---Installation-Team-Field-Service-Engineer_R2622705,Posted 4 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/BoiseID/Applied-Early-Career---Installation-Team-Field-Service-Engineer_R2622705
Applied Materials:/job/PhoenixAZ/Applied-Early-Career-Program---Field-Service-Engineer_R2617841,Applied Materials,Applied Early Career Program - Field Service Engineer,7 Locations,,https://amat.wd1.myworkdayjobs.com/en-US/External/job/PhoenixAZ/Applied-Early-Career-Program---Field-Service-Engineer_R2617841,Posted 4 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/PhoenixAZ/Applied-Early-Career-Program---Field-Service-Engineer_R2617841
Applied Materials:/job/ChandlerAZ/AGS-SAM_R2618358,Applied Materials,Applied Global Services (AGS) Advanced Materials Supplier Account Manager,4 Locations,,https://amat.wd1.myworkdayjobs.com/en-US/External/job/ChandlerAZ/AGS-SAM_R2618358,Posted 5 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/ChandlerAZ/AGS-SAM_R2618358
Applied Materials:/job/HsinchuTWN/Asia-Pacific-Regional-Manager--Service-Business-Unit_R2624652,Applied Materials,"Asia Pacific Regional Manager, Service Business Unit","Hsinchu,TWN",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/HsinchuTWN/Asia-Pacific-Regional-Manager--Service-Business-Unit_R2624652,Posted Today,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/HsinchuTWN/Asia-Pacific-Regional-Manager--Service-Business-Unit_R2624652
Applied Materials:/job/GloucesterMA/Automation---Technology-Solutions-Engineer_R2620300-1,Applied Materials,Automation & Technology Solutions Engineer,"Gloucester,MA",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/GloucesterMA/Automation---Technology-Solutions-Engineer_R2620300-1|https://amat.wd1.myworkdayjobs.com/job/GloucesterMA/Automation---Technology-Solutions-Engineer_R2620300-1,Posted 30+ Days Ago,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,,false,,,,false,workday:Applied Materials:/job/GloucesterMA/Automation---Technology-Solutions-Engineer_R2620300-1
Applied Materials:/job/SingaporeSGP/Sustaining-Tech-Eng_R2611204,Applied Materials,Automation Systems Engineer,"Singapore,SGP",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/SingaporeSGP/Sustaining-Tech-Eng_R2611204|https://amat.wd1.myworkdayjobs.com/job/SingaporeSGP/Sustaining-Tech-Eng_R2611204,Posted 30+ Days Ago,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,,false,,,,false,workday:Applied Materials:/job/SingaporeSGP/Sustaining-Tech-Eng_R2611204
Applied Materials:/job/AustinTX/Sustaining-Engineer_R2611203,Applied Materials,Automation Systems Engineer - (E3),"Austin,TX",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/AustinTX/Sustaining-Engineer_R2611203|https://amat.wd1.myworkdayjobs.com/job/AustinTX/Sustaining-Engineer_R2611203,Posted 30+ Days Ago,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,,false,,,,false,workday:Applied Materials:/job/AustinTX/Sustaining-Engineer_R2611203
Applied Materials:/job/Santa-ClaraCA/Avigilon-and-Gentec-System-Administrator_R2624213,Applied Materials,Avigilon and Gentec System Administrator,2 Locations,,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/Avigilon-and-Gentec-System-Administrator_R2624213,Posted 5 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/Santa-ClaraCA/Avigilon-and-Gentec-System-Administrator_R2624213
Applied Materials:/job/BangaloreIND/Business-Intelligence-Analyst_R2624961,Applied Materials,Business Intelligence Analyst,"Bangalore,IND",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/BangaloreIND/Business-Intelligence-Analyst_R2624961,Posted 3 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/BangaloreIND/Business-Intelligence-Analyst_R2624961
Applied Materials:/job/Santa-ClaraCA/Business-Management-V_R2624727,Applied Materials,Business Management V,"Santa Clara,CA",,https://amat.wd1.myworkdayjobs.com/en-US/External/job/Santa-ClaraCA/Business-Management-V_R2624727,Posted 5 Days Ago,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Applied Materials:/job/Santa-ClaraCA/Business-Management-V_R2624727
