job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Astranis Space Technologies:https://job-boards.greenhouse.io/astranis/jobs/4619289006,Astranis Space Technologies,Flight Software Associate - Fall 2026,"San Francisco, CA",,https://job-boards.greenhouse.io/astranis/jobs/4619289006,,,2026-07-08T14:36:08+00:00,2026-07-08 07:36 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/astranis/jobs/4619289006|speedyapply:SpeedyApply SWE:4619289006,|
Astranis:4704716006,Astranis Space Technologies,Flight Software Associate - Summer 2027,"San Francisco, CA",Hardware,https://job-boards.greenhouse.io/astranis/jobs/4704716006,2026-09-23,2026-09-23,2026-09-23T02:16:45+00:00,2026-09-22 19:16 Tue,,false,,,,false,simplify:Simplify New Grad:4704716006|speedyapply:SpeedyApply SWE:4704716006,2026-09-23|
Astranis:4704714006,Astranis Space Technologies,Flight Software Associate - Winter 2027,"San Francisco, CA",Hardware,https://job-boards.greenhouse.io/astranis/jobs/4704714006,2026-09-23,2026-09-23,2026-09-23T01:41:18+00:00,2026-09-22 18:41 Tue,,false,,,,false,simplify:Simplify New Grad:4704714006|speedyapply:SpeedyApply SWE:4704714006,2026-09-23|
Astranis Space Technologies:https://job-boards.greenhouse.io/astranis/jobs/4619283006,Astranis Space Technologies,Flight Software Intern - Fall 2026,"San Francisco, CA",Hardware,https://job-boards.greenhouse.io/astranis/jobs/4619283006,2026-04-29,2026-04-29,2026-07-08T14:36:08+00:00,2026-07-08 07:36 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/astranis/jobs/4619283006|speedyapply:SpeedyApply SWE:4619283006|simplify:Simplify Internships:4619283006,2026-04-29|2026-04-29|2026-04-29
Astranis:4704598006,Astranis Space Technologies,Flight Software Intern - Summer 2027,"San Francisco, CA",Hardware,https://job-boards.greenhouse.io/astranis/jobs/4704598006,2026-09-23,2026-09-23,2026-09-23T01:41:18+00:00,2026-09-22 18:41 Tue,,false,,,,false,simplify:Simplify Internships:4704598006|speedyapply:SpeedyApply SWE:4704598006,2026-09-23|
Astranis:4704595006,Astranis Space Technologies,Flight Software Intern - Winter 2027,"San Francisco, CA",Hardware,https://job-boards.greenhouse.io/astranis/jobs/4704595006,2026-09-23,2026-09-23,2026-09-23T01:41:18+00:00,2026-09-22 18:41 Tue,,false,,,,false,simplify:Simplify Internships:4704595006|speedyapply:SpeedyApply SWE:4704595006,2026-09-23|
Astranis:4705610006,Astranis Space Technologies,Software Engineer - Enterprise Systems Intern - Summer 2027,"San Francisco, CA",Software,https://job-boards.greenhouse.io/astranis/jobs/4705610006,2026-09-23,2026-09-23,2026-09-23T01:41:18+00:00,2026-09-22 18:41 Tue,,false,,,,false,simplify:Simplify Internships:4705610006|speedyapply:SpeedyApply SWE:4705610006,2026-09-23|
Astranis:4705214006,Astranis Space Technologies,Software Engineer Backend Intern - Summer 2027,"San Francisco, CA",Software,https://job-boards.greenhouse.io/astranis/jobs/4705214006,2026-09-23,2026-09-23,2026-09-23T01:41:18+00:00,2026-09-22 18:41 Tue,,false,,,,false,simplify:Simplify Internships:4705214006|speedyapply:SpeedyApply SWE:4705214006,2026-09-23|
Astranis:f00fc66c-967f-457b-8706-d3f0c5a5c874,Astranis Space Technologies,Software Engineer Intern - Enterprise Systems - Fall 2026,"San Francisco, CA",,https://job-boards.greenhouse.io/astranis/jobs/4699071006,,,2026-07-23T23:37:59+00:00,2026-07-23 16:37 Thu,,false,,,,false,simplify:Simplify Internships:f00fc66c-967f-457b-8706-d3f0c5a5c874|speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/astranis/jobs/4699071006|speedyapply:SpeedyApply SWE:4699071006|simplify:Simplify Internships:4699071006,|||
Astranis:60aab1d5-8134-4309-a8b5-e3819f70db56,Astranis Space Technologies,Software Engineer- Backend Intern - Fall 2026,"San Francisco, CA",,https://job-boards.greenhouse.io/astranis/jobs/4681183006,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:60aab1d5-8134-4309-a8b5-e3819f70db56|speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/astranis/jobs/4681183006|speedyapply:SpeedyApply SWE:4681183006|simplify:Simplify Internships:4681183006,|||
