job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Avride:4249171009,Avride,Accountant,"Austin, Texas",Corporate,https://job-boards.greenhouse.io/avride/jobs/4249171009,2026-07-15T15:36:59-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4249171009
Avride:4013017009,Avride,C++ Software Engineer – Motion Planning,"Austin, Texas",Software Engineering,https://job-boards.greenhouse.io/avride/jobs/4013017009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4013017009
Avride:4225101009,Avride,Contract Talent Partner / Recruiter,"Austin, Texas",Corporate,https://job-boards.greenhouse.io/avride/jobs/4225101009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4225101009
Avride:4012771009,Avride,Data Scientist – AV Metrics & Evaluation Analytics,"Austin, Texas",Software Engineering,https://job-boards.greenhouse.io/avride/jobs/4012771009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4012771009
Avride:4013229009,Avride,DevOps Engineer – Developer Tools,"Austin, Texas",Software Engineering,https://job-boards.greenhouse.io/avride/jobs/4013229009,2026-07-15T15:35:50-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4013229009
Avride:4035727009,Avride,IT Operations Specialist,"Austin, Texas",Software Engineering,https://job-boards.greenhouse.io/avride/jobs/4035727009,2026-07-16T10:33:38-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4035727009
Avride:4061854009,Avride,Lead Data Scientist – Autonomous Driving,"Austin, Texas",Software Engineering,https://job-boards.greenhouse.io/avride/jobs/4061854009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4061854009
Avride:4304839009,Avride,Lead Software Engineer – Control,"Austin, Texas",Software Engineering,https://job-boards.greenhouse.io/avride/jobs/4304839009,2026-07-16T10:26:40-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4304839009
Avride:4013230009,Avride,Machine Learning Engineer,"Austin, Texas",Software Engineering,https://job-boards.greenhouse.io/avride/jobs/4013230009,2026-07-16T10:26:12-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4013230009
Avride:4013016009,Avride,Machine Learning Engineer – Motion Planning & Prediction,"Austin, Texas",Software Engineering,https://job-boards.greenhouse.io/avride/jobs/4013016009,2026-07-16T10:31:28-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4013016009
Avride:4017800009,Avride,QA Engineer – AV Behavior Simulation Testing,"Austin, Texas",Software Engineering,https://job-boards.greenhouse.io/avride/jobs/4017800009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4017800009
Avride:4267500009,Avride,Robot Service Technician – Full Time/Contract,"Miami, Florida",Manufacturing & Service,https://job-boards.greenhouse.io/avride/jobs/4267500009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4267500009
Avride:4267526009,Avride,Robot Service Technician – Full Time/Contract,"Arlington, Virginia",Manufacturing & Service,https://job-boards.greenhouse.io/avride/jobs/4267526009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4267526009
Avride:4301492009,Avride,Robot Service Technician – Full Time/Contract,"Bowling Green, Ohio",Manufacturing & Service,https://job-boards.greenhouse.io/avride/jobs/4301492009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4301492009
Avride:4301497009,Avride,Robot Service Technician – Full Time/Contract,"Greenville, North Caroliina",Manufacturing & Service,https://job-boards.greenhouse.io/avride/jobs/4301497009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4301497009
Avride:4301502009,Avride,Robot Service Technician – Full Time/Contract,"Fayetteville, North Carolina",Manufacturing & Service,https://job-boards.greenhouse.io/avride/jobs/4301502009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4301502009
Avride:4301506009,Avride,Robot Service Technician – Full Time/Contract,"University, Mississippi",Manufacturing & Service,https://job-boards.greenhouse.io/avride/jobs/4301506009,2026-07-14T15:51:26-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Avride:4301506009
