job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Axon:7673751003,Axon,"	Senior Technical Account Manager, Enterprise","Seattle, Washington, United States",1567 GSS Enterprise Fusus,https://job-boards.greenhouse.io/axon/jobs/7673751003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7673751003
Axon:7681090003,Axon, Corporate Operations Recruiter,"Boston, Massachusetts, United States",4601 People Operations,https://job-boards.greenhouse.io/axon/jobs/7681090003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7681090003
Axon:6239197003,Axon, Engineering manager embedded,"Boston, Massachusetts, United States",Axon EVG_R&D,https://job-boards.greenhouse.io/axon/jobs/6239197003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:6239197003
Axon:7612314003,Axon, Senior Enterprise Account Executive ,"New York, New York, United States",Axon EVG_Sales,https://job-boards.greenhouse.io/axon/jobs/7612314003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7612314003
Axon:7753249003,Axon, Sr. Compensation Analyst,"Boston, Massachusetts, United States",4601 People Operations,https://job-boards.greenhouse.io/axon/jobs/7753249003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7753249003
Axon:7782749003,Axon,100712 - Commercial Operations Analyst I,"Amsterdam, North Holland, Netherlands",4504 Commercial Operations,https://job-boards.greenhouse.io/axon/jobs/7782749003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7782749003
Axon:7594045003,Axon,Account Executive - Public Sector,Australia,3037 Sales Commonwealth,https://job-boards.greenhouse.io/axon/jobs/7594045003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7594045003
Axon:7670847003,Axon,"Account Executive, Air T1200","Boston, Massachusetts, United States",3015 Sales Air,https://job-boards.greenhouse.io/axon/jobs/7670847003,2026-07-07T14:52:02-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7670847003
Axon:7798041003,Axon,"Account Executive, Air T1200",Kentucky-Remote,3015 Sales Air,https://job-boards.greenhouse.io/axon/jobs/7798041003,2026-07-07T14:52:27-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7798041003
Axon:7668421003,Axon,"Account Executive, Air, T1200","New York, New York, United States",3015 Sales Air,https://job-boards.greenhouse.io/axon/jobs/7668421003,2026-07-07T14:52:12-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7668421003
Axon:7782143003,Axon,"Account Executive, CEW","Chicago, Illinois, United States",3013 Sales T1200,https://job-boards.greenhouse.io/axon/jobs/7782143003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7782143003
Axon:7782144003,Axon,"Account Executive, CEW","Ohio-Remote, United States",3013 Sales T1200,https://job-boards.greenhouse.io/axon/jobs/7782144003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7782144003
Axon:7782145003,Axon,"Account Executive, CEW",Wisconsin-Remote,3013 Sales T1200,https://job-boards.greenhouse.io/axon/jobs/7782145003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7782145003
Axon:7751164003,Axon,"Account Executive, Corrections East","Charlotte, North Carolina, United States",3002 Sales Corrections,https://job-boards.greenhouse.io/axon/jobs/7751164003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7751164003
Axon:7752115003,Axon,"Account Executive, Corrections East",Florida-Remote,3002 Sales Corrections,https://job-boards.greenhouse.io/axon/jobs/7752115003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7752115003
Axon:7752116003,Axon,"Account Executive, Corrections East","Nashville, Tennessee, United States",3002 Sales Corrections,https://job-boards.greenhouse.io/axon/jobs/7752116003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7752116003
Axon:7631955003,Axon,"Account Executive, LATAM - Dedrone",Brazil,3042 Dedrone Sales,https://job-boards.greenhouse.io/axon/jobs/7631955003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7631955003
Axon:6689529003,Axon,"Account Executive, Mid City","Dallas, TX",3014 Sales Mid City,https://job-boards.greenhouse.io/axon/jobs/6689529003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:6689529003
Axon:6689531003,Axon,"Account Executive, Mid City","Texas-Remote, United States",3014 Sales Mid City,https://job-boards.greenhouse.io/axon/jobs/6689531003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:6689531003
Axon:7703354003,Axon,"Account Executive, Mid City","Chicago, Illinois, United States",3014 Sales Mid City,https://job-boards.greenhouse.io/axon/jobs/7703354003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7703354003
Axon:7754080003,Axon,"Account Executive, Mid City",Kansas-Remote; Missouri-Remote; Oklahoma-Remote,3014 Sales Mid City,https://job-boards.greenhouse.io/axon/jobs/7754080003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7754080003
Axon:7608909003,Axon,"Account Executive, Small City",scottsdale,3008 Sales Small City,https://job-boards.greenhouse.io/axon/jobs/7608909003,2026-07-02T10:53:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Axon:7608909003
