job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Blue Origin:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/XMLNAME-2026-Intern-Conversion---Aerospace-Software-Apps-Engineer-I_R70306,Blue Origin,2026 Intern Conversion - Aerospace Software Apps Engineer I,"Seattle, WA +8",,https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/XMLNAME-2026-Intern-Conversion---Aerospace-Software-Apps-Engineer-I_R70306,,,2026-08-12T13:42:08+00:00,2026-08-12 06:42 Wed,Other Technical,true,CLI,72,"Strong software engineering, C++, Python, Linux, Docker, testing, performance optimization, and real-time computer vision experience align well with an entry-level aerospace software applications role, though the resume lacks direct aerospace, embedded systems, and safety-critical development experience.",true,speedyapply:SpeedyApply SWE:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/XMLNAME-2026-Intern-Conversion---Aerospace-Software-Apps-Engineer-I_R70306
Blue Origin:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/XMLNAME-2026-Intern-Conversion---Software-Development-Engineer-I_R70275,Blue Origin,2026 Intern Conversion - Software Development Engineer I,"Seattle, WA +8",,https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/XMLNAME-2026-Intern-Conversion---Software-Development-Engineer-I_R70275,,,2026-08-12T13:42:08+00:00,2026-08-12 06:42 Wed,Software Engineering,true,CLI,78,"Strong fit for an entry-level software development role through solid Python/C++ experience, backend systems, Docker, testing, algorithms, and computer vision, though the resume provides limited evidence of aerospace or embedded-systems experience.",true,speedyapply:SpeedyApply SWE:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/XMLNAME-2026-Intern-Conversion---Software-Development-Engineer-I_R70275
Blue Origin:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/Avionics-Software--Embedded--Engineer-I---Early-Career--2026-Starts-_R58482,Blue Origin,Avionics / Embedded Software Engineer I - Early Career - 2026 Starts,"Seattle, WA +1",,https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/Avionics-Software--Embedded--Engineer-I---Early-Career--2026-Starts-_R58482,,,2026-07-08T14:36:08+00:00,2026-07-08 07:36 Wed,Software Engineering,true,,58,"The role is clearly embedded/avionics software engineering, and the candidate has strong C++/Python software and systems experience but limited explicit embedded, avionics, aerospace, RTOS, or low-level hardware experience.",true,speedyapply:SpeedyApply SWE:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/Avionics-Software--Embedded--Engineer-I---Early-Career--2026-Starts-_R58482
Blue Origin:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/Avionics---Embedded-Software-Engineer-I---Early-Career--2026-Starts-_R70055,Blue Origin,Avionics / Embedded Software Engineer I - Early Career - 2026 Starts,"Seattle, WA +1",,https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/Avionics---Embedded-Software-Engineer-I---Early-Career--2026-Starts-_R70055,,,2026-08-11T13:41:52+00:00,2026-08-11 06:41 Tue,Software Engineering,true,CLI,38,"The candidate has solid early-career C++ and Python software experience with Linux, real-time-oriented computer vision, testing, and performance optimization, but lacks direct avionics, embedded systems, aerospace, and hardware-interface experience.",false,speedyapply:SpeedyApply SWE:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/Avionics---Embedded-Software-Engineer-I---Early-Career--2026-Starts-_R70055
Blue Origin:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/Avionics---Embedded-Software-Engineer-I---Early-Career--2027-Starts-_R71324,Blue Origin,Avionics / Embedded Software Engineer I - Early Career - 2027 Starts,"Seattle, WA +4",,https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/Avionics---Embedded-Software-Engineer-I---Early-Career--2027-Starts-_R71324,,,2026-09-01T16:42:10+00:00,2026-09-01 09:42 Tue,,false,,,,false,speedyapply:SpeedyApply SWE:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Greater-Seattle-Area/Avionics---Embedded-Software-Engineer-I---Early-Career--2027-Starts-_R71324
Blue Origin:3cf8c81a-cf6a-4d33-8b8a-e221d86aa57b,Blue Origin,Avionics Software Intern,"Seattle, WA; LA; Denver, CO",Software,https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Greater-Seattle-Area/Spring-2027-Avionics-Software-Internship---Graduate_R66209,2026-06-10,2026-06-10,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:3cf8c81a-cf6a-4d33-8b8a-e221d86aa57b
Blue Origin:da26fe6e-792a-47e7-aeda-05389a823662,Blue Origin,Avionics Software Intern,"Washington; LA; Denver, CO",Hardware,https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Greater-Seattle-Area/Summer-2027-Avionics-Software-Internship---Graduate_R71423,2026-09-01,2026-09-01,2026-09-01T19:18:20+00:00,2026-09-01 12:18 Tue,,false,,,,false,simplify:Simplify Internships:da26fe6e-792a-47e7-aeda-05389a823662
Blue Origin:b2bf07f0-f50a-48d6-ac3b-6772ca6de63a,Blue Origin,Avionics Software Intern - Undergraduate,"Seattle, WA; LA; Longmont, CO; Denver, CO",Hardware,https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Greater-Seattle-Area/Summer-2027-Avionics-Software-Internship---Undergraduate_R71424,2026-09-01,2026-09-01,2026-09-01T19:18:20+00:00,2026-09-01 12:18 Tue,,false,,,,false,simplify:Simplify Internships:b2bf07f0-f50a-48d6-ac3b-6772ca6de63a
Blue Origin:e586d565-9a03-414c-881e-bb1e51ee22b7,Blue Origin,Electronics/Electrical Systems Engineer 1 Intern,"Seattle, WA; LA; Florida; Longmont, CO; Arlington County, Arlington, VA; Reston, VA; Denver, CO; Huntsville, AL; Van Horn, TX",Hardware,https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Greater-Seattle-Area/XMLNAME-2026-Intern-Conversion---Electronics-Electrical-Systems-Engineer-I_R70292,2026-08-11,2026-08-11,2026-08-27T13:17:56+00:00,2026-08-27 06:17 Thu,,false,,,,false,simplify:Simplify Internships:e586d565-9a03-414c-881e-bb1e51ee22b7
Blue Origin:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Space-Coast-FL/Launch-and-Test-Engineer-III--Ground-Software-_R70730-1,Blue Origin,Launch and Test Engineer III - Ground Software,"Space Coast, FL",,https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Space-Coast-FL/Launch-and-Test-Engineer-III--Ground-Software-_R70730-1,,,2026-08-20T13:10:56+00:00,2026-08-20 06:10 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://blueorigin.wd5.myworkdayjobs.com/en-US/blueorigin/job/Space-Coast-FL/Launch-and-Test-Engineer-III--Ground-Software-_R70730-1
