job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/Annapolis-Junction-MD/Agentic-AI-Engineer_R0243058,Booz Allen,Agentic AI Engineer,"Annapolis Junction, MD",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/Annapolis-Junction-MD/Agentic-AI-Engineer_R0243058,,,2026-08-05T14:41:47+00:00,2026-08-05 07:41 Wed,AI / ML,true,CLI,60,"The candidate has strong Python, C++, computer vision, deep learning, reinforcement learning, backend, and automation experience, but the posting provides no details confirming alignment with agentic AI frameworks, LLM systems, or Booz Allen's likely domain requirements.",true,speedyapply:SpeedyApply AI:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/Annapolis-Junction-MD/Agentic-AI-Engineer_R0243058
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/Washington-DC/AI-Engineer_R0246909,Booz Allen,AI Engineer,"Washington, DC +1",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/Washington-DC/AI-Engineer_R0246909,,,2026-08-15T12:59:12+00:00,2026-08-15 05:59 Sat,AI / ML,true,CLI,78,"The candidate has strong computer vision, deep learning, Python/C++, reinforcement learning, and applied AI engineering experience, though the unspecified role requirements and limited evidence of large-scale production AI or government consulting reduce confidence.",true,speedyapply:SpeedyApply AI:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/Washington-DC/AI-Engineer_R0246909
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Antonio-TX/AI-Engineer--Junior_R0247358,Booz Allen,AI Engineer - Junior,"San Antonio, TX",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Antonio-TX/AI-Engineer--Junior_R0247358,,,2026-08-18T13:11:57+00:00,2026-08-18 06:11 Tue,AI / ML,true,CLI,88,"The candidate strongly fits a junior AI Engineer role through hands-on experience in Python, C++, PyTorch, computer vision, deep learning, reinforcement learning, automation, and production software development.",true,speedyapply:SpeedyApply AI:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Antonio-TX/AI-Engineer--Junior_R0247358
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Antonio-TX/AI-Engineer--Junior_R0247417,Booz Allen,AI Engineer - Junior,"San Antonio, TX",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Antonio-TX/AI-Engineer--Junior_R0247417,,,2026-08-20T13:10:56+00:00,2026-08-20 06:10 Thu,,false,,,,false,speedyapply:SpeedyApply AI:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Antonio-TX/AI-Engineer--Junior_R0247417
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Antonio-TX/AI-Engineer--Mid_R0246103,Booz Allen,AI Engineer - Mid,"San Antonio, TX",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Antonio-TX/AI-Engineer--Mid_R0246103,,,2026-08-10T13:41:59+00:00,2026-08-10 06:41 Mon,AI / ML,true,CLI,72,"Strong fit for a mid-level AI engineering role through substantial computer vision, deep learning, PyTorch, C++, Python, algorithm development, and production software experience, though the empty description prevents confirming alignment with Booz Allen’s specific domain and requirements.",true,speedyapply:SpeedyApply AI:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Antonio-TX/AI-Engineer--Mid_R0246103
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/McLean-VA/AI-Program-Manager_R0245620,Booz Allen,AI Program Manager,"McLean, VA +2",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/McLean-VA/AI-Program-Manager_R0245620,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/McLean-VA/AI-Program-Manager_R0245620
Booz Allen:739b6998-abbe-4971-ac78-5de770dd33b3,Booz Allen,AI RAN Telecommunications Engineer Intern,"McLean, VA",AI/ML/Data,https://bah.wd1.myworkdayjobs.com/bah_jobs/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246415,2026-08-10,2026-08-10,2026-08-10T19:41:45+00:00,2026-08-10 12:41 Mon,AI / ML,true,CLI,45,"Strong fit for the AI/ML engineering aspects through computer vision, PyTorch, Python, and model development, but the resume shows no telecommunications, RAN, wireless networking, or related domain experience.",true,simplify:Simplify Internships:739b6998-abbe-4971-ac78-5de770dd33b3
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246415,Booz Allen,AI RAN Telecommunications Engineer Intern,"McLean, VA",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246415,,,2026-08-11T13:41:52+00:00,2026-08-11 06:41 Tue,AI / ML,true,CLI,36,"The candidate has strong computer vision, machine learning, Python/C++, and software engineering experience, but lacks clear telecommunications, radio access network, 5G, or wireless systems expertise required for an AI RAN engineering internship.",true,speedyapply:SpeedyApply AI:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246415
Booz Allen:4928dfb2-7a20-4da6-8405-a591089e515c,Booz Allen,AI RAN Telecommunications Engineer Intern,"McLean, VA",AI/ML/Data,https://bah.wd1.myworkdayjobs.com/bah_jobs/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246869,2026-08-11,2026-08-11,2026-08-11T23:17:30+00:00,2026-08-11 16:17 Tue,AI / ML,true,Keyword,51,title-only listing; auto-passed (no description to score),true,simplify:Simplify Internships:4928dfb2-7a20-4da6-8405-a591089e515c
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246869,Booz Allen,AI RAN Telecommunications Engineer Intern,"McLean, VA",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246869,,,2026-08-12T13:42:08+00:00,2026-08-12 06:42 Wed,AI / ML,true,Keyword,51,title-only listing; auto-passed (no description to score),true,speedyapply:SpeedyApply AI:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/McLean-VA/AI-RAN-Telecommunications-Engineer-Intern_R0246869
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer_R0246508,Booz Allen,AI Software Developer,"San Diego, CA",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer_R0246508,,,2026-08-12T13:42:08+00:00,2026-08-12 06:42 Wed,AI / ML,true,CLI,78,"The candidate has strong computer vision, machine learning, Python/C++ software development, backend, Docker, and automation experience that aligns well with an AI Software Developer role, though the missing job description limits assessment of specific requirements.",true,speedyapply:SpeedyApply SWE:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer_R0246508
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer--Junior_R0246515,Booz Allen,AI Software Developer - Junior,"San Diego, CA",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer--Junior_R0246515,,,2026-08-12T13:42:08+00:00,2026-08-12 06:42 Wed,AI / ML,true,CLI,88,"The candidate is a strong fit for a junior AI software developer role, with hands-on experience in Python, C++, machine learning, computer vision, PyTorch, reinforcement learning, backend systems, testing, and production-oriented software development.",true,speedyapply:SpeedyApply SWE:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer--Junior_R0246515
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer--Junior_R0248284,Booz Allen,AI Software Developer - Junior,"San Diego, CA",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer--Junior_R0248284,,,2026-08-28T22:17:38+00:00,2026-08-28 15:17 Fri,AI / ML,true,Keyword,79,keyword-only heuristic,true,speedyapply:SpeedyApply SWE:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer--Junior_R0248284
Booz Allen:7cef83de-ff10-493e-abfb-9def6ada06d0,Booz Allen,AI Software Developer Intern,"San Diego, CA",Software,https://bah.wd1.myworkdayjobs.com/bah_jobs/job/San-Diego-CA/AI-Software-Developer-Intern_R0248115,2026-08-28,2026-08-28,2026-08-28T22:17:38+00:00,2026-08-28 15:17 Fri,AI / ML,true,Keyword,91,keyword-only heuristic,true,simplify:Simplify Internships:7cef83de-ff10-493e-abfb-9def6ada06d0
Booz Allen:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer-Intern_R0248115,Booz Allen,AI Software Developer Intern,"San Diego, CA",,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer-Intern_R0248115,,,2026-08-30T16:41:25+00:00,2026-08-30 09:41 Sun,AI / ML,true,Keyword,91,keyword-only heuristic,true,speedyapply:SpeedyApply SWE:https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/San-Diego-CA/AI-Software-Developer-Intern_R0248115
