job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Boston Scientific:740153d0-fd38-4fff-bc27-425b307d5c71,Boston Scientific,AI Software Development Intern,"Arden Hills, MN",Software,https://bostonscientific.eightfold.ai/careers/job/563602813600585,2026-09-21,2026-09-21,2026-09-21T23:16:42+00:00,2026-09-21 16:16 Mon,AI / ML,true,Keyword,51,此職缺只有職稱、沒有內文可評分，自動放行,true,simplify:Simplify Internships:740153d0-fd38-4fff-bc27-425b307d5c71,2026-09-21
Boston Scientific:1a872d07-40d8-4b98-8f0f-15127543ae64,Boston Scientific,Data Engineer Intern,"Maple Grove, MN",AI/ML/Data,https://bostonscientific.eightfold.ai/careers/job/563602813501949,2026-09-21,2026-09-21,2026-09-21T23:16:42+00:00,2026-09-21 16:16 Mon,Software Engineering,true,Keyword,51,此職缺只有職稱、沒有內文可評分，自動放行,true,simplify:Simplify Internships:1a872d07-40d8-4b98-8f0f-15127543ae64,2026-09-21
Boston Scientific:30a813fa-60dd-46e6-b380-c00124f3422a,Boston Scientific,Data Science Co-op,"Maple Grove, MN",AI/ML/Data,https://bostonscientific.eightfold.ai/careers/job/563602813600487,2026-09-17,2026-09-17,2026-09-17T23:08:12+00:00,2026-09-17 16:08 Thu,AI / ML,true,CLI:claude,35,此職缺為Data Science Co-op，與候選人專精的電腦視覺與演算法工程背景在領域上不完全吻合，且職缺描述為空無法確認具體技能需求，故僅給予中等偏低分數。,true,simplify:Simplify Internships:30a813fa-60dd-46e6-b380-c00124f3422a,2026-09-17
Boston Scientific:8e0cf74e-42f4-43d0-a860-c0c76661cd92,Boston Scientific,Data Science Engineer Intern,"Arden Hills, MN",AI/ML/Data,https://bostonscientific.eightfold.ai/careers/job/563602813600504,2026-09-21,2026-09-21,2026-09-21T23:16:42+00:00,2026-09-21 16:16 Mon,AI / ML,true,Keyword,51,此職缺只有職稱、沒有內文可評分，自動放行,true,simplify:Simplify Internships:8e0cf74e-42f4-43d0-a860-c0c76661cd92,2026-09-21
Boston Scientific:3201fc61-216d-459c-8e24-3d50db602810,Boston Scientific,R&D Hardware Engineer Intern - Interns/Graduates,"Arden Hills, MN",Hardware,https://bostonscientific.eightfold.ai/careers/job/563602813483105,2026-09-02,2026-09-02,2026-09-02T04:17:41+00:00,2026-09-01 21:17 Tue,,false,,,,false,simplify:Simplify Internships:3201fc61-216d-459c-8e24-3d50db602810,2026-09-02
Boston Scientific:8a34588c-c5ee-4a8a-a5a6-7002eb677f3f,Boston Scientific,R&D Software Engineer Intern,"Arden Hills, MN",Hardware,https://bostonscientific.eightfold.ai/careers/job/563602813483108,2026-09-03,2026-09-03,2026-09-04T03:41:00+00:00,2026-09-03 20:41 Thu,,false,,,,false,simplify:Simplify Internships:8a34588c-c5ee-4a8a-a5a6-7002eb677f3f,2026-09-03
Boston Scientific:1660f3b8-719e-4c50-ab5b-b793e4f1da1f,Boston Scientific,Research Algorithm & Data Science Intern - Interns/Graduates,"Arden Hills, MN",AI/ML/Data,https://bostonscientific.eightfold.ai/careers/job/563602813483110,2026-09-02,2026-09-02,2026-09-02T06:41:49+00:00,2026-09-01 23:41 Tue,AI / ML,true,CLI,85,"Strong fit through extensive computer vision, deep learning, Python/C++ algorithm development, medical imaging experience, research contributions, and current AI graduate study, though the resume provides limited evidence of broader data science beyond ML and computer vision.",true,simplify:Simplify Internships:1660f3b8-719e-4c50-ab5b-b793e4f1da1f,2026-09-02
Boston Scientific:e70a1d3f-de57-4ecd-8e8b-810c43a7f615,Boston Scientific,Research Data Science Intern - Active Implantable Systems,"Arden Hills, MN",AI/ML/Data,https://bostonscientific.eightfold.ai/careers/job/563602813483103,2026-09-02,2026-09-02,2026-09-02T04:17:41+00:00,2026-09-01 21:17 Tue,AI / ML,true,CLI,78,"Strong fit for a research data science internship through substantial medical-imaging, computer vision, PyTorch, C++/Python, algorithm development, and publication-support experience, though direct active implantable systems and biomedical device experience is limited.",true,simplify:Simplify Internships:e70a1d3f-de57-4ecd-8e8b-810c43a7f615,2026-09-02
Boston Scientific:dba1e111-7c03-486c-ac67-456bd8a9e0a0,Boston Scientific,Software Engineer 1 - Engineering,"Arden Hills, MN",Software,https://bostonscientific.eightfold.ai/careers/job/563602813508995,2026-09-03,2026-09-03,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:dba1e111-7c03-486c-ac67-456bd8a9e0a0,2026-09-03
Boston Scientific:f9b5578c-e66c-4b11-a0e1-50809d9627eb,Boston Scientific,Software Engineer Intern - Interns/Graduates,"Maple Grove, MN",Hardware,https://bostonscientific.eightfold.ai/careers/job/563602813549535,2026-09-14,2026-09-14,2026-09-14T06:40:53+00:00,2026-09-13 23:40 Sun,,false,,,,false,simplify:Simplify Internships:f9b5578c-e66c-4b11-a0e1-50809d9627eb,2026-09-14
