job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Bright Machines:f88f2064-0511-4877-9e9f-166aa59944b0,Bright Machines,Assembly Technicians - Night Shift,"Florence, Kentucky",Manufacturing Operations,https://jobs.lever.co/brightmachines/f88f2064-0511-4877-9e9f-166aa59944b0,1780422964893,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,85,keyword-only heuristic,true,lever:Bright Machines:f88f2064-0511-4877-9e9f-166aa59944b0
Bright Machines:10c5c712-0515-49ea-a761-42992eae4c31,Bright Machines,Electrical Engineer,"Guadalajara Area, Mexico",Hardware Engineering,https://jobs.lever.co/brightmachines/10c5c712-0515-49ea-a761-42992eae4c31,1780523326443,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:Bright Machines:10c5c712-0515-49ea-a761-42992eae4c31
Bright Machines:8511bd28-5355-4f7a-8559-e6b25a887e86,Bright Machines,Integration Engineer,"Guadalajara Area, Mexico",Manufacturing Operations,https://jobs.lever.co/brightmachines/8511bd28-5355-4f7a-8559-e6b25a887e86,1773846942717,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:Bright Machines:8511bd28-5355-4f7a-8559-e6b25a887e86
Bright Machines:c12bdeb6-b0cb-405f-b460-16a88051994e,Bright Machines,Manufacturing Trainer,"Florence, Kentucky",Manufacturing Operations,https://jobs.lever.co/brightmachines/c12bdeb6-b0cb-405f-b460-16a88051994e,1783525854699,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:Bright Machines:c12bdeb6-b0cb-405f-b460-16a88051994e
Bright Machines:22ef9828-ece2-4f94-aec6-944362085883,Bright Machines,Manufacturing Trainer,"Florence, Kentucky",Manufacturing Operations,https://jobs.lever.co/brightmachines/22ef9828-ece2-4f94-aec6-944362085883,1775780828700,2026-07-13T18:59:13+00:00,2026-07-13 11:59 Mon,,false,,,,false,lever:Bright Machines:22ef9828-ece2-4f94-aec6-944362085883
Bright Machines:ea78a57b-590c-4332-a9fa-8625ca19881e,Bright Machines,Mechanical Engineer,"Guadalajara Area, Mexico",Hardware Engineering,https://jobs.lever.co/brightmachines/ea78a57b-590c-4332-a9fa-8625ca19881e,1784046736783,2026-07-14T17:59:49+00:00,2026-07-14 10:59 Tue,,false,,,,false,lever:Bright Machines:ea78a57b-590c-4332-a9fa-8625ca19881e
Bright Machines:5ac4592c-116d-4bea-89d4-b791b0fd002a,Bright Machines,Operations Supervisor - Night Shift,"Florence, Kentucky",Manufacturing Operations,https://jobs.lever.co/brightmachines/5ac4592c-116d-4bea-89d4-b791b0fd002a,1775576464950,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:Bright Machines:5ac4592c-116d-4bea-89d4-b791b0fd002a
Bright Machines:3e897651-c597-4496-bbd0-aca58afb1c69,Bright Machines,Robot Perception Engineer - Smart Robotics,"San Francisco, California",Software Engineering,https://jobs.lever.co/brightmachines/3e897651-c597-4496-bbd0-aca58afb1c69,1775230148964,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,67,keyword-only heuristic,true,lever:Bright Machines:3e897651-c597-4496-bbd0-aca58afb1c69
Bright Machines:47620a6b-a8d4-4e4d-bc87-8f3b276771fb,Bright Machines,Senior Lean Manufacturing Engineer / Continuous Improvement Engineer,"Florence, Kentucky",Manufacturing Operations,https://jobs.lever.co/brightmachines/47620a6b-a8d4-4e4d-bc87-8f3b276771fb,1779313325663,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:Bright Machines:47620a6b-a8d4-4e4d-bc87-8f3b276771fb
Bright Machines:cb3457cb-e719-46b2-87f0-5f3e0c0245ac,Bright Machines,Senior Platform Engineer,Remote (USA),Software Engineering,https://jobs.lever.co/brightmachines/cb3457cb-e719-46b2-87f0-5f3e0c0245ac,1782938477203,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Software Engineering,true,Keyword,67,keyword-only heuristic,true,lever:Bright Machines:cb3457cb-e719-46b2-87f0-5f3e0c0245ac
