job_key,company,title,location,department,urls,date_posted,first_seen,track,scored,score_method,experience_score,reason,emailed,source_uids
BRINC:d43b7833-baca-44cc-86f2-7c2b5806c2cd,BRINC," Electrical Engineer, RF","Seattle, WA",Engineering,https://jobs.ashbyhq.com/brinc/d43b7833-baca-44cc-86f2-7c2b5806c2cd,2026-06-01T17:11:43.521+00:00,2026-07-10T15:37:18+00:00,Computer Vision,true,Keyword,100,keyword-only heuristic,true,ashby:BRINC:d43b7833-baca-44cc-86f2-7c2b5806c2cd
BRINC:51cdc028-27ee-4c07-b3f0-1c8e46a94a06,BRINC,"Account Executive, DFR",Remote (Select States),Revenue,https://jobs.ashbyhq.com/brinc/51cdc028-27ee-4c07-b3f0-1c8e46a94a06,2026-05-26T21:26:06.986+00:00,2026-07-10T15:37:18+00:00,,false,,,,false,ashby:BRINC:51cdc028-27ee-4c07-b3f0-1c8e46a94a06
BRINC:fce92aaf-1893-4935-8ed5-1de4cab6430d,BRINC,"Account Executive, Fire/EMS","Remote (Select Territories, USA)",Revenue,https://jobs.ashbyhq.com/brinc/fce92aaf-1893-4935-8ed5-1de4cab6430d,2026-06-18T21:20:36.274+00:00,2026-07-10T15:37:18+00:00,,false,,,,false,ashby:BRINC:fce92aaf-1893-4935-8ed5-1de4cab6430d
BRINC:c130ab96-5b43-4196-8618-87ce0b513062,BRINC,"Associate Project Manager, DFR Implementation",USA,Manufacturing & Production,https://jobs.ashbyhq.com/brinc/c130ab96-5b43-4196-8618-87ce0b513062,2026-04-22T00:53:50.433+00:00,2026-07-10T15:37:18+00:00,Computer Vision,true,Keyword,100,keyword-only heuristic,true,ashby:BRINC:c130ab96-5b43-4196-8618-87ce0b513062
BRINC:50adadb5-35ef-40b8-b485-b34be2a6d1b6,BRINC,"Autonomy Engineer, Navigation","Seattle, WA",Engineering,https://jobs.ashbyhq.com/brinc/50adadb5-35ef-40b8-b485-b34be2a6d1b6,2025-12-03T21:53:03.809+00:00,2026-07-10T15:37:18+00:00,Computer Vision,true,Keyword,100,keyword-only heuristic,true,ashby:BRINC:50adadb5-35ef-40b8-b485-b34be2a6d1b6
BRINC:e8303c5c-6c08-48c8-b17c-6c44552f2ee7,BRINC,"Autonomy Engineer, State Estimation & Control","Seattle, WA",Engineering,https://jobs.ashbyhq.com/brinc/e8303c5c-6c08-48c8-b17c-6c44552f2ee7,2026-07-02T21:43:37.583+00:00,2026-07-10T15:37:18+00:00,Computer Vision,true,Keyword,100,keyword-only heuristic,true,ashby:BRINC:e8303c5c-6c08-48c8-b17c-6c44552f2ee7
BRINC:4cdc261c-24a6-4d69-bd09-8a2d1049d85d,BRINC,"Backend Software Engineer, LiveOps","Seattle, WA",Engineering,https://jobs.ashbyhq.com/brinc/4cdc261c-24a6-4d69-bd09-8a2d1049d85d,2025-08-15T20:01:18.950+00:00,2026-07-10T15:37:18+00:00,Computer Vision,true,Keyword,100,keyword-only heuristic,true,ashby:BRINC:4cdc261c-24a6-4d69-bd09-8a2d1049d85d
BRINC:ee1e0513-1fea-463e-aca5-8c5ea1aac24f,BRINC,DFR Installation Technician,USA,Manufacturing & Production,https://jobs.ashbyhq.com/brinc/ee1e0513-1fea-463e-aca5-8c5ea1aac24f,2026-06-23T18:49:20.715+00:00,2026-07-10T15:37:18+00:00,Computer Vision,true,Keyword,100,keyword-only heuristic,true,ashby:BRINC:ee1e0513-1fea-463e-aca5-8c5ea1aac24f
BRINC:5f561411-9ee8-446f-8e1e-770cdd13db13,BRINC,"Director of Software Engineering, Web Platform","Seattle, WA",Engineering,https://jobs.ashbyhq.com/brinc/5f561411-9ee8-446f-8e1e-770cdd13db13,2026-02-05T22:18:30.451+00:00,2026-07-10T15:37:18+00:00,,false,,,,false,ashby:BRINC:5f561411-9ee8-446f-8e1e-770cdd13db13
BRINC:4ffc380f-5194-4475-ae00-141b5c8b41bc,BRINC,Electrical Engineer,"Seattle, WA",Engineering,https://jobs.ashbyhq.com/brinc/4ffc380f-5194-4475-ae00-141b5c8b41bc,2026-01-07T01:33:10.049+00:00,2026-07-10T15:37:18+00:00,Computer Vision,true,Keyword,100,keyword-only heuristic,true,ashby:BRINC:4ffc380f-5194-4475-ae00-141b5c8b41bc
