job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Butterfly Network:7797898003,Butterfly Network,Client Support Specialist III,"New York, NY Office",Client Support,https://www.butterflynetwork.com/careers?gh_jid=7797898003,2026-07-14T15:40:54-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Butterfly Network:7797898003
Butterfly Network:7700987003,Butterfly Network,Customer Engineering Program Manager - BFLY Embedded,California - Hybrid,BFLY Embedded - S&M,https://www.butterflynetwork.com/careers?gh_jid=7700987003,2026-07-14T15:41:55-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Butterfly Network:7700987003
Butterfly Network:7789296003,Butterfly Network,Director Product Marketing - Emergency Medicine (Temp to Perm),"New York, NY Office",Global & Enterprise Marketing,https://www.butterflynetwork.com/careers?gh_jid=7789296003,2026-07-14T09:53:22-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Butterfly Network:7789296003
Butterfly Network:7753260003,Butterfly Network,"Distinguished Engineer, ASIC (CONTRACT)","Burlington, MA Office; California - Hybrid; New York, NY Office; Other",ASIC,https://www.butterflynetwork.com/careers?gh_jid=7753260003,2026-07-13T16:37:40-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Butterfly Network:7753260003
Butterfly Network:7568987003,Butterfly Network,"Distinguished Engineer, Digital ASIC ","Burlington, MA Office; California - Hybrid; New York, NY Office",ASIC,https://www.butterflynetwork.com/careers?gh_jid=7568987003,2026-07-14T15:42:46-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Butterfly Network:7568987003
Butterfly Network:7775379003,Butterfly Network,Distributor & Global Health Partnerships Manager,Kenya - Remote,International Sales,https://www.butterflynetwork.com/careers?gh_jid=7775379003,2026-07-16T14:31:09-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Butterfly Network:7775379003
Butterfly Network:7701106003,Butterfly Network,Engineering Program Manager,California - Hybrid,BFLY Embedded - S&M,https://www.butterflynetwork.com/careers?gh_jid=7701106003,2026-07-14T15:41:54-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Butterfly Network:7701106003
Butterfly Network:7765074003,Butterfly Network,FP&A Senior Analyst,"New York, NY Office",Finance,https://www.butterflynetwork.com/careers?gh_jid=7765074003,2026-07-14T15:43:15-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:Butterfly Network:7765074003
Butterfly Network:7812797003,Butterfly Network,HR Generalist,"New York, NY Office",HR,https://www.butterflynetwork.com/careers?gh_jid=7812797003,2026-07-23T09:24:28-04:00,2026-07-23T13:41:34+00:00,2026-07-23 06:41 Thu,,false,,,,false,greenhouse:Butterfly Network:7812797003
Butterfly Network:7809688003,Butterfly Network,IT Service Desk Engineer,"New York, NY Office",Service & Delivery,https://www.butterflynetwork.com/careers?gh_jid=7809688003,2026-07-21T09:10:05-04:00,2026-07-21T13:17:41+00:00,2026-07-21 06:17 Tue,Computer Vision,true,Keyword,49,keyword-only heuristic,false,greenhouse:Butterfly Network:7809688003
