job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
CAE:5896e523-7da8-4367-a4fd-6569940ba09a,CAE,AI Intern,"Montreal, QC, Canada",AI/ML/Data,https://cae.wd3.myworkdayjobs.com/career/job/Montreal-St-Laurent/C-IT-106---AI-Intern_122744,2026-07-16,2026-07-16,2026-07-17T00:17:25+00:00,2026-07-16 17:17 Thu,,false,,,,false,simplify:Simplify Internships:5896e523-7da8-4367-a4fd-6569940ba09a,2026-07-16
CAE:https://cae.wd3.myworkdayjobs.com/en-US/career/job/Altus-OK-USA/ATS-Software-Engineer_122982,CAE,ATS Software Engineer,"Altus, OK",,https://cae.wd3.myworkdayjobs.com/en-US/career/job/Altus-OK-USA/ATS-Software-Engineer_122982,,,2026-08-11T13:41:52+00:00,2026-08-11 06:41 Tue,Software Engineering,true,CLI,18,"The candidate has strong Python/C++ software, automation, and computer-vision experience, but the posting provides no description and there is no clear evidence of ATS-specific systems, CAE-domain experience, or willingness to work in Altus, Oklahoma.",false,speedyapply:SpeedyApply SWE:https://cae.wd3.myworkdayjobs.com/en-US/career/job/Altus-OK-USA/ATS-Software-Engineer_122982,
CAE:https://cae.wd3.myworkdayjobs.com/en-US/career/job/Altus-OK-USA/ATS-Software-Engineer_122983-1,CAE,ATS Software Engineer,"Altus, OK",,https://cae.wd3.myworkdayjobs.com/en-US/career/job/Altus-OK-USA/ATS-Software-Engineer_122983-1,,,2026-08-11T13:41:52+00:00,2026-08-11 06:41 Tue,Software Engineering,true,CLI,68,"The candidate has credible software engineering experience in Python, C++, C#, backend systems, automated testing, Docker, databases, and performance optimization, but the missing job description prevents confirming alignment with CAE's specific domain and seniority requirements.",true,speedyapply:SpeedyApply SWE:https://cae.wd3.myworkdayjobs.com/en-US/career/job/Altus-OK-USA/ATS-Software-Engineer_122983-1,
CAE:c1805576-cb5c-4965-80c8-d31aeac5e274,CAE,Business Intelligence Analyst & Developer Intern,"Montreal, QC, Canada",AI/ML/Data,https://cae.wd3.myworkdayjobs.com/career/job/Montreal-St-Laurent/C-GE-917---Stagaire-en-analyste-et-dveloppeur-en-Intelligence-d-affaires_123723,2026-09-21,2026-09-21,2026-09-21T23:16:42+00:00,2026-09-21 16:16 Mon,,false,,,,false,simplify:Simplify Internships:c1805576-cb5c-4965-80c8-d31aeac5e274,2026-09-21
CAE:05c29d98-1be6-40fd-a754-fa374b2a3774,CAE,C++ Backend Developer Intern - Image Generator,"Montreal, QC, Canada",Software,https://cae.wd3.myworkdayjobs.com/career/job/Montreal-St-Laurent/C-GE-925---Dveloppeur-se--C-----Back-end--_123655,2026-09-21,2026-09-21,2026-09-21T23:16:42+00:00,2026-09-21 16:16 Mon,,false,,,,false,simplify:Simplify Internships:05c29d98-1be6-40fd-a754-fa374b2a3774,2026-09-21
CAE:35198eff-0919-482c-86ff-21b8e8d1cd07,CAE,C++ CGF Unreal Developer Intern,"Montreal, QC, Canada",Software,https://cae.wd3.myworkdayjobs.com/career/job/Montreal-St-Laurent/C-GE-416---Stagiaire-dveloppeur-se--C---CGF-Unreal_123656,2026-09-21,2026-09-21,2026-09-21T23:16:42+00:00,2026-09-21 16:16 Mon,,false,,,,false,simplify:Simplify Internships:35198eff-0919-482c-86ff-21b8e8d1cd07,2026-09-21
CAE:1d80ea78-05cb-4f34-8a55-0a7244943518,CAE,Configuration and Data Management Analyst Co-op,"Little Rock, AR",AI/ML/Data,https://cae.wd3.myworkdayjobs.com/career/job/Little-Rock/Configuration-and-Data-Management-Analyst-Co-Op_122365,2026-06-22,2026-06-22,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:1d80ea78-05cb-4f34-8a55-0a7244943518,2026-06-22
CAE:794a6e37-b706-4b81-b622-a436e5852cad,CAE,Data Specialist Intern,"Montreal, QC, Canada",AI/ML/Data,https://cae.wd3.myworkdayjobs.com/career/job/Montreal-St-Laurent/C-IT-105--Data-Specialist-intern_122741,2026-07-16,2026-07-16,2026-07-17T00:17:25+00:00,2026-07-16 17:17 Thu,,false,,,,false,simplify:Simplify Internships:794a6e37-b706-4b81-b622-a436e5852cad,2026-07-16
CAE:efa65a8c-d804-442f-9165-003d9fe830c6,CAE,Engineering Co-op,"Tampa, FL",Software,https://cae.wd3.myworkdayjobs.com/career/job/Tampa/University-of-Florida---Engineering-Co-op_118040,2026-05-09,2026-05-09,2026-07-21T05:17:23+00:00,2026-07-20 22:17 Mon,,false,,,,false,simplify:Simplify Internships:efa65a8c-d804-442f-9165-003d9fe830c6,2026-05-09
CAE:9fa8f7b4-6cba-43a1-b610-c1a9bb1bd56c,CAE,Integration Specialist Defense & Security Intern,"Montreal, QC, Canada",Software,https://cae.wd3.myworkdayjobs.com/career/job/Montreal-St-Laurent/C-GE-470---Spcialiste-d-intgration-Dfense-et-scurit_120963,2026-09-21,2026-09-21,2026-09-21T23:16:42+00:00,2026-09-21 16:16 Mon,,false,,,,false,simplify:Simplify Internships:9fa8f7b4-6cba-43a1-b610-c1a9bb1bd56c,2026-09-21
