job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Carbon Robotics:4694050006,Carbon Robotics,Contract QA Field Technician,"Pasco, WA",Field Operations,https://carbonrobotics.com/job-openings?gh_jid=4694050006,2026-07-09T12:53:35-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Carbon Robotics:4694050006
Carbon Robotics:4673637006,Carbon Robotics,Deep Learning Engineer ,"Seattle, WA",Deep Learning,https://carbonrobotics.com/job-openings?gh_jid=4673637006,2026-05-13T16:50:06-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Carbon Robotics:4673637006
Carbon Robotics:4689230006,Carbon Robotics,Deep Learning Quality Specialist,"Seattle, WA",Deep Learning,https://carbonrobotics.com/job-openings?gh_jid=4689230006,2026-06-19T18:16:40-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Carbon Robotics:4689230006
Carbon Robotics:4680066006,Carbon Robotics,"Electrical Engineer, COTS/Sensor","Seattle, WA",Electrical Engineering,https://carbonrobotics.com/job-openings?gh_jid=4680066006,2026-06-16T18:06:35-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Carbon Robotics:4680066006
Carbon Robotics:4676897006,Carbon Robotics,"Electrical Engineer, Hardware Edge Compute","Seattle, WA",Electrical Engineering,https://carbonrobotics.com/job-openings?gh_jid=4676897006,2026-05-07T12:51:15-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Carbon Robotics:4676897006
Carbon Robotics:4683283006,Carbon Robotics,"Electrical Engineer, PCB Design","Seattle, WA",Electrical Engineering,https://carbonrobotics.com/job-openings?gh_jid=4683283006,2026-05-20T18:51:10-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Carbon Robotics:4683283006
Carbon Robotics:4692741006,Carbon Robotics,Field Marketing and Sales Support Specialist,Australia,Sales,https://carbonrobotics.com/job-openings?gh_jid=4692741006,2026-07-01T03:48:20-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Carbon Robotics:4692741006
Carbon Robotics:4672952006,Carbon Robotics,"Jr. Software Engineer, Mobile","Seattle, WA",Software Engineering,https://carbonrobotics.com/job-openings?gh_jid=4672952006,2026-06-24T13:22:50-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Carbon Robotics:4672952006
Carbon Robotics:4672950006,Carbon Robotics,"Jr. Software Engineer, Robot Systems","Seattle, WA",Software Engineering,https://carbonrobotics.com/job-openings?gh_jid=4672950006,2026-07-21T17:31:49-04:00,2026-07-21T21:41:37+00:00,2026-07-21 14:41 Tue,Computer Vision,true,Keyword,70,keyword-only heuristic,true,greenhouse:Carbon Robotics:4672950006
Carbon Robotics:4662063006,Carbon Robotics,"Manager, Software Engineering - Front end/Mobile","Seattle, WA",Software Engineering,https://carbonrobotics.com/job-openings?gh_jid=4662063006,2026-04-28T20:46:29-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Carbon Robotics:4662063006
