job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Cisco:/job/Bratislava-Slovakia/XMLNAME--sr--Software-Engineer_2021437,Cisco,(sr.) Software Engineer,"Bratislava, Slovakia",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Bratislava-Slovakia/XMLNAME--sr--Software-Engineer_2021437,Posted 14 Days Ago,2026-08-13,2026-08-13T21:41:53+00:00,2026-08-13 14:41 Thu,,false,,,,false,workday:Cisco:/job/Bratislava-Slovakia/XMLNAME--sr--Software-Engineer_2021437
Cisco:/job/Herndon-Virginia-US/XMLNAME-2019369-Customer-Delivery-Consulting-Engineer---Security_2019369,Cisco,2019369 Customer Delivery Consulting Engineer - Security,Herndon-Virginia-US,,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Herndon-Virginia-US/XMLNAME-2019369-Customer-Delivery-Consulting-Engineer---Security_2019369,Posted 3 Days Ago,2026-08-29,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Cisco:/job/Herndon-Virginia-US/XMLNAME-2019369-Customer-Delivery-Consulting-Engineer---Security_2019369
Cisco:/job/San-Jose-California-US/Accelerated-Compute-Hardware-Engineering-Technical-Lead--Hybrid-_2018878,Cisco,Accelerated Compute Hardware Engineering Technical Lead (Hybrid),"San Jose, California, US",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/San-Jose-California-US/Accelerated-Compute-Hardware-Engineering-Technical-Lead--Hybrid-_2018878,Posted 25 Days Ago,2026-07-24,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/San-Jose-California-US/Accelerated-Compute-Hardware-Engineering-Technical-Lead--Hybrid-_2018878
Cisco:/job/North-Sydney-Australia/Account-CTO---Australia-Service-Provider_2021025-1,Cisco,Account CTO – Australia Service Provider,North-Sydney-Australia,,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/North-Sydney-Australia/Account-CTO---Australia-Service-Provider_2021025-1,Posted 8 Days Ago,2026-08-10,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/North-Sydney-Australia/Account-CTO---Australia-Service-Provider_2021025-1
Cisco:/job/Dallas-Texas-US/Account-Executive--Dallas----Portfolio_2022336,Cisco,Account Executive (Dallas) - Portfolio,"Dallas, Texas, US",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Dallas-Texas-US/Account-Executive--Dallas----Portfolio_2022336,Posted 7 Days Ago,2026-08-11,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Dallas-Texas-US/Account-Executive--Dallas----Portfolio_2022336
Cisco:/job/Minato-Japan/Account-Executive--Enterprise-_2021495,Cisco,Account Executive (Enterprise),"Minato, Japan",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Minato-Japan/Account-Executive--Enterprise-_2021495,Posted 4 Days Ago,2026-08-14,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Minato-Japan/Account-Executive--Enterprise-_2021495
Cisco:/job/Minato-Japan/Account-Executive--Enterprise-_2021496,Cisco,Account Executive (Enterprise),"Minato, Japan",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Minato-Japan/Account-Executive--Enterprise-_2021496,Posted 6 Days Ago,2026-08-12,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Minato-Japan/Account-Executive--Enterprise-_2021496
Cisco:/job/Remote---Florida-USA/Account-Executive--Jacksonville----Portfolio_2021392,Cisco,Account Executive (Jacksonville) - Portfolio,"Remote - Florida, USA",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Remote---Florida-USA/Account-Executive--Jacksonville----Portfolio_2021392,Posted 6 Days Ago,2026-08-12,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Remote---Florida-USA/Account-Executive--Jacksonville----Portfolio_2021392
Cisco:/job/Minato-Japan/Account-Executive--Service-Provider-_2021777-1,Cisco,Account Executive (Service Provider),"Minato, Japan",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Minato-Japan/Account-Executive--Service-Provider-_2021777-1,Posted Yesterday,2026-08-17,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Minato-Japan/Account-Executive--Service-Provider-_2021777-1
Cisco:/job/Minato-Japan/Account-Executive--Service-_2020455-1,Cisco,Account Executive (Service),"Minato, Japan",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Minato-Japan/Account-Executive--Service-_2020455-1,Posted Today,2026-08-03,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Cisco:/job/Minato-Japan/Account-Executive--Service-_2020455-1
Cisco:/job/Minato-Japan/Account-Executive---Splunk_2019191-1,Cisco,Account Executive (公共担当) - Splunk,"Minato, Japan",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Minato-Japan/Account-Executive---Splunk_2019191-1,Posted Today,2026-08-03,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Cisco:/job/Minato-Japan/Account-Executive---Splunk_2019191-1
Cisco:/job/Kita-Japan/Account-Executive---_2020643-1,Cisco,Account Executive (西日本),"Kita, Japan",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Kita-Japan/Account-Executive---_2020643-1,Posted Yesterday,2026-08-17,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Kita-Japan/Account-Executive---_2020643-1
Cisco:/job/Singapore-Singapore/Account-Executive---Architecture_2020642,Cisco,Account Executive - AI,Singapore-Singapore,,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Singapore-Singapore/Account-Executive---Architecture_2020642,Posted 6 Days Ago,2026-08-12,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Singapore-Singapore/Account-Executive---Architecture_2020642
Cisco:/job/Boston-Massachusetts-US/Account-Executive---Americas-Service-Providers---ThousandEyes_2018744,Cisco,Account Executive - Americas Service Providers - ThousandEyes,Boston-Massachusetts-US,,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Boston-Massachusetts-US/Account-Executive---Americas-Service-Providers---ThousandEyes_2018744,Posted Yesterday,2026-08-17,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Boston-Massachusetts-US/Account-Executive---Americas-Service-Providers---ThousandEyes_2018744
Cisco:/job/Madrid-Spain/Account-Executive---Architecture_2019429,Cisco,Account Executive - Architecture,15 Locations,,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Madrid-Spain/Account-Executive---Architecture_2019429,Posted Today,2026-08-03,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Cisco:/job/Madrid-Spain/Account-Executive---Architecture_2019429
Cisco:/job/Seattle-Washington-US/Account-Executive---Architecture_2019383,Cisco,Account Executive - Architecture,5 Locations,,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Seattle-Washington-US/Account-Executive---Architecture_2019383,Posted 3 Days Ago,2026-07-31,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Cisco:/job/Seattle-Washington-US/Account-Executive---Architecture_2019383
Cisco:/job/Bangalore-India/Account-Executive---Architecture_2019306-1,Cisco,Account Executive - Architecture,"Bangalore, India",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Bangalore-India/Account-Executive---Architecture_2019306-1,Posted 22 Days Ago,2026-07-27,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Bangalore-India/Account-Executive---Architecture_2019306-1
Cisco:/job/Dusseldorf-Germany/Account-Executive---Architecture_2018493-1,Cisco,Account Executive - Architecture,Dusseldorf-Germany,,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Dusseldorf-Germany/Account-Executive---Architecture_2018493-1,Posted 7 Days Ago,2026-08-11,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Dusseldorf-Germany/Account-Executive---Architecture_2018493-1
Cisco:/job/Paris-France/Account-Executive---Architecture_2019307,Cisco,Account Executive - Architecture,"Paris, France",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Paris-France/Account-Executive---Architecture_2019307,Posted 30+ Days Ago,2026-07-19,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Paris-France/Account-Executive---Architecture_2019307
Cisco:/job/Wallisellen-Switzerland/Account-Executive---Architecture_2018627,Cisco,Account Executive - Architecture,Wallisellen-Switzerland,,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Wallisellen-Switzerland/Account-Executive---Architecture_2018627,Posted Today,2026-08-18,2026-08-18T12:28:09+00:00,2026-08-18 05:28 Tue,,false,,,,false,workday:Cisco:/job/Wallisellen-Switzerland/Account-Executive---Architecture_2018627
Cisco:/job/Doha-Qatar/Account-Executive---Architecture---Qatar_2019473,Cisco,Account Executive - Architecture - Qatar,Doha-Qatar,,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Doha-Qatar/Account-Executive---Architecture---Qatar_2019473,Posted 6 Days Ago,2026-08-12,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Doha-Qatar/Account-Executive---Architecture---Qatar_2019473
Cisco:/job/Eschborn-Germany/Account-Executive---Architecture---ThousandEyes_2018390-1,Cisco,Account Executive - Architecture - ThousandEyes,"Eschborn, Germany",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Eschborn-Germany/Account-Executive---Architecture---ThousandEyes_2018390-1,Posted 28 Days Ago,2026-07-21,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Eschborn-Germany/Account-Executive---Architecture---ThousandEyes_2018390-1
Cisco:/job/Canberra-Australia/Account-Executive---Canberra_2020005,Cisco,Account Executive - Canberra,"Canberra, Australia",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/Canberra-Australia/Account-Executive---Canberra_2020005,Posted 8 Days Ago,2026-08-10,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/Canberra-Australia/Account-Executive---Canberra_2020005
Cisco:/job/London-United-Kingdom/Account-Executive---Higher-Education_2011944-1,Cisco,Account Executive - Higher Education,London-United-Kingdom,,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/London-United-Kingdom/Account-Executive---Higher-Education_2011944-1,Posted 30+ Days Ago,2026-07-19,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Cisco:/job/London-United-Kingdom/Account-Executive---Higher-Education_2011944-1
Cisco:/job/San-Francisco-California-US/Account-Executive---Isovalent--Cloud-Native-Security-_2015900,Cisco,Account Executive - Isovalent (Cloud Native Security),"San Francisco, California, US",,https://cisco.wd5.myworkdayjobs.com/en-US/Cisco_Careers/job/San-Francisco-California-US/Account-Executive---Isovalent--Cloud-Native-Security-_2015900,Posted Yesterday,2026-08-02,2026-08-03T09:21:28+00:00,2026-08-03 02:21 Mon,,false,,,,false,workday:Cisco:/job/San-Francisco-California-US/Account-Executive---Isovalent--Cloud-Native-Security-_2015900
