job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Citadel:78885859-7ae3-42cc-a2db-f5d8aff6bfc7,Citadel,Investment & Trading Intern,"London, UK; Paris, France",Quant,https://www.citadel.com/careers/details/investment-trading-intern-europe/,2026-07-13,2026-07-13T22:37:07+00:00,2026-07-13 15:37 Mon,,false,,,,false,simplify:Simplify Internships:78885859-7ae3-42cc-a2db-f5d8aff6bfc7
Citadel:9a900104-2a94-4f83-8db2-d908f008ed99,Citadel,Machine Learning Researcher – PhD Intern - US,NYC,AI/ML/Data,https://www.citadel.com/careers/details/machine-learning-researcher-phd-intern-us/,2026-01-22,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:9a900104-2a94-4f83-8db2-d908f008ed99
Citadel:3781fd12-0d4b-4e6f-a890-013b3381c856,Citadel,Quantitative Research Analyst Intern,"London, UK; Paris, France",Quant,https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-europe/,2026-07-01,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:3781fd12-0d4b-4e6f-a890-013b3381c856
Citadel:48327e8c-a8f7-4339-83a4-019ef774f663,Citadel,Quantitative Research Analyst Intern,"Greenwich, CT; Miami, FL; NYC",Quant,https://www.citadel.com/careers/details/quantitative-research-analyst-intern-us/,2026-07-06,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:48327e8c-a8f7-4339-83a4-019ef774f663
Citadel:1f74ca3f-e832-45e6-bc13-b8222034e373,Citadel,Quantitative Research Engineer Intern,"Greenwich, CT; Houston, TX; Miami, FL; NYC",Quant,https://www.citadel.com/careers/details/quantitative-research-engineer-phd-intern-us/,2026-07-01,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:1f74ca3f-e832-45e6-bc13-b8222034e373
Citadel:bd8719b9-2be8-458c-ad81-df18b03a5ef2,Citadel,Quantitative Research Engineer Intern,"London, UK",Quant,https://www.citadel.com/careers/details/quantitative-research-engineer-phd-intern-europe/,2026-07-13,2026-07-13T23:16:56+00:00,2026-07-13 16:16 Mon,,false,,,,false,simplify:Simplify Internships:bd8719b9-2be8-458c-ad81-df18b03a5ef2
Citadel:6813e05c-291f-4297-bae8-9e6c59d4a809,Citadel,Quantitative Researcher – PhD Intern,"Greenwich, CT; Houston, TX; Miami, FL; NYC",Quant,https://www.citadel.com/careers/details/quantitative-researcher-phd-intern-us/,2026-07-01,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:6813e05c-291f-4297-bae8-9e6c59d4a809
Citadel:867acde4-08ae-4a84-baf0-63bb696e9e45,Citadel,Quantitative Researcher – PhD Intern,"London, UK",Quant,https://www.citadel.com/careers/details/quantitative-researcher-phd-intern-europe/,2026-07-01,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:867acde4-08ae-4a84-baf0-63bb696e9e45
Citadel:af41c8d1-6670-4cbb-9111-9204ac3a4da9,Citadel,Quantitative Trader: Equity Quantitative Research Intern,NYC,Quant,https://www.citadel.com/careers/details/quantitative-trader-equity-quantitative-research-intern-us/,2026-07-07,2026-07-08T02:45:08+00:00,2026-07-07 19:45 Tue,,false,,,,false,simplify:Simplify Internships:af41c8d1-6670-4cbb-9111-9204ac3a4da9
Citadel:28286b52-4c99-4d00-a870-d919c13d68c6,Citadel,Software Engineer Intern,"Greenwich, CT; Houston, TX; Miami, FL; NYC",Software,https://www.citadel.com/careers/details/software-engineer-intern-us/,2026-07-06,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:28286b52-4c99-4d00-a870-d919c13d68c6
Citadel:1ea0ca0e-e61d-4b8d-92fd-4a97c6ba9d82,Citadel,Software Engineer Intern,"London, UK",Software,https://www.citadel.com/careers/details/software-engineer-intern-europe/,2026-07-13,2026-07-13T22:37:07+00:00,2026-07-13 15:37 Mon,,false,,,,false,simplify:Simplify Internships:1ea0ca0e-e61d-4b8d-92fd-4a97c6ba9d82
Citadel:79ceb913-ca59-4a50-9fa9-18c378d86c3e,Citadel,Trader: Fixed Income & Macro Intern,"Greenwich, CT; Miami, FL; NYC",Quant,https://www.citadel.com/careers/details/trader-fixed-income-macro-intern-us/,2026-07-06,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:79ceb913-ca59-4a50-9fa9-18c378d86c3e
