job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Crowe:8876789e-be2c-4a8f-9478-572e3f0085cb,Crowe,AI Engineering Intern,"Chicago, IL",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Engineering-Intern_R-51782,,2026-08-13T23:06:38+00:00,2026-08-13 16:06 Thu,AI / ML,true,Keyword,51,title-only listing; auto-passed (no description to score),true,simplify:Simplify Internships:8876789e-be2c-4a8f-9478-572e3f0085cb|speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Engineering-Intern_R-51782
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Consultant_R-71010,Crowe,AI Functional Consultant,"Chicago, IL",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Consultant_R-71010,,2026-08-14T13:41:47+00:00,2026-08-14 06:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Consultant_R-71010
Crowe:6aeabe90-0f4e-41a7-98a2-cdb7fee43531,Crowe,AI Functional Intern,"Chicago, IL",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Intern_R-71008,,2026-08-13T20:41:47+00:00,2026-08-13 13:41 Thu,AI / ML,true,Keyword,51,title-only listing; auto-passed (no description to score),true,simplify:Simplify Internships:6aeabe90-0f4e-41a7-98a2-cdb7fee43531|speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Intern_R-71008
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Project-Coordinator-Intern_R-71007,Crowe,AI Project Coordinator Intern,"Chicago, IL",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Project-Coordinator-Intern_R-71007,,2026-08-15T12:59:12+00:00,2026-08-15 05:59 Sat,AI / ML,true,Keyword,51,title-only listing; auto-passed (no description to score),true,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Project-Coordinator-Intern_R-71007
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Technical-Consultant_R-71012,Crowe,AI Technical Consultant,"Chicago, IL",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Technical-Consultant_R-71012,,2026-08-15T12:59:12+00:00,2026-08-15 05:59 Sat,,false,,,,false,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Technical-Consultant_R-71012
Crowe:f519e8b4-d882-47ae-9e82-f3d6f5b73a20,Crowe,D365 ERP Technical Intern - Consulting Practice,"Chicago, IL",AI/ML/Data,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/D365-ERP-Technical-Intern_R-71039,2026-08-14,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,,false,,,,false,simplify:Simplify Internships:f519e8b4-d882-47ae-9e82-f3d6f5b73a20
Crowe:c03d8dac-ac38-4a3b-a18e-a3d69d6b8232,Crowe,Data Analytics Developer Intern,"Chicago, IL",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Data-Analytics-Developer-Intern_R-71041,,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,Other Technical,true,Keyword,51,title-only listing; auto-passed (no description to score),true,simplify:Simplify Internships:c03d8dac-ac38-4a3b-a18e-a3d69d6b8232|speedyapply:SpeedyApply SWE:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Data-Analytics-Developer-Intern_R-71041
Crowe:c8baf20f-0c80-4834-b6ee-95c9c1ddcb08,Crowe,Data Consultant Intern,"Chicago, IL",AI/ML/Data,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Data-Consultant-Intern_R-71042,2026-08-14,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,,false,,,,false,simplify:Simplify Internships:c8baf20f-0c80-4834-b6ee-95c9c1ddcb08
Crowe:9c648fd4-14e8-4044-af8a-cf68219f8195,Crowe,Machine Learning Intern,"Chicago, IL +36",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Intern_R-71005,,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,AI / ML,true,Keyword,51,title-only listing; auto-passed (no description to score),true,simplify:Simplify Internships:9c648fd4-14e8-4044-af8a-cf68219f8195|speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Intern_R-71005
Crowe:d02658b8-38cb-4fc7-9841-62916abfefc2,Crowe,Machine Learning Intern,"Chicago, IL +36",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Intern_R-71013,,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,AI / ML,true,Keyword,51,title-only listing; auto-passed (no description to score),true,simplify:Simplify Internships:d02658b8-38cb-4fc7-9841-62916abfefc2|speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Intern_R-71013
