job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
D.E. Shaw:Administrative-Associate-6-Month-LTA-Midtown-5874,D.E. Shaw,Administrative Associate (6-Month LTA) - Midtown,New York,Administration,https://www.deshaw.com/careers/Administrative-Associate-6-Month-LTA-Midtown-5874,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Administrative-Associate-6-Month-LTA-Midtown-5874
D.E. Shaw:AI-Enablement-Strategist-Learning-Development-5944,D.E. Shaw,AI Enablement Strategist – Learning & Development,New York,Human Capital,https://www.deshaw.com/careers/AI-Enablement-Strategist-Learning-Development-5944,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,AI / ML,true,CLI,25,"The candidate has solid hands-on AI/ML engineering experience, but this role is primarily a business-facing Learning & Development strategy position requiring AI enablement, training design, and organizational change skills rather than computer vision engineering.",false,deshaw:D.E. Shaw:AI-Enablement-Strategist-Learning-Development-5944
D.E. Shaw:AI-Product-Engineer-Private-Equity-Platform-5637,D.E. Shaw,AI Product Engineer - Private Equity Platform,New York,Private Equity Platform,https://www.deshaw.com/careers/AI-Product-Engineer-Private-Equity-Platform-5637,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:AI-Product-Engineer-Private-Equity-Platform-5637
D.E. Shaw:AI-Product-Engineer-Venture-Studio-Startup-Incubator-5545,D.E. Shaw,AI Product Engineer – Venture Studio (Startup Incubator),New York,Venture Studio – Internal,https://www.deshaw.com/careers/AI-Product-Engineer-Venture-Studio-Startup-Incubator-5545,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:AI-Product-Engineer-Venture-Studio-Startup-Incubator-5545
D.E. Shaw:AI-Specialist-Human-Capital-5841,D.E. Shaw,AI Specialist – Human Capital,New York,Human Capital,https://www.deshaw.com/careers/AI-Specialist-Human-Capital-5841,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,AI / ML,true,CLI,55,"The candidate has solid AI/ML engineering experience and could contribute technically, but the role is human-capital/product-workflow focused with unclear emphasis on hands-on CV or backend depth, making the domain fit only moderate.",true,deshaw:D.E. Shaw:AI-Specialist-Human-Capital-5841
D.E. Shaw:All-Positions-in-Legal-Compliance-2985,D.E. Shaw,All Positions in Legal & Compliance,New York,Legal & Compliance,https://www.deshaw.com/careers/All-Positions-in-Legal-Compliance-2985,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:All-Positions-in-Legal-Compliance-2985
D.E. Shaw:All-Positions-in-Quantitative-Strategies-3456,D.E. Shaw,All Positions in Quantitative Strategies,New York,Quantitative Strategies,https://www.deshaw.com/careers/All-Positions-in-Quantitative-Strategies-3456,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:All-Positions-in-Quantitative-Strategies-3456
D.E. Shaw:All-Positions-in-Systems-3480,D.E. Shaw,All Positions in Systems,New York,Technology,https://www.deshaw.com/careers/All-Positions-in-Systems-3480,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:All-Positions-in-Systems-3480
D.E. Shaw:Alternative-Data-Analyst-5765,D.E. Shaw,Alternative Data Analyst,New York,Financial Research,https://www.deshaw.com/careers/Alternative-Data-Analyst-5765,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Alternative-Data-Analyst-5765
D.E. Shaw:Alternative-Data-Analyst-5836,D.E. Shaw,Alternative Data Analyst,Denver,Financial Research,https://www.deshaw.com/careers/Alternative-Data-Analyst-5836,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Alternative-Data-Analyst-5836
D.E. Shaw:Applied-AI-Engineer-5375,D.E. Shaw,Applied AI Engineer,New York,Quantitative Strategies,https://www.deshaw.com/careers/Applied-AI-Engineer-5375,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,AI / ML,true,CLI,78,"Strong fit for applied AI engineering due to 5 years of Python/C++ ML/CV experience, PyTorch, automation, backend deployment, and agent-like RL/screen-based systems, though the resume shows limited explicit LLM/AI-agent production experience and no finance/domain exposure.",true,deshaw:D.E. Shaw:Applied-AI-Engineer-5375
D.E. Shaw:Associate-Firmwide-Technology-Management-5886,D.E. Shaw,Associate – Firmwide Technology Management,New York,COO Group,https://www.deshaw.com/careers/Associate-Firmwide-Technology-Management-5886,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Associate-Firmwide-Technology-Management-5886
D.E. Shaw:Compliance-Analyst-5722,D.E. Shaw,Compliance Analyst,New York,Legal & Compliance,https://www.deshaw.com/careers/Compliance-Analyst-5722,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Compliance-Analyst-5722
D.E. Shaw:Compliance-Officer-5855,D.E. Shaw,Compliance Officer,New York,Legal & Compliance,https://www.deshaw.com/careers/Compliance-Officer-5855,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Compliance-Officer-5855
D.E. Shaw:COO-Group-Associate-5258,D.E. Shaw,COO Group Associate,New York,COO Group,https://www.deshaw.com/careers/COO-Group-Associate-5258,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:COO-Group-Associate-5258
D.E. Shaw:Cross-Platform-Software-Engineer-5850,D.E. Shaw,Cross Platform Software Engineer,New York,Technology,https://www.deshaw.com/careers/Cross-Platform-Software-Engineer-5850,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,Software Engineering,true,CLI,68,"Strong general engineering background with Python, C++, C#, automation, Docker, Linux, and cross-functional tool-building experience, but the resume is more ML/CV-focused and lacks clear evidence of enterprise cross-platform systems integration or productivity tooling at financial-firm scale.",true,deshaw:D.E. Shaw:Cross-Platform-Software-Engineer-5850
D.E. Shaw:DESIM-Portfolio-Management-Implementation-Associate-5831,D.E. Shaw,DESIM Portfolio Management & Implementation Associate,New York,Investment Analysis,https://www.deshaw.com/careers/DESIM-Portfolio-Management-Implementation-Associate-5831,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:DESIM-Portfolio-Management-Implementation-Associate-5831
D.E. Shaw:DESIM-Portfolio-Strategist-Associate-5706,D.E. Shaw,DESIM Portfolio Strategist Associate,New York,Investment Analysis,https://www.deshaw.com/careers/DESIM-Portfolio-Strategist-Associate-5706,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:DESIM-Portfolio-Strategist-Associate-5706
D.E. Shaw:DESIM-Technical-Strategist-Associate-5830,D.E. Shaw,DESIM Technical Strategist Associate,New York,Investment Analysis,https://www.deshaw.com/careers/DESIM-Technical-Strategist-Associate-5830,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:DESIM-Technical-Strategist-Associate-5830
D.E. Shaw:Entrepreneur-in-Residence-3662,D.E. Shaw,Entrepreneur in Residence,New York,Venture Studio – Internal,https://www.deshaw.com/careers/Entrepreneur-in-Residence-3662,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Entrepreneur-in-Residence-3662
D.E. Shaw:Executive-Assistant-Investor-Relations-London-5896,D.E. Shaw,Executive Assistant – Investor Relations (London),London,Executive Assistance,https://www.deshaw.com/careers/Executive-Assistant-Investor-Relations-London-5896,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Executive-Assistant-Investor-Relations-London-5896
D.E. Shaw:Executive-Assistant-Senior-Support-Non-Traditional-6-Month-LTA-5720,D.E. Shaw,"Executive Assistant – Senior Support (Non-Traditional, 6-Month LTA)",New York,Executive Assistance,https://www.deshaw.com/careers/Executive-Assistant-Senior-Support-Non-Traditional-6-Month-LTA-5720,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Executive-Assistant-Senior-Support-Non-Traditional-6-Month-LTA-5720
D.E. Shaw:Executive-Assistant-Senior-Support-Traditional-6-Month-LTA-5719,D.E. Shaw,"Executive Assistant – Senior Support (Traditional, 6-Month LTA)",New York,Executive Assistance,https://www.deshaw.com/careers/Executive-Assistant-Senior-Support-Traditional-6-Month-LTA-5719,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Executive-Assistant-Senior-Support-Traditional-6-Month-LTA-5719
D.E. Shaw:Executive-Compensation-and-Employee-Benefits-Attorney-5895,D.E. Shaw,Executive Compensation and Employee Benefits Attorney,New York,Legal & Compliance,https://www.deshaw.com/careers/Executive-Compensation-and-Employee-Benefits-Attorney-5895,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Executive-Compensation-and-Employee-Benefits-Attorney-5895
D.E. Shaw:External-Writing-Coach-Contractor-Intermittent-Services-5951,D.E. Shaw,External Writing Coach (Contractor – Intermittent Services),New York,Human Capital,https://www.deshaw.com/careers/External-Writing-Coach-Contractor-Intermittent-Services-5951,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:External-Writing-Coach-Contractor-Intermittent-Services-5951
D.E. Shaw:Financial-Analysis-Reporting-Associate-5920,D.E. Shaw,Financial Analysis & Reporting Associate,New York,Financial Operations,https://www.deshaw.com/careers/Financial-Analysis-Reporting-Associate-5920,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Financial-Analysis-Reporting-Associate-5920
D.E. Shaw:Financial-Analysis-Reporting-Senior-Manager-5919,D.E. Shaw,Financial Analysis & Reporting Senior Manager,New York,Financial Operations,https://www.deshaw.com/careers/Financial-Analysis-Reporting-Senior-Manager-5919,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Financial-Analysis-Reporting-Senior-Manager-5919
D.E. Shaw:Firmwide-Market-Data-Lead-5571,D.E. Shaw,Firmwide Market Data Lead,New York,Financial Research,https://www.deshaw.com/careers/Firmwide-Market-Data-Lead-5571,,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,deshaw:D.E. Shaw:Firmwide-Market-Data-Lead-5571
