job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Encord:3084db54-9353-47ae-aa67-a038f613121f,Encord,"Account Executive, Multimodal",San Francisco,GTM,https://jobs.ashbyhq.com/encord/3084db54-9353-47ae-aa67-a038f613121f,2026-04-20T23:25:14.513+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Encord:3084db54-9353-47ae-aa67-a038f613121f
Encord:8b45134b-1cff-4d20-b418-50258301645f,Encord,"Account Executive, Multimodal",London,GTM,https://jobs.ashbyhq.com/encord/8b45134b-1cff-4d20-b418-50258301645f,2026-05-04T21:52:15.560+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Encord:8b45134b-1cff-4d20-b418-50258301645f
Encord:8a88f55e-ae21-4a3f-b2ba-a72fa196007a,Encord,"Account Executive, Physical AI",San Francisco,GTM,https://jobs.ashbyhq.com/encord/8a88f55e-ae21-4a3f-b2ba-a72fa196007a,2026-06-22T23:57:15.349+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Encord:8a88f55e-ae21-4a3f-b2ba-a72fa196007a
Encord:7803454e-1751-42aa-aa60-da399e36131d,Encord,"Account Manager, Multimodal",New York,GTM,https://jobs.ashbyhq.com/encord/7803454e-1751-42aa-aa60-da399e36131d,2026-06-23T00:08:31.064+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,AI / ML,true,Keyword,46,keyword-only heuristic,false,ashby:Encord:7803454e-1751-42aa-aa60-da399e36131d
Encord:ca841c12-38c9-4558-aa59-b60ef55a8948,Encord,"Account Manager, Physical AI",New York,GTM,https://jobs.ashbyhq.com/encord/ca841c12-38c9-4558-aa59-b60ef55a8948,2026-05-28T18:20:02.481+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,AI / ML,true,Keyword,46,keyword-only heuristic,false,ashby:Encord:ca841c12-38c9-4558-aa59-b60ef55a8948
Encord:f8871f23-251d-4ee3-ae10-45fb08aa297e,Encord,"Associate Product Manager, Physical AI",London,EPD,https://jobs.ashbyhq.com/encord/f8871f23-251d-4ee3-ae10-45fb08aa297e,2026-03-30T22:29:50.991+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Encord:f8871f23-251d-4ee3-ae10-45fb08aa297e
Encord:https://jobs.ashbyhq.com/encord/99604b6e-3224-406a-a19b-19ddcb554000,Encord,Commercial Associate - Physical AI,New York,,https://jobs.ashbyhq.com/encord/99604b6e-3224-406a-a19b-19ddcb554000,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://jobs.ashbyhq.com/encord/99604b6e-3224-406a-a19b-19ddcb554000
Encord:fa922dac-6219-4379-be99-29c8ea59b813,Encord,"Commercial Associate, Multimodal",San Francisco,GTM,https://jobs.ashbyhq.com/encord/fa922dac-6219-4379-be99-29c8ea59b813,2026-04-17T19:08:46.052+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Encord:fa922dac-6219-4379-be99-29c8ea59b813
Encord:https://jobs.ashbyhq.com/encord/d585cd56-a9f1-4f7b-b205-1ec21a7b8876,Encord,"Commercial Associate, Physical AI",San Francisco,GTM,https://jobs.ashbyhq.com/encord/d585cd56-a9f1-4f7b-b205-1ec21a7b8876,2026-04-28T23:46:00.202+00:00,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://jobs.ashbyhq.com/encord/d585cd56-a9f1-4f7b-b205-1ec21a7b8876|ashby:Encord:d585cd56-a9f1-4f7b-b205-1ec21a7b8876
Encord:e85d5fb9-9efb-482b-813e-4d9c8c5f7c00,Encord,Customer Engineer ,New York,GTM,https://jobs.ashbyhq.com/encord/e85d5fb9-9efb-482b-813e-4d9c8c5f7c00,2026-06-30T21:22:09.568+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Encord:e85d5fb9-9efb-482b-813e-4d9c8c5f7c00
