job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Esri:5199136007,Esri,C++ Software Engineer I - Maps SDKS,"Redlands, CA",,https://www.esri.com/careers/5199136007?gh_jid=5199136007,,2026-08-06T14:41:55+00:00,2026-08-06 07:41 Thu,Software Engineering,true,Keyword,48,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:5199136007
Esri:5199470007,Esri,C++ Software Engineer I - Maps SDKS,"Redlands, CA",,https://www.esri.com/careers/5199470007?gh_jid=5199470007,,2026-08-06T14:41:55+00:00,2026-08-06 07:41 Thu,Software Engineering,true,Keyword,48,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:5199470007
Esri:https://www.esri.com/careers/5173232007?gh_jid=5173232007,Esri,Data Scientist I,"St. Louis, MO +1",,https://www.esri.com/careers/5173232007?gh_jid=5173232007,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://www.esri.com/careers/5173232007?gh_jid=5173232007|speedyapply:SpeedyApply AI:5173232007
Esri:5199123007,Esri,Software Developer I - Android Apps,"Portland, ME",,https://www.esri.com/careers/5199123007?gh_jid=5199123007,,2026-08-06T14:41:55+00:00,2026-08-06 07:41 Thu,Software Engineering,true,Keyword,40,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:5199123007
Esri:https://www.esri.com/careers/5173239007?gh_jid=5173239007,Esri,Software Development Engineer I,"St. Louis, MO +1",,https://www.esri.com/careers/5173239007?gh_jid=5173239007,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://www.esri.com/careers/5173239007?gh_jid=5173239007|speedyapply:SpeedyApply SWE:5173239007
Esri:https://www.esri.com/careers/5186832007?gh_jid=5186832007,Esri,Software Development Engineer I - Agentic AI - ArcGIS Enterprise,"Redlands, CA",,https://www.esri.com/careers/5186832007?gh_jid=5186832007,,2026-07-15T13:59:19+00:00,2026-07-15 06:59 Wed,,false,,,,false,speedyapply:SpeedyApply AI:https://www.esri.com/careers/5186832007?gh_jid=5186832007
Esri:https://www.esri.com/careers/5185716007?gh_jid=5185716007,Esri,Software Development Engineer I - ArcGIS Enterprise,"Redlands, CA",,https://www.esri.com/careers/5185716007?gh_jid=5185716007,,2026-07-15T14:17:27+00:00,2026-07-15 07:17 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://www.esri.com/careers/5185716007?gh_jid=5185716007
Esri:5200124007,Esri,Software Development I - Kotlin/Swift SDKs,"Redlands, CA",,https://www.esri.com/careers/5200124007?gh_jid=5200124007,,2026-08-06T14:41:55+00:00,2026-08-06 07:41 Thu,Other Technical,true,Keyword,40,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:5200124007
Esri:https://www.esri.com/careers/5190253007?gh_jid=5190253007,Esri,Software Engineer I - Front-End Engineer for ArcGIS Enterprise,"Redlands, CA",,https://www.esri.com/careers/5190253007?gh_jid=5190253007,,2026-07-18T13:41:24+00:00,2026-07-18 06:41 Sat,Software Engineering,true,Keyword,43,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://www.esri.com/careers/5190253007?gh_jid=5190253007
Esri:https://www.esri.com/careers/5195914007?gh_jid=5195914007,Esri,Spatial Data Engineer I,"Redlands, CA",,https://www.esri.com/careers/5195914007?gh_jid=5195914007,,2026-07-29T14:41:46+00:00,2026-07-29 07:41 Wed,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply AI:https://www.esri.com/careers/5195914007?gh_jid=5195914007
