job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Expedia Group:/job/Canada---Quebec---Montreal/Account-Manager--Core-OTA-Vacation-Rentals_R-107091-1,Expedia Group,"Account Manager, Core OTA Vacation Rentals",Canada - Quebec - Montreal,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Canada---Quebec---Montreal/Account-Manager--Core-OTA-Vacation-Rentals_R-107091-1,Posted Today,2026-07-14T21:00:00+00:00,2026-07-14 14:00 Tue,,false,,,,false,workday:Expedia Group:/job/Canada---Quebec---Montreal/Account-Manager--Core-OTA-Vacation-Rentals_R-107091-1
Expedia Group:/job/Czech-Republic---Prague/AI-Operations-Engineer-2_R-105040,Expedia Group,AI Operations Engineer 2,Czech Republic - Prague,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Czech-Republic---Prague/AI-Operations-Engineer-2_R-105040,Posted 4 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Czech-Republic---Prague/AI-Operations-Engineer-2_R-105040
Expedia Group:/job/Austin-Domain-11---HomeAway/AI-Solutions-Principal_R-107381-1,Expedia Group,AI Solutions Principal,Austin Domain 11 - HomeAway,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Austin-Domain-11---HomeAway/AI-Solutions-Principal_R-107381-1,Posted 9 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Austin-Domain-11---HomeAway/AI-Solutions-Principal_R-107381-1
Expedia Group:/job/Spain---Palma-de-Mallorca/Area-Manager_R-107844,Expedia Group,Area Manager,Spain - Palma de Mallorca,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Spain---Palma-de-Mallorca/Area-Manager_R-107844,Posted Today,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Spain---Palma-de-Mallorca/Area-Manager_R-107844
Expedia Group:/job/USA---Florida---Miami/Area-Manager_R-107530,Expedia Group,Area Manager,USA - Florida - Miami,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/USA---Florida---Miami/Area-Manager_R-107530,Posted 4 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/USA---Florida---Miami/Area-Manager_R-107530
Expedia Group:/job/Thailand---Bangkok/Area-Manager--Bangkok-_R-106649,Expedia Group,Area Manager (Bangkok),Thailand - Bangkok,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Thailand---Bangkok/Area-Manager--Bangkok-_R-106649,Posted 10 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Thailand---Bangkok/Area-Manager--Bangkok-_R-106649
Expedia Group:/job/Austin-Domain-11---HomeAway/Area-Manager---Vacation-Rental-Partnerships_R-106505-1,Expedia Group,Area Manager - Vacation Rental Partnerships,Austin Domain 11 - HomeAway,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Austin-Domain-11---HomeAway/Area-Manager---Vacation-Rental-Partnerships_R-106505-1,Posted Today,2026-07-14T22:40:39+00:00,2026-07-14 15:40 Tue,,false,,,,false,workday:Expedia Group:/job/Austin-Domain-11---HomeAway/Area-Manager---Vacation-Rental-Partnerships_R-106505-1
Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Management--PGA----Spanish---English-Speaking_R-108049-1,Expedia Group,Associate Account Management (PGA) – Spanish & English Speaking,Czech Republic - Prague,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Czech-Republic---Prague/Associate-Account-Management--PGA----Spanish---English-Speaking_R-108049-1,Posted Today,2026-07-20T13:41:40+00:00,2026-07-20 06:41 Mon,,false,,,,false,workday:Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Management--PGA----Spanish---English-Speaking_R-108049-1
Expedia Group:/job/Dominican-Republic---La-Altagracia/Associate-Account-Manager_R-106196,Expedia Group,Associate Account Manager,Dominican Republic - La Altagracia,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Dominican-Republic---La-Altagracia/Associate-Account-Manager_R-106196,Posted 4 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Dominican-Republic---La-Altagracia/Associate-Account-Manager_R-106196
Expedia Group:/job/USA---Colorado---Denver/Associate-Account-Manager_R-105368-1,Expedia Group,Associate Account Manager,USA - Colorado - Denver,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/USA---Colorado---Denver/Associate-Account-Manager_R-105368-1,Posted Today,2026-07-14T18:17:38+00:00,2026-07-14 11:17 Tue,,false,,,,false,workday:Expedia Group:/job/USA---Colorado---Denver/Associate-Account-Manager_R-105368-1
Expedia Group:/job/USA---California---San-Francisco/Associate-Account-Manager_R-106691,Expedia Group,Associate Account Manager,USA - California - San Francisco,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/USA---California---San-Francisco/Associate-Account-Manager_R-106691,Posted Today,2026-07-16T22:38:12+00:00,2026-07-16 15:38 Thu,,false,,,,false,workday:Expedia Group:/job/USA---California---San-Francisco/Associate-Account-Manager_R-106691
Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----English-Speaking--12m-FTC-_R-105230,Expedia Group,Associate Account Manager (PGA) - English Speaking (12m FTC),Czech Republic - Prague,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----English-Speaking--12m-FTC-_R-105230,Posted 15 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----English-Speaking--12m-FTC-_R-105230
Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----English-Speaking_R-107556,Expedia Group,Associate Account Manager (PGA) – English Speaking,Czech Republic - Prague,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----English-Speaking_R-107556,Posted 9 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----English-Speaking_R-107556
Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----French-Speaking_R-107564,Expedia Group,Associate Account Manager (PGA) – French Speaking,Czech Republic - Prague,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----French-Speaking_R-107564,Posted 9 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----French-Speaking_R-107564
Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----Hotels---German-Speaking_R-107562,Expedia Group,Associate Account Manager (PGA) – Hotels – German Speaking,Czech Republic - Prague,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----Hotels---German-Speaking_R-107562,Posted 9 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----Hotels---German-Speaking_R-107562
Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----Italian-Speaking_R-107563,Expedia Group,Associate Account Manager (PGA) – Italian Speaking,Czech Republic - Prague,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----Italian-Speaking_R-107563,Posted 9 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager--PGA----Italian-Speaking_R-107563
Expedia Group:/job/Colombia---Virtual/Associate-Account-Manager---Bogota_R-106033,Expedia Group,Associate Account Manager - Bogota,Colombia - Virtual,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Colombia---Virtual/Associate-Account-Manager---Bogota_R-106033,Posted Today,2026-07-17T20:59:09+00:00,2026-07-17 13:59 Fri,,false,,,,false,workday:Expedia Group:/job/Colombia---Virtual/Associate-Account-Manager---Bogota_R-106033
Expedia Group:/job/Austin-Domain-11---HomeAway/Associate-Account-Manager---Vrbo_R-107398,Expedia Group,Associate Account Manager - Vrbo,Austin Domain 11 - HomeAway,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Austin-Domain-11---HomeAway/Associate-Account-Manager---Vrbo_R-107398,Posted Yesterday,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Austin-Domain-11---HomeAway/Associate-Account-Manager---Vrbo_R-107398
Expedia Group:/job/Mexico---Mexico-City/Associate-Account-Manager-II_R-107334,Expedia Group,Associate Account Manager II,Mexico - Mexico City,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Mexico---Mexico-City/Associate-Account-Manager-II_R-107334,Posted 9 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Mexico---Mexico-City/Associate-Account-Manager-II_R-107334
Expedia Group:/job/Italy---Milano/Associate-Account-Manager-II--12-month-FTC_R-107979,Expedia Group,"Associate Account Manager II, 12 month FTC",Italy - Milano,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Italy---Milano/Associate-Account-Manager-II--12-month-FTC_R-107979,Posted Today,2026-07-20T12:59:19+00:00,2026-07-20 05:59 Mon,,false,,,,false,workday:Expedia Group:/job/Italy---Milano/Associate-Account-Manager-II--12-month-FTC_R-107979
Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager-UK-Vacation-Rental-Partnerships_R-102433-1,Expedia Group,Associate Account Manager UK Vacation Rental Partnerships,Czech Republic - Prague,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Czech-Republic---Prague/Associate-Account-Manager-UK-Vacation-Rental-Partnerships_R-102433-1,Posted Today,2026-07-13T15:59:13+00:00,2026-07-13 08:59 Mon,,false,,,,false,workday:Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager-UK-Vacation-Rental-Partnerships_R-102433-1
Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager---B2B-Competitiveness-Team---Turkish-and-English-Fluency-Required_R-107057-1,Expedia Group,"Associate Account Manager,  B2B Competitiveness Team - Turkish and English Fluency Required",Czech Republic - Prague,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Czech-Republic---Prague/Associate-Account-Manager---B2B-Competitiveness-Team---Turkish-and-English-Fluency-Required_R-107057-1,Posted 8 Days Ago,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,workday:Expedia Group:/job/Czech-Republic---Prague/Associate-Account-Manager---B2B-Competitiveness-Team---Turkish-and-English-Fluency-Required_R-107057-1
Expedia Group:/job/Spain---Madrid/Associate-Account-Manager--Italy_R-106950-1,Expedia Group,"Associate Account Manager, Italy",2 Locations,,https://expedia.wd108.myworkdayjobs.com/en-US/search/job/Spain---Madrid/Associate-Account-Manager--Italy_R-106950-1,Posted Today,2026-07-20T13:41:40+00:00,2026-07-20 06:41 Mon,,false,,,,false,workday:Expedia Group:/job/Spain---Madrid/Associate-Account-Manager--Italy_R-106950-1
