job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
GrayMatter Robotics:5523544c-632f-4db9-b43b-71c9f902b45a,GrayMatter Robotics,Hardware Technician,Los Angeles - HQ,Product & Engineering,https://jobs.ashbyhq.com/graymatter-robotics/5523544c-632f-4db9-b43b-71c9f902b45a,2026-06-24T15:37:31.132+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:5523544c-632f-4db9-b43b-71c9f902b45a
GrayMatter Robotics:02452707-28f3-4fb3-a61d-b9c8c371b1c6,GrayMatter Robotics,IT Systems Engineer,Los Angeles - HQ,Product & Engineering,https://jobs.ashbyhq.com/graymatter-robotics/02452707-28f3-4fb3-a61d-b9c8c371b1c6,2026-07-01T22:40:22.128+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:02452707-28f3-4fb3-a61d-b9c8c371b1c6
GrayMatter Robotics:45d32f09-7982-4aa9-b04e-e36f36f98afa,GrayMatter Robotics,Robotics Engineer: Applications,Remote - MEX,Customer Strategy & Success,https://jobs.ashbyhq.com/graymatter-robotics/45d32f09-7982-4aa9-b04e-e36f36f98afa,2026-06-10T01:25:13.772+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:45d32f09-7982-4aa9-b04e-e36f36f98afa
GrayMatter Robotics:458cbb9a-36e7-4a8f-860d-1011b90b6a31,GrayMatter Robotics,Robotics Engineer: Government Projects,Los Angeles - HQ,Government Projects,https://jobs.ashbyhq.com/graymatter-robotics/458cbb9a-36e7-4a8f-860d-1011b90b6a31,2026-03-25T16:57:25.008+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:458cbb9a-36e7-4a8f-860d-1011b90b6a31
GrayMatter Robotics:f0877a8e-bb06-4f73-a381-1ff4367d9b7f,GrayMatter Robotics,Robotics Engineer: Process,Los Angeles - HQ,Product & Engineering,https://jobs.ashbyhq.com/graymatter-robotics/f0877a8e-bb06-4f73-a381-1ff4367d9b7f,2026-05-06T03:32:44.262+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:f0877a8e-bb06-4f73-a381-1ff4367d9b7f
GrayMatter Robotics:b17273ca-66a1-4e6c-968a-79ae9b71f4c1,GrayMatter Robotics,Robotics Engineering Manager: Systems & Applications,Los Angeles - HQ,Customer Strategy & Success,https://jobs.ashbyhq.com/graymatter-robotics/b17273ca-66a1-4e6c-968a-79ae9b71f4c1,2026-01-13T21:43:33.843+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:b17273ca-66a1-4e6c-968a-79ae9b71f4c1
GrayMatter Robotics:1f7af785-e590-4548-a162-f869aa711f47,GrayMatter Robotics,Senior Applied AI Engineer ,Los Angeles - HQ,Product & Engineering,https://jobs.ashbyhq.com/graymatter-robotics/1f7af785-e590-4548-a162-f869aa711f47,2026-01-28T16:04:48.781+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:1f7af785-e590-4548-a162-f869aa711f47
GrayMatter Robotics:b11438f0-4a26-44dd-8971-b579ebfd27ba,GrayMatter Robotics,Staff C++ Architecture Engineer,Los Angeles - HQ,Product & Engineering,https://jobs.ashbyhq.com/graymatter-robotics/b11438f0-4a26-44dd-8971-b579ebfd27ba,2026-01-14T22:48:55.480+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:b11438f0-4a26-44dd-8971-b579ebfd27ba
GrayMatter Robotics:09a7a983-dab3-48f9-8a5d-f9b644ed2294,GrayMatter Robotics,Staff Design Engineer,Los Angeles - HQ,Product & Engineering,https://jobs.ashbyhq.com/graymatter-robotics/09a7a983-dab3-48f9-8a5d-f9b644ed2294,2026-07-14T20:30:11.506+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:09a7a983-dab3-48f9-8a5d-f9b644ed2294
GrayMatter Robotics:af5072e7-399f-44ca-bfca-71e78813aa86,GrayMatter Robotics,Staff Mechatronics Engineer,Los Angeles - HQ,Product & Engineering,https://jobs.ashbyhq.com/graymatter-robotics/af5072e7-399f-44ca-bfca-71e78813aa86,2026-07-14T14:03:28.753+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:af5072e7-399f-44ca-bfca-71e78813aa86
GrayMatter Robotics:eb74445a-913c-4e3f-a1f4-aaebd522fd64,GrayMatter Robotics,Supply Chain Manager,Los Angeles - HQ,G&A,https://jobs.ashbyhq.com/graymatter-robotics/eb74445a-913c-4e3f-a1f4-aaebd522fd64,2026-07-11T01:31:02.261+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:GrayMatter Robotics:eb74445a-913c-4e3f-a1f4-aaebd522fd64
