job_key,company,title,location,department,urls,date_posted,first_seen,track,scored,score_method,experience_score,reason,emailed,source_uids
Grubhub:/job/Remote---New-York-Tier-2/Account-Executive_JR101138,Grubhub,Account Executive,3 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Remote---New-York-Tier-2/Account-Executive_JR101138,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Remote---New-York-Tier-2/Account-Executive_JR101138
Grubhub:/job/Remote---Pennsylvania-Tier-2/Account-Executive_JR101162,Grubhub,Account Executive,2 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Remote---Pennsylvania-Tier-2/Account-Executive_JR101162,Posted 3 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Remote---Pennsylvania-Tier-2/Account-Executive_JR101162
Grubhub:/job/Remote---Texas-Tier-3/Account-Executive--San-Antonio--Bilingual_JR101193,Grubhub,Account Executive (San Antonio) Bilingual,Remote - Texas Tier 3,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Remote---Texas-Tier-3/Account-Executive--San-Antonio--Bilingual_JR101193,Posted 16 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Remote---Texas-Tier-3/Account-Executive--San-Antonio--Bilingual_JR101193
Grubhub:/job/Remote---California-Tier-2/Account-Executive_JR100829,Grubhub,Account Executive (San Jose) - Bilingual,Remote - California Tier 2,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Remote---California-Tier-2/Account-Executive_JR100829,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Remote---California-Tier-2/Account-Executive_JR100829
Grubhub:/job/Remote---Pennsylvania-Tier-2/Account-Manager--Merchant-Accounts_JR101129,Grubhub,"Account Manager, Merchant Accounts",Remote - Pennsylvania Tier 2,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Remote---Pennsylvania-Tier-2/Account-Manager--Merchant-Accounts_JR101129,Posted 5 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Remote---Pennsylvania-Tier-2/Account-Manager--Merchant-Accounts_JR101129
Grubhub:/job/Chicago/Account-Manager--SMB_JR101198,Grubhub,"Account Manager, SMB",Chicago,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Chicago/Account-Manager--SMB_JR101198,Posted 2 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Chicago/Account-Manager--SMB_JR101198
Grubhub:/job/New-York-NY/Account-Manager--SMB_JR101200,Grubhub,"Account Manager, SMB","New York, NY",,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Account-Manager--SMB_JR101200,Posted 5 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/New-York-NY/Account-Manager--SMB_JR101200
Grubhub:/job/Remote---California-Tier-1/Account-Manager--SMB_JR101199-1,Grubhub,"Account Manager, SMB",Remote - California Tier 1,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Remote---California-Tier-1/Account-Manager--SMB_JR101199-1,Posted 13 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Remote---California-Tier-1/Account-Manager--SMB_JR101199-1
Grubhub:/job/Remote---Texas-Tier-2/Account-Manager--SMB_JR101203,Grubhub,"Account Manager, SMB",Remote - Texas Tier 2,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Remote---Texas-Tier-2/Account-Manager--SMB_JR101203,Posted 6 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Remote---Texas-Tier-2/Account-Manager--SMB_JR101203
Grubhub:/job/Chicago/Analyst---Restaurant-Analytics_JR100624,Grubhub,Analyst - Restaurant Analytics,2 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Chicago/Analyst---Restaurant-Analytics_JR100624,Posted 6 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Chicago/Analyst---Restaurant-Analytics_JR100624
Grubhub:/job/New-York-NY/Associate-Director--Accounting-B2B_JR101190,Grubhub,"Associate Director, Accounting B2B","New York, NY",,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Associate-Director--Accounting-B2B_JR101190,Posted 16 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/New-York-NY/Associate-Director--Accounting-B2B_JR101190
Grubhub:/job/Chicago/Associate-Director--SMB-Accounts_JR101091,Grubhub,"Associate Director, SMB Accounts",2 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Chicago/Associate-Director--SMB-Accounts_JR101091,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Chicago/Associate-Director--SMB-Accounts_JR101091
Grubhub:/job/Chicago/Client-Success-Manager_JR101060,Grubhub,Client Success Manager,Chicago,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Chicago/Client-Success-Manager_JR101060,Posted 19 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Chicago/Client-Success-Manager_JR101060
Grubhub:/job/Chicago/Client-Success-Manager_JR101210,Grubhub,Client Success Manager,Chicago,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Chicago/Client-Success-Manager_JR101210,Posted 4 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Chicago/Client-Success-Manager_JR101210
Grubhub:/job/New-York-NY/Lease-Coordinator_JR100893-2,Grubhub,Commercial Lease Administrator,"New York, NY",,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Lease-Coordinator_JR100893-2,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/New-York-NY/Lease-Coordinator_JR100893-2
Grubhub:/job/HQ/Design-Senior-Manager_JR101014,Grubhub,Design Senior Manager,2 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/HQ/Design-Senior-Manager_JR101014,Posted 5 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/HQ/Design-Senior-Manager_JR101014
Grubhub:/job/Chicago/EEnablement-Associate--Continued-Education---GTM_JR101056,Grubhub,"Enablement Associate, GTM - (Chicago or NYC)",2 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Chicago/EEnablement-Associate--Continued-Education---GTM_JR101056,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Chicago/EEnablement-Associate--Continued-Education---GTM_JR101056
Grubhub:/job/HQ/Strategic-Account-Executive_JR100753-1,Grubhub,Enterprise Account Executive,HQ,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/HQ/Strategic-Account-Executive_JR100753-1,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/HQ/Strategic-Account-Executive_JR100753-1
Grubhub:/job/Chicago/Franchise-Sales-Associate_JR101142-2,Grubhub,Franchise Sales Associate,Chicago,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Chicago/Franchise-Sales-Associate_JR101142-2,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Chicago/Franchise-Sales-Associate_JR101142-2
Grubhub:/job/New-York-NY/Manager--Accounting_JR101181,Grubhub,"Manager, Accounting","New York, NY",,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Manager--Accounting_JR101181,Posted 17 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/New-York-NY/Manager--Accounting_JR101181
Grubhub:/job/New-York-NY/Manager--FP-A_JR101220,Grubhub,"Manager, FP&A","New York, NY",,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Manager--FP-A_JR101220,Posted 2 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/New-York-NY/Manager--FP-A_JR101220
Grubhub:/job/New-York-NY/Manager--HR-Technology--Workday-Exp-Required-_JR100885-2,Grubhub,"Manager, HR Technology (Workday Exp Required)",2 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Manager--HR-Technology--Workday-Exp-Required-_JR100885-2,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/New-York-NY/Manager--HR-Technology--Workday-Exp-Required-_JR100885-2
Grubhub:/job/Chicago/Manager--Lead-Management_JR100997,Grubhub,"Manager, Lead Management",2 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Chicago/Manager--Lead-Management_JR100997,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Chicago/Manager--Lead-Management_JR100997
Grubhub:/job/Chicago/Manager--SMB-Accounts_JR101204,Grubhub,"Manager, SMB Accounts",2 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Chicago/Manager--SMB-Accounts_JR101204,Posted 11 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Chicago/Manager--SMB-Accounts_JR101204
Grubhub:/job/New-York-NY/Manager--Technology-Procurement_JR100934-2,Grubhub,"Manager, Technology Procurement","New York, NY",,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Manager--Technology-Procurement_JR100934-2,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/New-York-NY/Manager--Technology-Procurement_JR100934-2
Grubhub:/job/New-York-NY/Partnerships-Manager--Wonder-Create_JR101159,Grubhub,"Partnerships Manager, Wonder Create","New York, NY",,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Partnerships-Manager--Wonder-Create_JR101159,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/New-York-NY/Partnerships-Manager--Wonder-Create_JR101159
Grubhub:/job/New-York-NY/Principal-Product-Manager--Fulfillment-_JR101180,Grubhub,Principal Product Manager (Fulfillment),2 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Principal-Product-Manager--Fulfillment-_JR101180,Posted 10 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/New-York-NY/Principal-Product-Manager--Fulfillment-_JR101180
Grubhub:/job/New-York-NY/Principal-Product-Manager--Loyalty---Subscriptions-_JR101192,Grubhub,Principal Product Manager (Loyalty & Subscriptions),2 Locations,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Principal-Product-Manager--Loyalty---Subscriptions-_JR101192,Posted 10 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/New-York-NY/Principal-Product-Manager--Loyalty---Subscriptions-_JR101192
Grubhub:/job/Parsippany-NJ/Procurement-Associate_JR101088,Grubhub,Procurement Associate,"Parsippany, NJ",,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/Parsippany-NJ/Procurement-Associate_JR101088,Posted 5 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/Parsippany-NJ/Procurement-Associate_JR101088
Grubhub:/job/New-York-NY/Senior-Machine-Learning-Engineer_JR101144,Grubhub,Senior Machine Learning Engineer,"New York, NY",,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Senior-Machine-Learning-Engineer_JR101144,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,AI / ML,true,Keyword,46,keyword-only heuristic,false,workday:Grubhub:/job/New-York-NY/Senior-Machine-Learning-Engineer_JR101144
Grubhub:/job/HQ/Senior-Software-Engineer_JR101165,Grubhub,Senior Software Engineer,HQ,,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/HQ/Senior-Software-Engineer_JR101165,Posted 17 Days Ago,2026-07-12T07:45:02+00:00,,false,,,,false,workday:Grubhub:/job/HQ/Senior-Software-Engineer_JR101165
Grubhub:/job/New-York-NY/Senior-Software-Engineer_JR101073-2,Grubhub,Senior Software Engineer,"New York, NY",,https://wonder.wd1.myworkdayjobs.com/en-US/Grubhub_Careers/job/New-York-NY/Senior-Software-Engineer_JR101073-2,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,Software Engineering,true,Keyword,46,keyword-only heuristic,false,workday:Grubhub:/job/New-York-NY/Senior-Software-Engineer_JR101073-2
