job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
HeyGen:4172070007,HeyGen,Backend Engineer,"San Francisco, Palo Alto, Los Angeles, Toronto",Engineering,https://job-boards.greenhouse.io/heygen/jobs/4172070007,2025-02-19T12:45:03-05:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:HeyGen:4172070007
HeyGen:4352234007,HeyGen,Backend Engineer - Infrastructure,"Los Angeles, San Francisco, Palo Alto, Toronto",Engineering,https://job-boards.greenhouse.io/heygen/jobs/4352234007,2026-02-11T16:53:29-05:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:HeyGen:4352234007
HeyGen:5140290007,HeyGen,"Commercial Account Executive, New Business","San Francisco, Los Angeles, Remote - Europe",Sales,https://job-boards.greenhouse.io/heygen/jobs/5140290007,2026-05-21T13:08:17-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:HeyGen:5140290007
HeyGen:5189371007,HeyGen,Community Events Marketing,San Francisco,Marketing,https://job-boards.greenhouse.io/heygen/jobs/5189371007,2026-07-16T21:05:11-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:HeyGen:5189371007
HeyGen:4779731007,HeyGen,Data Infrastructure Engineer,"Los Angeles, Palo Alto, San Francisco, Toronto",Engineering,https://job-boards.greenhouse.io/heygen/jobs/4779731007,2026-02-11T16:54:41-05:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:HeyGen:4779731007
HeyGen:5161185007,HeyGen,Developer Community Manager,San Francisco,Marketing,https://job-boards.greenhouse.io/heygen/jobs/5161185007,2026-06-10T13:22:16-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:HeyGen:5161185007
HeyGen:4225179007,HeyGen,Frontend Software Engineer,"San Francisco, Palo Alto, Los Angeles, Toronto",Engineering,https://job-boards.greenhouse.io/heygen/jobs/4225179007,2025-02-19T12:45:03-05:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:HeyGen:4225179007
HeyGen:4172075007,HeyGen,Fullstack Software Engineer,"San Francisco, Palo Alto, Los Angeles, Toronto",Engineering,https://job-boards.greenhouse.io/heygen/jobs/4172075007,2025-02-19T12:45:03-05:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:HeyGen:4172075007
HeyGen:5095609007,HeyGen,Growth Marketing Specialist ,San Francisco / Los Angeles,Marketing,https://job-boards.greenhouse.io/heygen/jobs/5095609007,2026-05-27T17:30:16-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:HeyGen:5095609007
HeyGen:5113387007,HeyGen,Head of Developer Experience,"Los Angeles, San Francisco",Marketing,https://job-boards.greenhouse.io/heygen/jobs/5113387007,2026-04-26T22:06:08-04:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,greenhouse:HeyGen:5113387007
