job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Intact:62c76451-b1ac-4a6f-9979-b9c587df02e8,Intact,AI Developer Intern Co-op,"Montreal, QC, Canada",Software,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Montral-Quebec-CAN/AI-Developer---4-Month-Internship-Co-op--Winter-2027--_R155233,2026-09-09,2026-09-09,2026-09-09T23:41:09+00:00,2026-09-09 16:41 Wed,,false,,,,false,simplify:Simplify Internships:62c76451-b1ac-4a6f-9979-b9c587df02e8,2026-09-09
Intact:a1a4f745-5162-438b-9254-9a09299db5c0,Intact,AI Developer Intern Co-op - Winter 2027,"Vancouver, BC, Canada",Software,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Vancouver-British-Columbia-CAN/AI-Developer---4-Month-Internship-Co-op--Winter-2027--_R155235,2026-09-09,2026-09-09,2026-09-09T23:41:09+00:00,2026-09-09 16:41 Wed,,false,,,,false,simplify:Simplify Internships:a1a4f745-5162-438b-9254-9a09299db5c0,2026-09-09
Intact:1fad44eb-f0f2-4488-b5b5-d2cf14ce2106,Intact,Artificial Intelligence Developer Intern Co-op - Winter 2027,"Toronto, ON, Canada",Software,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Toronto-Ontario-CAN/AI-Developer---4-Month-Internship-Co-op--Winter-2027--_R155234,2026-09-09,2026-09-09,2026-09-09T23:41:09+00:00,2026-09-09 16:41 Wed,,false,,,,false,simplify:Simplify Internships:1fad44eb-f0f2-4488-b5b5-d2cf14ce2106,2026-09-09
Intact:1bbe07ad-f4ee-48a8-945f-7c0c84ffde75,Intact,Data Analyst Intern Co-op - Winter 2027,"Montreal, QC, Canada",AI/ML/Data,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Montral-Quebec-CAN/Data-Analyst-I---4-Month-Internship-Coop--Winter-2027--_R155138,2026-09-08,2026-09-08,2026-09-09T02:16:55+00:00,2026-09-08 19:16 Tue,,false,,,,false,simplify:Simplify Internships:1bbe07ad-f4ee-48a8-945f-7c0c84ffde75,2026-09-08
Intact:5913b197-7218-45ef-9a58-bf60e2994bcf,Intact,Data Engineering Developer Intern Co-op - Winter 2027,"Montreal, QC, Canada",AI/ML/Data,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Montral-Quebec-CAN/Data-Engineering-Developer-I---4-Month-Internship-Co-op--Winter-2027--_R155204,2026-09-09,2026-09-09,2026-09-09T23:41:09+00:00,2026-09-09 16:41 Wed,,false,,,,false,simplify:Simplify Internships:5913b197-7218-45ef-9a58-bf60e2994bcf,2026-09-09
Intact:5a085a4f-363a-4411-aba0-a8054c506f33,Intact,Data Scientist 1 Intern Co-op - Winter 2027,"Toronto, ON, Canada",AI/ML/Data,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Toronto-Ontario-CAN/Data-Scientist-I---4-Month-Internship-Co-op--Winter-2027--_R155113,2026-09-08,2026-09-08,2026-09-08T23:16:57+00:00,2026-09-08 16:16 Tue,,false,,,,false,simplify:Simplify Internships:5a085a4f-363a-4411-aba0-a8054c506f33,2026-09-08
Intact:03a833e4-7ed1-4c11-8ab3-0499130c5a20,Intact,Data Scientist Intern Co-op,"Montreal, QC, Canada; Québec City, QC, Canada",AI/ML/Data,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Montral-Quebec-CAN/Data-Scientist-I---4-Month-Internship-Co-op--Winter-2027-_R155132,2026-09-08,2026-09-08,2026-09-08T23:16:57+00:00,2026-09-08 16:16 Tue,,false,,,,false,simplify:Simplify Internships:03a833e4-7ed1-4c11-8ab3-0499130c5a20,2026-09-08
Intact:fbfafe1d-80fc-4e5c-a626-912f00c64fc9,Intact,Data Scientist Intern Co-op - Winter 2027,"Vancouver, BC, Canada",AI/ML/Data,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Vancouver-British-Columbia-CAN/Data-Scientist-I---4-Month-Co-op-Internship--Winter-2027-_R155129,2026-09-08,2026-09-08,2026-09-08T23:16:57+00:00,2026-09-08 16:16 Tue,,false,,,,false,simplify:Simplify Internships:fbfafe1d-80fc-4e5c-a626-912f00c64fc9,2026-09-08
Intact:a764d92d-fd26-4801-a3c6-2e97790cc8c4,Intact,Investment Analyst Intern Co-op,"Montreal, QC, Canada",Quant,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Montral-Quebec-CAN/Investment-Analyst--4-months-Internship-Coop--Winter-2027---_R155467,2026-08-31,2026-08-31,2026-08-31T23:17:49+00:00,2026-08-31 16:17 Mon,,false,,,,false,simplify:Simplify Internships:a764d92d-fd26-4801-a3c6-2e97790cc8c4,2026-08-31
Intact:1f12c834-20d2-4074-b938-f4f23df36e31,Intact,Software Developer 1 Co-op - Multiple Teams,"Montreal, QC, Canada",Software,https://intactfc.wd3.myworkdayjobs.com/en-US/intactfc/job/Montral-Quebec-CAN/Dveloppeur-logiciel-I---4-mois-Coop-Stagiaire--Hiver-2027-_R155561,2026-09-08,2026-09-08,2026-09-08T16:17:18+00:00,2026-09-08 09:17 Tue,,false,,,,false,simplify:Simplify Internships:1f12c834-20d2-4074-b938-f4f23df36e31,2026-09-08
