job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Integra FEC:5e6027c1-06ff-4833-98fc-5748108833bf,Integra FEC,Data Analyst Intern,"Austin, TX",AI/ML/Data,https://job-boards.greenhouse.io/integra/jobs/5134522008,2026-04-28,2026-04-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:5e6027c1-06ff-4833-98fc-5748108833bf|simplify:Simplify Internships:5134522008
Integra FEC:f9530ed3-2587-45c5-8a92-1bf929f199f3,Integra FEC,Data Analyst Intern,"Austin, TX",AI/ML/Data,https://job-boards.greenhouse.io/integrainterns/jobs/5134523008,2026-04-28,2026-04-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:f9530ed3-2587-45c5-8a92-1bf929f199f3|simplify:Simplify Internships:5134523008
Integra FEC:5406101008,Integra FEC,Data Analyst Intern,"Austin, TX",AI/ML/Data,https://job-boards.greenhouse.io/integrainterns/jobs/5406101008,2026-08-31,2026-08-31,2026-08-31T19:42:06+00:00,2026-08-31 12:42 Mon,,false,,,,false,simplify:Simplify Internships:5406101008
Integra FEC:5406110008,Integra FEC,Data Analyst Intern,"Austin, TX",AI/ML/Data,https://job-boards.greenhouse.io/integrainterns/jobs/5406110008,2026-08-31,2026-08-31,2026-08-31T19:42:06+00:00,2026-08-31 12:42 Mon,,false,,,,false,simplify:Simplify Internships:5406110008
Integra FEC:5406100008,Integra FEC,Data Analyst Intern,"Austin, TX",AI/ML/Data,https://job-boards.greenhouse.io/integra/jobs/5406100008,2026-08-31,2026-08-31,2026-08-31T21:17:53+00:00,2026-08-31 14:17 Mon,,false,,,,false,simplify:Simplify Internships:5406100008
Integra FEC:5406109008,Integra FEC,Data Analyst Intern,"Austin, TX",AI/ML/Data,https://job-boards.greenhouse.io/integra/jobs/5406109008,2026-08-31,2026-08-31,2026-08-31T21:17:53+00:00,2026-08-31 14:17 Mon,,false,,,,false,simplify:Simplify Internships:5406109008
Integra FEC:b9a99f84-c011-4f16-806a-8ad02e98b530,Integra FEC,Data Scientist Intern,"Austin, TX",AI/ML/Data,https://job-boards.greenhouse.io/integrainterns/jobs/5134593008,2026-04-28,2026-04-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:b9a99f84-c011-4f16-806a-8ad02e98b530|simplify:Simplify Internships:5134593008
Integra FEC:5406095008,Integra FEC,Data Scientist Intern,"Austin, TX",AI/ML/Data,https://job-boards.greenhouse.io/integrainterns/jobs/5406095008,2026-08-31,2026-08-31,2026-08-31T19:42:06+00:00,2026-08-31 12:42 Mon,AI / ML,true,Keyword,51,title-only listing; auto-passed (no description to score),true,simplify:Simplify Internships:5406095008
Integra FEC:ebb7f560-b3e3-4f57-b812-b0097eeb39bf,Integra FEC,Data Scientist Intern - PhD,"Austin, TX",AI/ML/Data,https://job-boards.greenhouse.io/integra/jobs/5134592008,2026-04-28,2026-04-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:ebb7f560-b3e3-4f57-b812-b0097eeb39bf|simplify:Simplify Internships:5134592008
Integra FEC:5406093008,Integra FEC,Data Scientist Intern - PhD,"Austin, TX",AI/ML/Data,https://job-boards.greenhouse.io/integrainterns/jobs/5406093008,2026-08-31,2026-08-31,2026-08-31T19:42:06+00:00,2026-08-31 12:42 Mon,,false,,,,false,simplify:Simplify Internships:5406093008
