job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Lennox International:39f01228-39ab-4e88-b966-1d902f06e97b,Lennox International,AI & Analytics Intern,"Richardson, TX",AI/ML/Data,https://uscareers-lennox.icims.com/jobs/54804/job?mobile=true&needsRedirect=false,2026-09-17,2026-09-17,2026-09-17T23:08:12+00:00,2026-09-17 16:08 Thu,Computer Vision,true,Keyword,61,僅以關鍵字比對評分,true,simplify:Simplify Internships:39f01228-39ab-4e88-b966-1d902f06e97b,2026-09-17
Lennox International:6e043ff4-35f3-4dd9-b704-1be62043d4e9,Lennox International,AI Engineering Co-op,"Richardson, TX",AI/ML/Data,https://uscareers-lennox.icims.com/jobs/54120/job?mobile=true&needsRedirect=false,2026-07-22,2026-07-22,2026-07-22T22:41:24+00:00,2026-07-22 15:41 Wed,AI / ML,true,Keyword,43,keyword-only heuristic,false,simplify:Simplify Internships:6e043ff4-35f3-4dd9-b704-1be62043d4e9,2026-07-22
Lennox International:b19ed1eb-aa8f-4af1-a327-0008140019c7,Lennox International,AI Engineering Intern - Summer 2027,"Richardson, TX",AI/ML/Data,https://uscareers-lennox.icims.com/jobs/54897/job?mobile=true&needsRedirect=false,2026-09-17,2026-09-17,2026-09-17T23:08:12+00:00,2026-09-17 16:08 Thu,AI / ML,true,Keyword,64,僅以關鍵字比對評分,true,simplify:Simplify Internships:b19ed1eb-aa8f-4af1-a327-0008140019c7,2026-09-17
Lennox International:e93487a3-6a04-4449-a6f6-eb2616b57c63,Lennox International,Full-Stack Software Engineering Intern,"Richardson, TX",Software,https://uscareers-lennox.icims.com/jobs/54888/job?mobile=true&needsRedirect=false,2026-09-17,2026-09-17,2026-09-17T23:08:12+00:00,2026-09-17 16:08 Thu,AI / ML,true,Keyword,94,僅以關鍵字比對評分,true,simplify:Simplify Internships:e93487a3-6a04-4449-a6f6-eb2616b57c63,2026-09-17
Lennox International:34d8f865-8389-4eba-9e9e-66c244a5a9f3,Lennox International,Hardware Engineering Co-op,"Carrollton, TX",Hardware,https://uscareers-lennox.icims.com/jobs/54693/job?mobile=true&needsRedirect=false,2026-09-17,2026-09-17,2026-09-17T23:08:12+00:00,2026-09-17 16:08 Thu,,false,,,,false,simplify:Simplify Internships:34d8f865-8389-4eba-9e9e-66c244a5a9f3,2026-09-17
Lennox International:d2ed8bfd-47d2-42c8-a039-2a2a90b3c635,Lennox International,Hardware Engineering Co-op,"Carrollton, TX",Hardware,https://uscareers-lennox.icims.com/jobs/54692/job?mobile=true&needsRedirect=false,2026-09-17,2026-09-17,2026-09-17T23:08:12+00:00,2026-09-17 16:08 Thu,,false,,,,false,simplify:Simplify Internships:d2ed8bfd-47d2-42c8-a039-2a2a90b3c635,2026-09-17
Lennox International:2f899503-8bb3-4e7a-a9df-cf5adee0fe01,Lennox International,IoT Intern,"Richardson, TX",Software,https://uscareers-lennox.icims.com/jobs/54893/job?mobile=true&needsRedirect=false,2026-09-17,2026-09-17,2026-09-17T23:08:12+00:00,2026-09-17 16:08 Thu,AI / ML,true,Keyword,49,僅以關鍵字比對評分,false,simplify:Simplify Internships:2f899503-8bb3-4e7a-a9df-cf5adee0fe01,2026-09-17
Lennox International:d565c190-51ef-4bd5-af51-6c97526c1a1a,Lennox International,IT Co-Op,"Letchworth, AR",Software,https://uscareers-lennox.icims.com/jobs/52439/job?mobile=true&needsRedirect=false,2026-04-16,2026-04-16,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:d565c190-51ef-4bd5-af51-6c97526c1a1a,2026-04-16
Lennox International:1e8a10ee-4f7e-4a42-84fe-6fcdbcb739b9,Lennox International,MES & Industrial Automation Intern,"Richardson, TX",AI/ML/Data,https://uscareers-lennox.icims.com/jobs/54562/job?mobile=true&needsRedirect=false,2026-08-27,2026-08-27,2026-08-28T00:06:50+00:00,2026-08-27 17:06 Thu,,false,,,,false,simplify:Simplify Internships:1e8a10ee-4f7e-4a42-84fe-6fcdbcb739b9,2026-08-27
Lennox International:2839a9ef-0ef7-4708-bbc5-87007bc1e4ae,Lennox International,Mobile Applications Intern,"Richardson, TX",Software,https://uscareers-lennox.icims.com/jobs/54691/job?mobile=true&needsRedirect=false,2026-09-01,2026-09-01,2026-09-01T23:17:49+00:00,2026-09-01 16:17 Tue,,false,,,,false,simplify:Simplify Internships:2839a9ef-0ef7-4708-bbc5-87007bc1e4ae,2026-09-01
