job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Magna:/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-1_R00254318,Magna,1st Shift Production Operator-1,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-1_R00254318,Posted 5 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-1_R00254318
Magna:/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-2_R00254324,Magna,1st Shift Production Operator-2,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-2_R00254324,Posted 5 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-2_R00254324
Magna:/job/Piedmont-South-Carolina-US/Production-Associate_R00254752,Magna,2nd Shift Assembly Production Associate,"Piedmont, South Carolina, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Piedmont-South-Carolina-US/Production-Associate_R00254752,Posted Today,2026-08-12T15:41:55+00:00,2026-08-12 08:41 Wed,,false,,,,false,workday:Magna:/job/Piedmont-South-Carolina-US/Production-Associate_R00254752
Magna:/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-1_R00254327,Magna,2nd Shift Production Operator-1,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-1_R00254327,Posted 5 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-1_R00254327
Magna:/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-3_R00254336,Magna,2nd Shift Production Operator-3,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-3_R00254336,Posted 5 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-3_R00254336
Magna:/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-1_R00254337,Magna,3rd Shift Production Operator-1,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-1_R00254337,Posted 5 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-1_R00254337
Magna:/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-3_R00254338,Magna,3rd Shift Production Operator-3,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-3_R00254338,Posted 5 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-3_R00254338
Magna:/job/Muenchen-DE/Account-Manager--m-w-d-_R00249107,Magna,Account Manager (m/w/d),"Muenchen, DE",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Muenchen-DE/Account-Manager--m-w-d-_R00249107,Posted 7 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Muenchen-DE/Account-Manager--m-w-d-_R00249107
Magna:/job/Hefei-City-Anhui-CN/Accountant_R00253829,Magna,Accountant,"Hefei City, Anhui, CN",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Hefei-City-Anhui-CN/Accountant_R00253829,Posted 4 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Hefei-City-Anhui-CN/Accountant_R00253829
Magna:/job/Untergruppenbach-DE/Accounting-Specialist--m-w-x----2-Jahre-befristet_R00249382,Magna,Accounting Specialist (m|w|x) - 2 Jahre befristet,"Untergruppenbach, DE",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Untergruppenbach-DE/Accounting-Specialist--m-w-x----2-Jahre-befristet_R00249382,Posted Today,2026-08-10T11:59:26+00:00,2026-08-10 04:59 Mon,,false,,,,false,workday:Magna:/job/Untergruppenbach-DE/Accounting-Specialist--m-w-x----2-Jahre-befristet_R00249382
Magna:/job/Penetanguishene-Ontario-CA/Accounts-Payable--AP--Clerk_R00254131,Magna,Accounts Payable (AP) Clerk,"Penetanguishene, Ontario, CA",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Penetanguishene-Ontario-CA/Accounts-Payable--AP--Clerk_R00254131,Posted Today,2026-08-12T13:48:56+00:00,2026-08-12 06:48 Wed,,false,,,,false,workday:Magna:/job/Penetanguishene-Ontario-CA/Accounts-Payable--AP--Clerk_R00254131
Magna:/job/Belgrade-RS/Accounts-Receivable-Associate--Accounting-Shared-Services_R00253455,Magna,"Accounts Receivable Associate, Accounting Shared Services","Belgrade, RS",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Belgrade-RS/Accounts-Receivable-Associate--Accounting-Shared-Services_R00253455,Posted 9 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Belgrade-RS/Accounts-Receivable-Associate--Accounting-Shared-Services_R00253455
Magna:/job/Piedmont-South-Carolina-US/Adhesive-and-Sealer-Specialist_R00248957-1,Magna,Adhesive and Sealer Specialist,"Piedmont, South Carolina, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Piedmont-South-Carolina-US/Adhesive-and-Sealer-Specialist_R00248957-1,Posted Today,2026-08-05T12:59:53+00:00,2026-08-05 05:59 Wed,,false,,,,false,workday:Magna:/job/Piedmont-South-Carolina-US/Adhesive-and-Sealer-Specialist_R00248957-1
Magna:/job/Troy-Michigan-US/Administrative-Assistant-Engineering-NA_R00256040,Magna,Administrative Assistant Engineering NA,"Troy, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Troy-Michigan-US/Administrative-Assistant-Engineering-NA_R00256040,Posted Today,2026-08-11T12:59:54+00:00,2026-08-11 05:59 Tue,,false,,,,false,workday:Magna:/job/Troy-Michigan-US/Administrative-Assistant-Engineering-NA_R00256040
Magna:/job/Highland-Park-Michigan-US/Advanced-Manufacturing-Engineer_R00254585,Magna,Advanced Manufacturing Engineer,"Highland Park, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Highland-Park-Michigan-US/Advanced-Manufacturing-Engineer_R00254585,Posted 2 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Highland-Park-Michigan-US/Advanced-Manufacturing-Engineer_R00254585
Magna:/job/Troy-Michigan-US/Advanced-Manufacturing-Engineer_R00255363,Magna,Advanced Manufacturing Engineer,"Troy, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Troy-Michigan-US/Advanced-Manufacturing-Engineer_R00255363,Posted Today,2026-08-06T12:35:09+00:00,2026-08-06 05:35 Thu,,false,,,,false,workday:Magna:/job/Troy-Michigan-US/Advanced-Manufacturing-Engineer_R00255363
Magna:/job/Holly-Michigan-US/Advanced-Quality-Engineer_R00234422,Magna,Advanced Quality Engineer,"Holly, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Holly-Michigan-US/Advanced-Quality-Engineer_R00234422,Posted 2 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Holly-Michigan-US/Advanced-Quality-Engineer_R00234422
Magna:/job/Ramos-Arizpe-MX/Advanced-Quality-Engineer--Machining_R00253569,Magna,"Advanced Quality Engineer, Machining","Ramos Arizpe, MX",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Ramos-Arizpe-MX/Advanced-Quality-Engineer--Machining_R00253569,Posted 8 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Ramos-Arizpe-MX/Advanced-Quality-Engineer--Machining_R00253569
Magna:/job/Bangalore-IN/Sr-GenAI-Solution-Architect--Digital-Enterprise_R00210727,Magna,"AI Developer, Digital Enterprise","Bangalore, IN",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Bangalore-IN/Sr-GenAI-Solution-Architect--Digital-Enterprise_R00210727,Posted Today,2026-08-07T07:17:41+00:00,2026-08-07 00:17 Fri,,false,,,,false,workday:Magna:/job/Bangalore-IN/Sr-GenAI-Solution-Architect--Digital-Enterprise_R00210727
Magna:/job/Newmarket-Ontario-CA/AI-Engineer_R00228059,Magna,AI Engineer,"Newmarket, Ontario, CA",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Newmarket-Ontario-CA/AI-Engineer_R00228059,Posted 7 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Newmarket-Ontario-CA/AI-Engineer_R00228059
Magna:bd081463-2c78-438c-87f7-e4ad5d580efa,Magna,AI Engineering Co-op,"Oakville, ON, Canada",AI/ML/Data,https://wd3.myworkdaysite.com/recruiting/magna/Magna/job/Milton-Ontario-CA/AI-Engineering-Co-Op-Student--4-months-_R00252238,2026-07-17,2026-07-17T23:17:19+00:00,2026-07-17 16:17 Fri,,false,,,,false,simplify:Simplify Internships:bd081463-2c78-438c-87f7-e4ad5d580efa
Magna:/job/Milton-Ontario-CA/AI-Engineering-Co-Op-Student--4-months-_R00252238,Magna,AI Solutions Developer Co-op (4 months) - Starting September,"Milton, Ontario, CA",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Milton-Ontario-CA/AI-Engineering-Co-Op-Student--4-months-_R00252238,Posted 8 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Milton-Ontario-CA/AI-Engineering-Co-Op-Student--4-months-_R00252238
Magna:/job/Timisoara-RO/Algorithm-Development-Engineer_R00254260,Magna,Algorithm Development Engineer,2 Locations,,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Timisoara-RO/Algorithm-Development-Engineer_R00254260,Posted 2 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Timisoara-RO/Algorithm-Development-Engineer_R00254260
Magna:/job/Ramos-Arizpe-MX/AME-Assembly-Engineer_R00253587-1,Magna,AME Assembly Engineer,"Ramos Arizpe, MX",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Ramos-Arizpe-MX/AME-Assembly-Engineer_R00253587-1,Posted 8 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Ramos-Arizpe-MX/AME-Assembly-Engineer_R00253587-1
Magna:/job/Ramos-Arizpe-MX/AME-EOL-NVH-Engineer_R00253586,Magna,AME EOL/NVH Engineer,"Ramos Arizpe, MX",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Ramos-Arizpe-MX/AME-EOL-NVH-Engineer_R00253586,Posted 8 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Ramos-Arizpe-MX/AME-EOL-NVH-Engineer_R00253586
Magna:/job/Ramos-Arizpe-MX/AME-Machining-Engineer_R00253585-1,Magna,AME Machining Engineer,"Ramos Arizpe, MX",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Ramos-Arizpe-MX/AME-Machining-Engineer_R00253585-1,Posted 8 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Ramos-Arizpe-MX/AME-Machining-Engineer_R00253585-1
Magna:/job/Sao-Bernardo-Do-Campo-So-Paulo-BR/Analista-de-Sistema-Pl--terceiro-_R00255129,Magna,Analista de Sistema Pl (terceiro),3 Locations,,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Sao-Bernardo-Do-Campo-So-Paulo-BR/Analista-de-Sistema-Pl--terceiro-_R00255129,Posted Yesterday,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Sao-Bernardo-Do-Campo-So-Paulo-BR/Analista-de-Sistema-Pl--terceiro-_R00255129
Magna:/job/Joinville-Santa-Catarina-BR/Analista-de-Sistema-Pl--terceiro-_R00255129,Magna,Analista de Sistema Pl (terceiro),Joinville-Santa-Catarina-BR,,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Joinville-Santa-Catarina-BR/Analista-de-Sistema-Pl--terceiro-_R00255129,Posted Today,2026-08-14T13:59:22+00:00,2026-08-14 06:59 Fri,,false,,,,false,workday:Magna:/job/Joinville-Santa-Catarina-BR/Analista-de-Sistema-Pl--terceiro-_R00255129
Magna:/job/Newmarket-Ontario-CA/Analyst--Traffic-Customs_R00247378-1,Magna,"Analyst, Customs",2 Locations,,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Newmarket-Ontario-CA/Analyst--Traffic-Customs_R00247378-1,Posted 8 Days Ago,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Newmarket-Ontario-CA/Analyst--Traffic-Customs_R00247378-1
