job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Mastercard:/job/London-England-Angel-Lane/XMLNAME-1st-Line-Security-Controls-Testing-Manager_R-279806,Mastercard,1st Line Security Controls Testing Manager,2 Locations,,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/London-England-Angel-Lane/XMLNAME-1st-Line-Security-Controls-Testing-Manager_R-279806,Posted Today,2026-07-16T08:41:15+00:00,2026-07-16 01:41 Thu,,false,,,,false,workday:Mastercard:/job/London-England-Angel-Lane/XMLNAME-1st-Line-Security-Controls-Testing-Manager_R-279806
Mastercard:/job/Bogota-Colombia/ACD-Creative-Strategiest_R-248426,Mastercard,ACD Creative Strategist,"Bogota, Colombia",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Bogota-Colombia/ACD-Creative-Strategiest_R-248426,Posted 4 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Mastercard:/job/Bogota-Colombia/ACD-Creative-Strategiest_R-248426
Mastercard:/job/Bogota-Colombia/Agent-Suite---Solutions-Integration-Manager-Americas_R-286147,Mastercard,Agent Suite - Solutions Integration Manager Americas,"Bogota, Colombia",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Bogota-Colombia/Agent-Suite---Solutions-Integration-Manager-Americas_R-286147,Posted Today,2026-07-21T15:59:56+00:00,2026-07-21 08:59 Tue,,false,,,,false,workday:Mastercard:/job/Bogota-Colombia/Agent-Suite---Solutions-Integration-Manager-Americas_R-286147
Mastercard:/job/Dublin-Ireland/Agentic-AI---Lead-Software-Engineer_R-286495,Mastercard,Agentic AI - Lead Software Engineer,"Dublin, Ireland",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Dublin-Ireland/Agentic-AI---Lead-Software-Engineer_R-286495,Posted Today,2026-07-23T09:41:48+00:00,2026-07-23 02:41 Thu,,false,,,,false,workday:Mastercard:/job/Dublin-Ireland/Agentic-AI---Lead-Software-Engineer_R-286495
Mastercard:/job/Dublin-Ireland/Agentic-AI---Senior-Software-Engineer_R-274222,Mastercard,Agentic AI - Senior Software Engineer,"Dublin, Ireland",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Dublin-Ireland/Agentic-AI---Senior-Software-Engineer_R-274222,Posted Today,2026-07-14T08:40:54+00:00,2026-07-14 01:40 Tue,,false,,,,false,workday:Mastercard:/job/Dublin-Ireland/Agentic-AI---Senior-Software-Engineer_R-274222
Mastercard:/job/Dublin-Ireland/Agentic-AI---Senior-Software-Engineer_R-286494,Mastercard,Agentic AI - Senior Software Engineer,"Dublin, Ireland",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Dublin-Ireland/Agentic-AI---Senior-Software-Engineer_R-286494,Posted Today,2026-07-23T09:41:48+00:00,2026-07-23 02:41 Thu,,false,,,,false,workday:Mastercard:/job/Dublin-Ireland/Agentic-AI---Senior-Software-Engineer_R-286494
Mastercard:/job/Pune-India/AI-Engineer_R-282172-1,Mastercard,AI Engineer,"Pune, India",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Pune-India/AI-Engineer_R-282172-1,Posted Today,2026-07-14T06:59:03+00:00,2026-07-13 23:59 Mon,,false,,,,false,workday:Mastercard:/job/Pune-India/AI-Engineer_R-282172-1
Mastercard:/job/Dublin-Ireland/AI-Engineer-2_R-286225,Mastercard,AI Engineer 2,"Dublin, Ireland",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Dublin-Ireland/AI-Engineer-2_R-286225,Posted Today,2026-07-21T10:41:13+00:00,2026-07-21 03:41 Tue,,false,,,,false,workday:Mastercard:/job/Dublin-Ireland/AI-Engineer-2_R-286225
Mastercard:/job/Dublin-Ireland/AI-engineer-II_R-275694,Mastercard,AI engineer II,"Dublin, Ireland",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Dublin-Ireland/AI-engineer-II_R-275694,Posted Today,2026-07-21T13:59:30+00:00,2026-07-21 06:59 Tue,,false,,,,false,workday:Mastercard:/job/Dublin-Ireland/AI-engineer-II_R-275694
Mastercard:/job/London-England-Angel-Lane/AI-Strategy-and-Transformation-Consultant--Director--Advisors---Consulting-Services-_R-275445,Mastercard,AI Strategy and Transformation Consultant/ Director (Advisors & Consulting Services),"London, England (Angel Lane)",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/London-England-Angel-Lane/AI-Strategy-and-Transformation-Consultant--Director--Advisors---Consulting-Services-_R-275445,Posted Today,2026-07-17T10:41:30+00:00,2026-07-17 03:41 Fri,,false,,,,false,workday:Mastercard:/job/London-England-Angel-Lane/AI-Strategy-and-Transformation-Consultant--Director--Advisors---Consulting-Services-_R-275445
Mastercard:/job/Bogota-Colombia/Analyst---Analytics-and-Metrics_R-281888,Mastercard,Analyst - Analytics and Metrics,"Bogota, Colombia",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Bogota-Colombia/Analyst---Analytics-and-Metrics_R-281888,Posted 5 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Mastercard:/job/Bogota-Colombia/Analyst---Analytics-and-Metrics_R-281888
Mastercard:/job/Rome-Italy/Analyst-Marketing_R-286377,Mastercard,Analyst Marketing,"Rome, Italy",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Rome-Italy/Analyst-Marketing_R-286377,Posted Today,2026-07-21T16:41:51+00:00,2026-07-21 09:41 Tue,,false,,,,false,workday:Mastercard:/job/Rome-Italy/Analyst-Marketing_R-286377
Mastercard:/job/Bogota-Colombia/Analyst-Risk-management_R-276491-1,Mastercard,Analyst Risk management,"Bogota, Colombia",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Bogota-Colombia/Analyst-Risk-management_R-276491-1,Posted Today,2026-07-22T16:17:22+00:00,2026-07-22 09:17 Wed,,false,,,,false,workday:Mastercard:/job/Bogota-Colombia/Analyst-Risk-management_R-276491-1
Mastercard:/job/Singapore/Analyst--Account-Management_R-284477,Mastercard,"Analyst, Account Management",Singapore,,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Singapore/Analyst--Account-Management_R-284477,Posted Today,2026-07-23T02:41:32+00:00,2026-07-22 19:41 Wed,,false,,,,false,workday:Mastercard:/job/Singapore/Analyst--Account-Management_R-284477
Mastercard:/job/Gurgaon-India/Analyst--Analytics---Metrics-1_R-279888,Mastercard,"Analyst, Analytics & Metrics-1","Gurgaon, India",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Gurgaon-India/Analyst--Analytics---Metrics-1_R-279888,Posted Today,2026-07-13T13:17:07+00:00,2026-07-13 06:17 Mon,,false,,,,false,workday:Mastercard:/job/Gurgaon-India/Analyst--Analytics---Metrics-1_R-279888
Mastercard:/job/Gurgaon-India/Analyst--Analytics---Metrics-2_R-279889,Mastercard,"Analyst, Analytics & Metrics-2","Gurgaon, India",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Gurgaon-India/Analyst--Analytics---Metrics-2_R-279889,Posted Today,2026-07-13T13:17:07+00:00,2026-07-13 06:17 Mon,,false,,,,false,workday:Mastercard:/job/Gurgaon-India/Analyst--Analytics---Metrics-2_R-279889
Mastercard:/job/Pune-India/Analyst--Big-Data-Analytics---Engineering_R-284452,Mastercard,"Analyst, Big Data Analytics & Engineering","Pune, India",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Pune-India/Analyst--Big-Data-Analytics---Engineering_R-284452,Posted Today,2026-07-17T08:59:20+00:00,2026-07-17 01:59 Fri,,false,,,,false,workday:Mastercard:/job/Pune-India/Analyst--Big-Data-Analytics---Engineering_R-284452
Mastercard:/job/Bogota-Colombia-Bldg-978/Analyst--Billing-Operations_R-282498,Mastercard,"Analyst, Billing Operations","Bogota, Colombia (Bldg 978)",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Bogota-Colombia-Bldg-978/Analyst--Billing-Operations_R-282498,Posted Today,2026-07-16T22:38:12+00:00,2026-07-16 15:38 Thu,,false,,,,false,workday:Mastercard:/job/Bogota-Colombia-Bldg-978/Analyst--Billing-Operations_R-282498
Mastercard:/job/Dublin-Ireland-Mountain-View/Analyst--Business-Process-Improvement_R-275063,Mastercard,"Analyst, Business Process Improvement",2 Locations,,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Dublin-Ireland-Mountain-View/Analyst--Business-Process-Improvement_R-275063,Posted 2 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Mastercard:/job/Dublin-Ireland-Mountain-View/Analyst--Business-Process-Improvement_R-275063
Mastercard:/job/Mexico-City-Mexico/Analyst--Business-Process-Improvement_R-281547,Mastercard,"Analyst, Business Process Improvement",2 Locations,,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Mexico-City-Mexico/Analyst--Business-Process-Improvement_R-281547,Posted 3 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Mastercard:/job/Mexico-City-Mexico/Analyst--Business-Process-Improvement_R-281547
Mastercard:/job/Purchase-New-York/Analyst--Customer-Performance--BRAM-Investigator-_R-280588,Mastercard,"Analyst, Customer Performance (BRAM Investigator)","Purchase, New York",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Purchase-New-York/Analyst--Customer-Performance--BRAM-Investigator-_R-280588,Posted Today,2026-07-13T19:17:03+00:00,2026-07-13 12:17 Mon,,false,,,,false,workday:Mastercard:/job/Purchase-New-York/Analyst--Customer-Performance--BRAM-Investigator-_R-280588
Mastercard:/job/Bogota-Colombia/Analyst--Equity-Compensation_R-281815,Mastercard,"Analyst, Equity Compensation","Bogota, Colombia",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Bogota-Colombia/Analyst--Equity-Compensation_R-281815,Posted Today,2026-07-14T19:17:18+00:00,2026-07-14 12:17 Tue,,false,,,,false,workday:Mastercard:/job/Bogota-Colombia/Analyst--Equity-Compensation_R-281815
Mastercard:/job/Bogota-Colombia/Analyst--Financial-Planning---Analysis_R-281266,Mastercard,"Analyst, Financial Planning & Analysis","Bogota, Colombia",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Bogota-Colombia/Analyst--Financial-Planning---Analysis_R-281266,Posted Today,2026-07-17T18:17:32+00:00,2026-07-17 11:17 Fri,,false,,,,false,workday:Mastercard:/job/Bogota-Colombia/Analyst--Financial-Planning---Analysis_R-281266
Mastercard:/job/Sao-Paulo-Brazil/Analyst--Learning---Development--Multimedia-Instructional-Designer---Mandatory-Training_R-282367,Mastercard,"Analyst, Learning & Development, Multimedia Instructional Designer - Mandatory Training","Sao Paulo, Brazil",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Sao-Paulo-Brazil/Analyst--Learning---Development--Multimedia-Instructional-Designer---Mandatory-Training_R-282367,Posted Today,2026-07-14T13:58:58+00:00,2026-07-14 06:58 Tue,,false,,,,false,workday:Mastercard:/job/Sao-Paulo-Brazil/Analyst--Learning---Development--Multimedia-Instructional-Designer---Mandatory-Training_R-282367
Mastercard:/job/Waterloo-Belgium/Analyst--Risk-Management_R-282800,Mastercard,"Analyst, Risk Management","Waterloo, Belgium",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Waterloo-Belgium/Analyst--Risk-Management_R-282800,Posted Today,2026-07-20T10:17:29+00:00,2026-07-20 03:17 Mon,,false,,,,false,workday:Mastercard:/job/Waterloo-Belgium/Analyst--Risk-Management_R-282800
Mastercard:/job/Pune-India/Analyst--Risk-Management_R-286181,Mastercard,"Analyst, Risk Management","Pune, India",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Pune-India/Analyst--Risk-Management_R-286181,Posted Today,2026-07-22T05:17:09+00:00,2026-07-21 22:17 Tue,,false,,,,false,workday:Mastercard:/job/Pune-India/Analyst--Risk-Management_R-286181
Mastercard:/job/Gurgaon-India/Associate-Analyst--Insights---Enablement_R-282412,Mastercard,"Associate Analyst, Insights & Enablement","Gurgaon, India",,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Gurgaon-India/Associate-Analyst--Insights---Enablement_R-282412,Posted 2 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Mastercard:/job/Gurgaon-India/Associate-Analyst--Insights---Enablement_R-282412
