job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Merck:de7d9512-c0e4-43f7-a88e-43788fdedd9c,Merck,Business Enablement Intern,"North Wales, PA; Rahway, NJ",Software,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---Pennsylvania---North-Wales-Upper-Gwynedd/XMLNAME-2027-Future-Talent-Program---Business-Enablement---Intern_R410960,2026-09-08,2026-09-08,2026-09-08T06:40:47+00:00,2026-09-07 23:40 Mon,,false,,,,false,simplify:Simplify Internships:de7d9512-c0e4-43f7-a88e-43788fdedd9c,2026-09-08
Merck:269c98bf-a12b-4ef0-a2c5-4b7d30d453e2,Merck,Business Intelligence Intern - Research Lab,"North Wales, PA; Rahway, NJ",AI/ML/Data,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---Pennsylvania---North-Wales-Upper-Gwynedd/XMLNAME-2027-Future-Talent-Program---Business-Intelligence---Intern_R412411,2026-09-08,2026-09-08,2026-09-08T06:40:47+00:00,2026-09-07 23:40 Mon,,false,,,,false,simplify:Simplify Internships:269c98bf-a12b-4ef0-a2c5-4b7d30d453e2,2026-09-08
Merck:f93be601-39da-4fc8-ab4a-538dbf9976e3,Merck,Co-op,"Rahway, NJ",AI/ML/Data,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---New-Jersey---Rahway/XMLNAME-2027-Future-Talent-Program---Global-Workplace---Enterprise-Services-Global-Real-Estate--GRES--Co-op_R415296,2026-09-08,2026-09-08,2026-09-08T06:40:47+00:00,2026-09-07 23:40 Mon,AI / ML,true,CLI,38,"The candidate has strong Python automation, database, data-validation, and stakeholder collaboration experience, but lacks the role’s preferred workforce-data governance, Power BI, real-estate analytics background and is enrolled in a master’s rather than a bachelor’s program.",true,simplify:Simplify Internships:f93be601-39da-4fc8-ab4a-538dbf9976e3,2026-09-08
Merck:f52421f1-2b11-4885-a968-c3cc90b2857f,Merck,Computational Toxicology Intern - AI/ML Computational Toxicology,"West Point, PA",AI/ML/Data,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---Pennsylvania---West-Point/XMLNAME-2027-Future-Talent-Program---AI-ML-Computational-Toxicology---Intern_R412871,2026-09-08,2026-09-08,2026-09-08T06:40:47+00:00,2026-09-07 23:40 Mon,AI / ML,true,CLI,58,"Strong Python, ML, PyTorch/TensorFlow, scikit-learn, pandas, SQL, Git, and biomedical imaging experience, but limited evidence of NLP/LLM, toxicology, multimodal pharmaceutical data, or RAG and the internship timing may conflict with the candidate's degree timeline.",true,simplify:Simplify Internships:f52421f1-2b11-4885-a968-c3cc90b2857f,2026-09-08
Merck:8149b9c0-8cb1-41d8-9f26-64a1ae9716b5,Merck,Computer Scientist Co-op - Agentic & Augmented Authoring Systems,"West Point, PA",Software,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---Pennsylvania---West-Point/XMLNAME-2027-Future-Talent-Program---Computer-Scientist---Agentic---Augmented-Authoring-Systems---Co-op_R412857,2026-09-08,2026-09-08,2026-09-08T06:40:47+00:00,2026-09-07 23:40 Mon,Computer Vision,true,CLI,48,"Strong Python, AI, data extraction, automation, cloud, and scientific collaboration experience, but lacks the required PhD enrollment and direct NLP, LLM, agent orchestration, RAG, vector database, and nonclinical drug safety experience.",true,simplify:Simplify Internships:8149b9c0-8cb1-41d8-9f26-64a1ae9716b5,2026-09-08
Merck:43b2eef4-f37f-4fe3-919b-08128239760c,Merck,Data Scientist Intern - Nonclinical Drug Safety,"Boston, MA",AI/ML/Data,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---Massachusetts---Boston-MA-Parcel-B-Laboratory/XMLNAME-2027-Future-Talent-Program---Nonclinical-Drug-Safety-Data-Scientist---Intern_R412861,2026-09-08,2026-09-08,2026-09-08T06:40:47+00:00,2026-09-07 23:40 Mon,,false,,,,false,simplify:Simplify Internships:43b2eef4-f37f-4fe3-919b-08128239760c,2026-09-08
Merck:0de01dac-3569-4e3a-a5e8-b53a36e66025,Merck,Digital Strategy & Insights Intern - Global Supplier Management Group,"Rahway, NJ",AI/ML/Data,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---New-Jersey---Rahway/XMLNAME-2027-Future-Talent-Program---Global-Supplier-Management-Group-Digital-Strategy---Insights--DS-I----Intern_R416016,2026-09-08,2026-09-08,2026-09-08T06:40:47+00:00,2026-09-07 23:40 Mon,,false,,,,false,simplify:Simplify Internships:0de01dac-3569-4e3a-a5e8-b53a36e66025,2026-09-08
Merck:e2818b99-0f21-4936-b942-da56f97129bd,Merck,Global Data Management and Standards Intern,"Rahway, NJ",AI/ML/Data,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---New-Jersey---Rahway/XMLNAME-2027-Future-Talent-Program---Global-Data-Management-and-Standards--GDMS----Intern_R412060,2026-09-08,2026-09-08,2026-09-08T06:40:47+00:00,2026-09-07 23:40 Mon,AI / ML,true,CLI,48,"The candidate has strong Python/C# programming, database experience with MySQL and Redis, troubleshooting, automation, analytical problem-solving, and medical-imaging exposure, but lacks the role’s key Oracle, PL/SQL, SAS, Microsoft Office, Access, MS Project, and web-development requirements.",true,simplify:Simplify Internships:e2818b99-0f21-4936-b942-da56f97129bd,2026-09-08
Merck:fb5852a4-7dd6-4402-9294-65ab39f88f85,Merck,Information Science Intern - Future Talent Program,"Rahway, NJ",AI/ML/Data,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---New-Jersey---Rahway/XMLNAME-2027-Future-Talent-Program---Information-Science---Intern_R413651,2026-09-08,2026-09-08,2026-09-08T06:40:47+00:00,2026-09-07 23:40 Mon,,false,,,,false,simplify:Simplify Internships:fb5852a4-7dd6-4402-9294-65ab39f88f85,2026-09-08
Merck:70f4547c-0599-4bae-ae1f-b0ffcd3dd618,Merck,Intern,"West Point, PA",Software,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---Pennsylvania---West-Point/XMLNAME-2027-Future-Talent-Program---Standardizing-Automation-Scripting-Practices-Through-AI-Enabled-Knowledge-Repository---Intern_R412939,2026-09-08,2026-09-08,2026-09-08T06:40:47+00:00,2026-09-07 23:40 Mon,AI / ML,true,CLI,88,"The candidate strongly matches this internship through Python, SQL/MySQL, C#/C++, Git, automation, AI/computer vision, troubleshooting, documentation, and cross-functional scientific experience, though direct LLM/RAG, laboratory automation, and knowledge-platform experience is limited.",true,simplify:Simplify Internships:70f4547c-0599-4bae-ae1f-b0ffcd3dd618,2026-09-08
