job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Metropolitan Transportation Authority:d954b282-1586-4e74-818f-8d83c3936a8c,Metropolitan Transportation Authority,Application Developer 1 - PeopleSoft,NYC,Software,https://jobs.jobvite.com/metropolitantransportationauthority/job/oTXByfwJ?nl=1&nl=1&fr=false,2026-07-27,2026-07-27,2026-07-27T23:41:32+00:00,2026-07-27 16:41 Mon,,false,,,,false,simplify:Simplify Internships:d954b282-1586-4e74-818f-8d83c3936a8c,2026-07-27
Metropolitan Transportation Authority:910e3e83-067b-4745-909a-efefbbacd8ec,Metropolitan Transportation Authority,Application Developer Level 1 - Geographic Information Systems,NYC,Software,https://jobs.jobvite.com/metropolitantransportationauthority/job/ot2fAfw4?nl=1&nl=1&fr=false,2026-06-11,2026-06-11,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:910e3e83-067b-4745-909a-efefbbacd8ec,2026-06-11
Metropolitan Transportation Authority:f6b08d5d-a560-4521-b32a-58a97a4d3d9f,Metropolitan Transportation Authority,Application Developer Level 1 - Information Technology,NYC,Software,https://jobs.jobvite.com/metropolitantransportationauthority/job/oz2fAfwa?nl=1&nl=1&fr=false,2026-06-10,2026-06-10,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:f6b08d5d-a560-4521-b32a-58a97a4d3d9f,2026-06-10
Metropolitan Transportation Authority:05e1803e-07e6-4a32-a5be-1e29b9ac66ae,Metropolitan Transportation Authority,Application Developer Level 1 - iOS,NYC,Software,https://jobs.jobvite.com/metropolitantransportationauthority/job/ocUhzfwG?nl=1&nl=1&fr=false,2026-05-19,2026-05-19,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:05e1803e-07e6-4a32-a5be-1e29b9ac66ae,2026-05-19
Metropolitan Transportation Authority:66aed69d-0acd-43a5-9aa1-fcbdc96ceebd,Metropolitan Transportation Authority,Computer Specialist - Software,NYC,Software,https://jobs.jobvite.com/metropolitantransportationauthority/job/oCroAfwL?nl=1&nl=1&fr=false,2026-07-27,2026-07-27,2026-07-27T23:41:32+00:00,2026-07-27 16:41 Mon,,false,,,,false,simplify:Simplify Internships:66aed69d-0acd-43a5-9aa1-fcbdc96ceebd,2026-07-27
Metropolitan Transportation Authority:a2bbc600-552a-46dd-9a72-ae7911771bb9,Metropolitan Transportation Authority,Data Analyst Intern,"Brooklyn, NY",AI/ML/Data,https://jobs.jobvite.com/metropolitantransportationauthority/job/oboAAfwt?nl=1&nl=1&fr=false,2026-08-03,2026-08-03,2026-08-03T23:17:08+00:00,2026-08-03 16:17 Mon,,false,,,,false,simplify:Simplify Internships:a2bbc600-552a-46dd-9a72-ae7911771bb9,2026-08-03
Metropolitan Transportation Authority:072dbf25-7509-499b-9478-b00e9e52963d,Metropolitan Transportation Authority,Data Analyst Intern,NYC,AI/ML/Data,https://jobs.jobvite.com/metropolitantransportationauthority/job/oecDAfwn?nl=1&nl=1&fr=false,2026-08-11,2026-08-11,2026-08-11T23:17:30+00:00,2026-08-11 16:17 Tue,,false,,,,false,simplify:Simplify Internships:072dbf25-7509-499b-9478-b00e9e52963d,2026-08-11
Metropolitan Transportation Authority:0d5b6431-b3ab-4450-8dc4-f912a69e0e6a,Metropolitan Transportation Authority,Data Analyst Intern - Power - Emerging Talent,NYC,AI/ML/Data,https://jobs.jobvite.com/metropolitantransportationauthority/job/o6OAAfwO?nl=1&nl=1&fr=false,2026-08-04,2026-08-04,2026-08-04T23:17:23+00:00,2026-08-04 16:17 Tue,,false,,,,false,simplify:Simplify Internships:0d5b6431-b3ab-4450-8dc4-f912a69e0e6a,2026-08-04
Metropolitan Transportation Authority:1890070e-5df6-42c3-99b3-fe0af8d95d7f,Metropolitan Transportation Authority,Data Analyst Intern - Power Control Center,NYC,AI/ML/Data,https://jobs.jobvite.com/metropolitantransportationauthority/job/onr7zfwe?nl=1&nl=1&fr=false,2026-05-13,2026-05-13,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:1890070e-5df6-42c3-99b3-fe0af8d95d7f,2026-05-13
Metropolitan Transportation Authority:1e2df4b2-0028-4c50-9b34-85eb92e0dee9,Metropolitan Transportation Authority,Data Analyst Intern - Subway Resource & Admin Support - Emerging Talent,NYC,AI/ML/Data,https://jobs.jobvite.com/metropolitantransportationauthority/job/oUuPAfwx?nl=1&nl=1&fr=false,2026-09-24,2026-09-24,2026-09-24T14:40:40+00:00,2026-09-24 07:40 Thu,,false,,,,false,simplify:Simplify Internships:1e2df4b2-0028-4c50-9b34-85eb92e0dee9,2026-09-24
Metropolitan Transportation Authority:5a584c30-3ce0-47db-9704-8a23896e8742,Metropolitan Transportation Authority,Deployed Hardware Engineer/Analyst Emerging Talent Intern - Automatic Vehicle Location,NYC,Hardware,https://jobs.jobvite.com/metropolitantransportationauthority/job/omt5zfwd?nl=1&nl=1&fr=false,2026-05-05,2026-05-05,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:5a584c30-3ce0-47db-9704-8a23896e8742,2026-05-05
Metropolitan Transportation Authority:9e2ec060-ced5-4de9-8b37-e6606f616233,Metropolitan Transportation Authority,EAM Analyst Intern - Emerging Talent,NYC,AI/ML/Data,https://jobs.jobvite.com/metropolitantransportationauthority/job/oZuEAfwr?nl=1&nl=1&fr=false,2026-08-26,2026-08-26,2026-09-04T13:16:46+00:00,2026-09-04 06:16 Fri,,false,,,,false,simplify:Simplify Internships:9e2ec060-ced5-4de9-8b37-e6606f616233,2026-08-26
Metropolitan Transportation Authority:ebd24102-2b39-4125-bfd8-6cd834cc5f49,Metropolitan Transportation Authority,Enterprise Architecture Fellow - Technology & Engineer,NYC,AI/ML/Data,https://jobs.jobvite.com/metropolitantransportationauthority/job/oZK6zfw8?nl=1&nl=1&fr=false,2026-05-13,2026-05-13,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:ebd24102-2b39-4125-bfd8-6cd834cc5f49,2026-05-13
Metropolitan Transportation Authority:217f5f1c-aedb-46a7-948f-5b36090869a0,Metropolitan Transportation Authority,Geographic Information Systems Fellow - Technology & Engineer,"Queens, NY",AI/ML/Data,https://jobs.jobvite.com/metropolitantransportationauthority/job/oKx4zfwE?nl=1&nl=1&fr=false,2026-05-01,2026-05-01,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:217f5f1c-aedb-46a7-948f-5b36090869a0,2026-05-01
Metropolitan Transportation Authority:3f5365b0-04a2-4345-acc3-08ca2f8703ab,Metropolitan Transportation Authority,Onboard Fare Systems - Technology & Engineer Fellow,NYC,Hardware,https://jobs.jobvite.com/metropolitantransportationauthority/job/oAz7zfwz?nl=1&nl=1&fr=false,2026-05-13,2026-05-13,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:3f5365b0-04a2-4345-acc3-08ca2f8703ab,2026-05-13
Metropolitan Transportation Authority:07387e7d-77be-43e1-9d2b-2170a06a2a06,Metropolitan Transportation Authority,Operations Analytics and Problem Management,NYC,AI/ML/Data,https://jobs.jobvite.com/metropolitantransportationauthority/job/ohfNAfwD?nl=1&nl=1&fr=false,2026-09-18,2026-09-18,2026-09-19T01:17:08+00:00,2026-09-18 18:17 Fri,,false,,,,false,simplify:Simplify Internships:07387e7d-77be-43e1-9d2b-2170a06a2a06,2026-09-18
