job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Midjourney:6827b8b9-5d31-4fec-b3a8-f0a745c97ebc,Midjourney,"Backend Engineer, Core Systems",San Francisco Bay Area Hybrid,Infrastructure,https://jobs.ashbyhq.com/midjourney/6827b8b9-5d31-4fec-b3a8-f0a745c97ebc,2026-07-24T12:05:24.899+00:00,2026-07-24T12:17:28+00:00,2026-07-24 05:17 Fri,Software Engineering,true,Keyword,52,keyword-only heuristic,true,ashby:Midjourney:6827b8b9-5d31-4fec-b3a8-f0a745c97ebc
Midjourney:2eb12cfd-4775-43f6-b5b5-25add139c090,Midjourney,"Backend Engineer, Core Systems",San Francisco Bay Area Hybrid,Midjourney Product,https://jobs.ashbyhq.com/midjourney/2eb12cfd-4775-43f6-b5b5-25add139c090,2026-07-24T13:09:59.063+00:00,2026-07-24T13:17:33+00:00,2026-07-24 06:17 Fri,Software Engineering,true,Keyword,52,keyword-only heuristic,true,ashby:Midjourney:2eb12cfd-4775-43f6-b5b5-25add139c090
Midjourney:f31b65df-28bf-405c-bd99-f832316255df,Midjourney,"Backend Engineer, Product",San Francisco Bay Area Hybrid,Infrastructure,https://jobs.ashbyhq.com/midjourney/f31b65df-28bf-405c-bd99-f832316255df,2026-07-24T11:59:40.576+00:00,2026-07-24T12:17:28+00:00,2026-07-24 05:17 Fri,Software Engineering,true,Keyword,55,keyword-only heuristic,true,ashby:Midjourney:f31b65df-28bf-405c-bd99-f832316255df
Midjourney:c35ebd71-841a-492b-9f24-1af0b7878e7b,Midjourney,Brand Designer (Freelance),Remote United State,Midjourney Product,https://jobs.ashbyhq.com/midjourney/c35ebd71-841a-492b-9f24-1af0b7878e7b,2026-07-24T02:00:56.374+00:00,2026-07-24T02:17:33+00:00,2026-07-23 19:17 Thu,,false,,,,false,ashby:Midjourney:c35ebd71-841a-492b-9f24-1af0b7878e7b
Midjourney:f71263d9-3616-4b8e-8433-69844014b60f,Midjourney,Design Lead,San Francisco Bay Area Hybrid,Midjourney Product,https://jobs.ashbyhq.com/midjourney/f71263d9-3616-4b8e-8433-69844014b60f,2026-07-24T02:02:37.713+00:00,2026-07-24T02:17:33+00:00,2026-07-23 19:17 Thu,,false,,,,false,ashby:Midjourney:f71263d9-3616-4b8e-8433-69844014b60f
Midjourney:d53d215e-2ac2-4cef-aff3-2d2bfaf07a0d,Midjourney,Electrical Engineer (Systems / Integration / Experimentation),San Francisco,Midjourney Medical,https://jobs.ashbyhq.com/midjourney/d53d215e-2ac2-4cef-aff3-2d2bfaf07a0d,2026-06-30T21:27:28.499+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Midjourney:d53d215e-2ac2-4cef-aff3-2d2bfaf07a0d
Midjourney:fc016dcb-f034-4351-975a-c0bc11a615ed,Midjourney,Engineering Manager ,San Francisco Bay Area Hybrid,Midjourney Product,https://jobs.ashbyhq.com/midjourney/fc016dcb-f034-4351-975a-c0bc11a615ed,2026-07-24T12:10:30.311+00:00,2026-07-24T12:17:28+00:00,2026-07-24 05:17 Fri,Computer Vision,true,Keyword,49,keyword-only heuristic,false,ashby:Midjourney:fc016dcb-f034-4351-975a-c0bc11a615ed
Midjourney:2ef177d4-42a0-4756-9c11-0738b9bcbc87,Midjourney,General Interest,San Francisco,Midjourney Medical,https://jobs.ashbyhq.com/midjourney/2ef177d4-42a0-4756-9c11-0738b9bcbc87,2026-07-01T23:43:42.495+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Midjourney:2ef177d4-42a0-4756-9c11-0738b9bcbc87
Midjourney:00c4b1bf-a8d3-4a13-91ae-491f5a87d127,Midjourney,Operations Lead (Medical),San Francisco,Midjourney Medical,https://jobs.ashbyhq.com/midjourney/00c4b1bf-a8d3-4a13-91ae-491f5a87d127,2026-06-30T21:53:16.195+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Midjourney:00c4b1bf-a8d3-4a13-91ae-491f5a87d127
Midjourney:9d54d241-0824-405a-bc8a-a64483e67cee,Midjourney,Principal Machine Learning Engineer (Reconstruction / Quantitative Imaging),San Francisco,Midjourney Medical,https://jobs.ashbyhq.com/midjourney/9d54d241-0824-405a-bc8a-a64483e67cee,2026-06-30T21:46:22.671+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Midjourney:9d54d241-0824-405a-bc8a-a64483e67cee
Midjourney:67153405-c5da-459d-9e83-80504095d6d1,Midjourney,Principal Software Engineer,San Francisco,Midjourney Medical,https://jobs.ashbyhq.com/midjourney/67153405-c5da-459d-9e83-80504095d6d1,2026-06-30T18:58:35.743+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Midjourney:67153405-c5da-459d-9e83-80504095d6d1
Midjourney:3ddef93e-b80e-4264-ae31-27ca3f68ae90,Midjourney,Product Designer,SF or NY Hybrid,Midjourney Product,https://jobs.ashbyhq.com/midjourney/3ddef93e-b80e-4264-ae31-27ca3f68ae90,2026-07-24T01:39:53.314+00:00,2026-07-24T01:59:23+00:00,2026-07-23 18:59 Thu,,false,,,,false,ashby:Midjourney:3ddef93e-b80e-4264-ae31-27ca3f68ae90
Midjourney:89c250d1-1a8e-49e5-b911-bbb59565152e,Midjourney,Product Lead,San Francisco Bay Area Hybrid,Midjourney Product,https://jobs.ashbyhq.com/midjourney/89c250d1-1a8e-49e5-b911-bbb59565152e,2026-07-24T02:04:45.437+00:00,2026-07-24T02:17:33+00:00,2026-07-23 19:17 Thu,,false,,,,false,ashby:Midjourney:89c250d1-1a8e-49e5-b911-bbb59565152e
Midjourney:2646f700-a562-4e76-8979-ed01776eb745,Midjourney,Product Manager,San Francisco Bay Area Hybrid,Midjourney Product,https://jobs.ashbyhq.com/midjourney/2646f700-a562-4e76-8979-ed01776eb745,2026-07-24T13:11:20.629+00:00,2026-07-24T13:17:33+00:00,2026-07-24 06:17 Fri,,false,,,,false,ashby:Midjourney:2646f700-a562-4e76-8979-ed01776eb745
Midjourney:68e8eed8-ba7e-4530-bee1-4baf3d368d55,Midjourney,QA Analyst,SF or NY Hybrid,Midjourney Product,https://jobs.ashbyhq.com/midjourney/68e8eed8-ba7e-4530-bee1-4baf3d368d55,2026-07-24T13:12:37.625+00:00,2026-07-24T13:17:33+00:00,2026-07-24 06:17 Fri,,false,,,,false,ashby:Midjourney:68e8eed8-ba7e-4530-bee1-4baf3d368d55
Midjourney:fdc22e37-2c1c-480a-ba5c-e401b5ec6527,Midjourney,Quality Director (Medical Device / USCT),Remote United State,Midjourney Medical,https://jobs.ashbyhq.com/midjourney/fdc22e37-2c1c-480a-ba5c-e401b5ec6527,2026-06-30T21:38:48.502+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Midjourney:fdc22e37-2c1c-480a-ba5c-e401b5ec6527
Midjourney:25c42c72-7547-4542-b139-7af4b255e7a1,Midjourney,Quality Engineer (System / Software / Hardware),San Francisco,Midjourney Medical,https://jobs.ashbyhq.com/midjourney/25c42c72-7547-4542-b139-7af4b255e7a1,2026-06-30T21:34:30.297+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Midjourney:25c42c72-7547-4542-b139-7af4b255e7a1
Midjourney:91252521-6b67-4b59-9803-ff7a66615135,Midjourney,Senior Cloud / Data Engineer (Data / Reconstruction / HIPAA),San Francisco,Midjourney Medical,https://jobs.ashbyhq.com/midjourney/91252521-6b67-4b59-9803-ff7a66615135,2026-06-30T21:30:06.807+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Midjourney:91252521-6b67-4b59-9803-ff7a66615135
Midjourney:743ca558-8339-4ae5-90c9-0dac2c1443b2,Midjourney,Senior Product Designer,SF or NY Hybrid,Midjourney Product,https://jobs.ashbyhq.com/midjourney/743ca558-8339-4ae5-90c9-0dac2c1443b2,2026-07-24T01:31:11.119+00:00,2026-07-24T01:41:37+00:00,2026-07-23 18:41 Thu,,false,,,,false,ashby:Midjourney:743ca558-8339-4ae5-90c9-0dac2c1443b2
Midjourney:22b51427-c24c-4c33-b3a0-17cb1ac08da8,Midjourney,Senior Software Engineer (User App) ,San Francisco,Midjourney Medical,https://jobs.ashbyhq.com/midjourney/22b51427-c24c-4c33-b3a0-17cb1ac08da8,2026-06-30T21:51:50.036+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Midjourney:22b51427-c24c-4c33-b3a0-17cb1ac08da8
Midjourney:3b47cf49-1d9a-4b2c-a82e-3e9d656632c4,Midjourney,Software Engineer (Generalist),San Francisco,Infrastructure,https://jobs.ashbyhq.com/midjourney/3b47cf49-1d9a-4b2c-a82e-3e9d656632c4,2026-06-20T18:46:03.780+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Midjourney:3b47cf49-1d9a-4b2c-a82e-3e9d656632c4
