job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Motional:7719831003,Motional,Accounts Payable Manager,"Boston, Massachusetts, United States",Finance,https://motional.com/open-positions/?gh_jid=7719831003#/7719831003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7719831003
Motional:7782425003,Motional,Associate RVA Instructor,"Las Vegas, Nevada, United States",AV Testing,https://motional.com/open-positions/?gh_jid=7782425003#/7782425003,2026-07-06T16:51:14-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7782425003
Motional:7783908003,Motional,Associate Vehicle Test Specialist,"Pittsburgh, Pennsylvania, United States",AV Testing,https://motional.com/open-positions/?gh_jid=7783908003#/7783908003,2026-07-01T17:08:16-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7783908003
Motional:7775110003,Motional,Autonomous Vehicle Test Operator II,"Pittsburgh, Pennsylvania, United States",AV Testing,https://motional.com/open-positions/?gh_jid=7775110003#/7775110003,2026-07-07T16:54:19-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7775110003
Motional:7780416003,Motional,AV Test Engineer,"Las Vegas, Nevada, United States",AV Testing,https://motional.com/open-positions/?gh_jid=7780416003#/7780416003,2026-06-23T16:07:14-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7780416003
Motional:7694178003,Motional,AV Test Engineer,"Las Vegas, Nevada, United States",AV Testing,https://motional.com/open-positions/?gh_jid=7694178003#/7694178003,2026-07-08T12:27:55-04:00,2026-07-08T16:36:15+00:00,2026-07-08 09:36 Wed,Computer Vision,true,,55,"The role is AV systems test/validation with some perception coverage but not a core computer vision engineering role, while the candidate has strong Python/OpenCV/CV automation and testing experience but lacks AV simulation, HIL/CAN, track testing, and automotive safety standards experience.",true,greenhouse:Motional:7694178003
Motional:7703502003,Motional,"Director, Commercial Operations","Las Vegas, Nevada, United States",AV Testing,https://motional.com/open-positions/?gh_jid=7703502003#/7703502003,2026-07-02T00:23:10-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7703502003
Motional:7749522003,Motional,"Director, Prediction and ML Planning","Boston, Massachusetts, United States",Autonomy,https://motional.com/open-positions/?gh_jid=7749522003#/7749522003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7749522003
Motional:7749537003,Motional,"Director, Prediction and ML Planning","Pittsburgh, Pennsylvania, United States",Autonomy,https://motional.com/open-positions/?gh_jid=7749537003#/7749537003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7749537003
Motional:7749539003,Motional,"Director, Prediction and ML Planning",Remote U.S.,Autonomy,https://motional.com/open-positions/?gh_jid=7749539003#/7749539003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7749539003
Motional:7534977003,Motional,Engineer/Senior Engineer - Perception Capabilities,"Boston, Massachusetts, United States; Pittsburgh, Pennsylvania, United States; Remote U.S.",Autonomy,https://motional.com/open-positions/?gh_jid=7534977003#/7534977003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7534977003
Motional:6676193003,Motional,Fellow - Autonomy (Distinguished Engineer),Remote U.S.,Autonomy,https://motional.com/open-positions/?gh_jid=6676193003#/6676193003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:6676193003
Motional:7779985003,Motional,"Machine Learning Engineer, Data Mining","Boston, Massachusetts, United States; Remote U.S.",Infrastructure,https://motional.com/open-positions/?gh_jid=7779985003#/7779985003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7779985003
Motional:7780008003,Motional,"Machine Learning Engineer, Data Mining","Pittsburgh, Pennsylvania, United States; Remote U.S.",Infrastructure,https://motional.com/open-positions/?gh_jid=7780008003#/7780008003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7780008003
Motional:7779679003,Motional,"Machine Learning Intern, Perception (End-to-end)","Singapore, Central, Singapore",Interns - Autonomy,https://motional.com/open-positions/?gh_jid=7779679003#/7779679003,2026-07-01T03:05:35-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7779679003
Motional:7600024003,Motional,"Machine Learning Internship, Behaviors Research","Singapore, Central, Singapore",Interns - Autonomy,https://motional.com/open-positions/?gh_jid=7600024003#/7600024003,2026-06-30T11:20:47-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7600024003
Motional:7730596003,Motional,Machine Learning Systems Engineer,"Boston, Massachusetts, United States",Infrastructure,https://motional.com/open-positions/?gh_jid=7730596003#/7730596003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7730596003
Motional:7730609003,Motional,Machine Learning Systems Engineer,"Pittsburgh, Pennsylvania, United States",Infrastructure,https://motional.com/open-positions/?gh_jid=7730609003#/7730609003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7730609003
Motional:7730610003,Motional,Machine Learning Systems Engineer,"Las Vegas, Nevada, United States",Infrastructure,https://motional.com/open-positions/?gh_jid=7730610003#/7730610003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7730610003
Motional:7730611003,Motional,Machine Learning Systems Engineer,Remote U.S.,Infrastructure,https://motional.com/open-positions/?gh_jid=7730611003#/7730611003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7730611003
Motional:7732664003,Motional,"Manager, Mission Control","Las Vegas, Nevada, United States",Fleet Management,https://motional.com/open-positions/?gh_jid=7732664003#/7732664003,2026-07-07T16:55:56-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7732664003
Motional:7592834003,Motional,ML Platform Engineer/Senior Engineer ,"Singapore, Central, Singapore",Infrastructure,https://motional.com/open-positions/?gh_jid=7592834003#/7592834003,2026-06-29T11:13:15-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7592834003
Motional:7647987003,Motional,"ML Systems Engineer, ML Acceleration","Singapore, Central, Singapore",Infrastructure,https://motional.com/open-positions/?gh_jid=7647987003#/7647987003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7647987003
Motional:7788520003,Motional,Principal Embedded Software Engineer,"Pittsburgh, Pennsylvania, United States",Infrastructure,https://motional.com/open-positions/?gh_jid=7788520003#/7788520003,2026-06-29T11:25:30-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7788520003
Motional:7692527003,Motional,Principal Engineer,Remote U.S.,Autonomy,https://motional.com/open-positions/?gh_jid=7692527003#/7692527003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:7692527003
Motional:6655571003,Motional,Principal Engineer Motion Planning,"Pittsburgh, Pennsylvania, United States; Remote U.S.",Autonomy,https://motional.com/open-positions/?gh_jid=6655571003#/6655571003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:6655571003
Motional:6655575003,Motional,Principal Engineer Motion Planning,"Boston, Massachusetts, United States; Remote U.S.",Autonomy,https://motional.com/open-positions/?gh_jid=6655575003#/6655575003,2026-06-23T12:33:22-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Motional:6655575003
