job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
National Information Solutions Cooperative:8180685,National Information Solutions Cooperative,Cloud Networking & Infrastructure Developer,"Atlanta, GA +3",,https://job-boards.greenhouse.io/nisc/jobs/8180685,,,2026-09-05T15:16:52+00:00,2026-09-05 08:16 Sat,,false,,,,false,speedyapply:SpeedyApply SWE:8180685
National Information Solutions Cooperative:8180805,National Information Solutions Cooperative,Cloud Networking & Infrastructure Developer,"Atlanta, GA +3",,https://job-boards.greenhouse.io/testnisc/jobs/8180805,,,2026-09-05T15:16:52+00:00,2026-09-05 08:16 Sat,,false,,,,false,speedyapply:SpeedyApply SWE:8180805
National Information Solutions Cooperative:8180806,National Information Solutions Cooperative,Cloud Networking & Infrastructure Developer,"Atlanta, GA +3",,https://job-boards.greenhouse.io/testnisc/jobs/8180806,,,2026-09-05T15:16:52+00:00,2026-09-05 08:16 Sat,,false,,,,false,speedyapply:SpeedyApply SWE:8180806
National Information Solutions Cooperative:8180807,National Information Solutions Cooperative,Cloud Networking & Infrastructure Developer,"Atlanta, GA +3",,https://job-boards.greenhouse.io/testnisc/jobs/8180807,,,2026-09-05T15:16:52+00:00,2026-09-05 08:16 Sat,,false,,,,false,speedyapply:SpeedyApply SWE:8180807
National Information Solutions Cooperative:8167858,National Information Solutions Cooperative,Intern - Data Engineer,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/nisc/jobs/8167858,,,2026-09-03T08:17:28+00:00,2026-09-03 01:17 Thu,Software Engineering,true,CLI,58,"The candidate has strong Python, SQL, Docker, backend, automation, and data-processing experience, but limited explicitly demonstrated data-engineering work and may be overqualified for an internship.",true,simplify:Simplify Internships:8167858|speedyapply:SpeedyApply AI:8167858
National Information Solutions Cooperative:8167883,National Information Solutions Cooperative,Intern - Data Engineer,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/testnisc/jobs/8167883,,,2026-09-03T08:17:28+00:00,2026-09-03 01:17 Thu,Software Engineering,true,CLI,72,"The candidate has strong Python, SQL, data-generation, automation, backend, and Docker experience relevant to an intern data engineering role, though their background is primarily computer vision and algorithm engineering rather than dedicated data engineering.",true,simplify:Simplify Internships:8167883|speedyapply:SpeedyApply AI:8167883
National Information Solutions Cooperative:8167884,National Information Solutions Cooperative,Intern - Data Engineer,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/testnisc/jobs/8167884,,,2026-09-03T08:17:28+00:00,2026-09-03 01:17 Thu,Software Engineering,true,CLI,72,"The candidate has strong Python, SQL-adjacent database, Docker, data extraction, automation, and machine learning experience, but lacks clearly demonstrated production data engineering fundamentals such as ETL pipeline development, distributed data processing, cloud data platforms, and direct data engineering role experience.",true,simplify:Simplify Internships:8167884|speedyapply:SpeedyApply AI:8167884
National Information Solutions Cooperative:8167886,National Information Solutions Cooperative,Intern - Data Engineer,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/testnisc/jobs/8167886,,,2026-09-03T08:17:28+00:00,2026-09-03 01:17 Thu,Software Engineering,true,CLI,72,"The candidate has strong Python, SQL-adjacent database, Docker, Linux, automation, and data-processing experience, but limited explicit data engineering, ETL, and cloud pipeline experience for this internship role.",true,simplify:Simplify Internships:8167886|speedyapply:SpeedyApply AI:8167886
National Information Solutions Cooperative:8137777,National Information Solutions Cooperative,Software Developer - Meter Data Management Software - Full Stack - Back End,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/nisc/jobs/8137777,,,2026-08-18T13:11:57+00:00,2026-08-18 06:11 Tue,Software Engineering,true,CLI,48,"The candidate has solid Python/C++ development, backend APIs, databases, Docker, Redis, MySQL, and scalable systems experience, but lacks clear meter data management, utility-domain, or full-stack frontend experience.",false,speedyapply:SpeedyApply SWE:8137777
National Information Solutions Cooperative:8137804,National Information Solutions Cooperative,Software Developer - Meter Data Management Software - Full Stack - Back End,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/testnisc/jobs/8137804,,,2026-08-18T13:11:57+00:00,2026-08-18 06:11 Tue,Software Engineering,true,CLI,55,"The candidate has credible backend experience with APIs, databases, Redis, Docker, load balancing, and scalable software, but limited evidence of full-stack development, utility meter-data systems, or relevant enterprise domain experience.",true,speedyapply:SpeedyApply SWE:8137804
National Information Solutions Cooperative:8137825,National Information Solutions Cooperative,Software Developer - Meter Data Management Software - Full Stack - Back End,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/testnisc/jobs/8137825,,,2026-08-18T13:11:57+00:00,2026-08-18 06:11 Tue,Software Engineering,true,CLI,48,"The candidate has credible backend software development experience with Python, C++, C#, APIs, databases, Redis, Docker, load balancing, and performance optimization, but lacks clear full-stack frontend experience and utility or meter data management domain knowledge.",false,speedyapply:SpeedyApply SWE:8137825
National Information Solutions Cooperative:8137829,National Information Solutions Cooperative,Software Developer - Meter Data Management Software - Full Stack - Back End,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/testnisc/jobs/8137829,,,2026-08-18T13:11:57+00:00,2026-08-18 06:11 Tue,Software Engineering,true,CLI,52,"The candidate has credible Python backend, APIs, databases, Docker, load balancing, and software engineering experience, but lacks clear full-stack development and utility or meter data management domain experience.",true,speedyapply:SpeedyApply SWE:8137829
National Information Solutions Cooperative:8142867,National Information Solutions Cooperative,Software Developer - Telecom Bill Calculations Software - Back End - Python,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/nisc/jobs/8142867,,,2026-08-20T13:10:56+00:00,2026-08-20 06:10 Thu,Software Engineering,true,Keyword,64,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:8142867
National Information Solutions Cooperative:8142918,National Information Solutions Cooperative,Software Developer - Telecom Bill Calculations Software - Back End - Python,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/testnisc/jobs/8142918,,,2026-08-20T13:10:56+00:00,2026-08-20 06:10 Thu,Software Engineering,true,Keyword,64,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:8142918
National Information Solutions Cooperative:8142921,National Information Solutions Cooperative,Software Developer - Telecom Bill Calculations Software - Back End - Python,"Cedar Rapids, IA +2",,https://job-boards.greenhouse.io/testnisc/jobs/8142921,,,2026-08-20T13:10:56+00:00,2026-08-20 06:10 Thu,Software Engineering,true,Keyword,64,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:8142921
