job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
NBA:/job/Secaucus-USA/Accounts-Receivable-Analyst_JR000704,NBA,Accounts Receivable Analyst,"Secaucus, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/Secaucus-USA/Accounts-Receivable-Analyst_JR000704,Posted 11 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/Secaucus-USA/Accounts-Receivable-Analyst_JR000704
NBA:/job/New-York-USA/Analytics-Engineer--Media_JR000457,NBA,"Analytics Engineer, Media","New York, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/New-York-USA/Analytics-Engineer--Media_JR000457,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/New-York-USA/Analytics-Engineer--Media_JR000457
NBA:/job/London-England/Associate-Counsel--Compliance---Europe---Middle-East_JR000206,NBA,"Associate Counsel, Compliance - Europe & Middle East","London, England",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/London-England/Associate-Counsel--Compliance---Europe---Middle-East_JR000206,Posted Today,2026-07-17T16:28:19+00:00,2026-07-17 09:28 Fri,,false,,,,false,workday:NBA:/job/London-England/Associate-Counsel--Compliance---Europe---Middle-East_JR000206
NBA:/job/New-York-USA/Associate-Counsel--Player-Matters_JR000659,NBA,"Associate Counsel, Player Matters","New York, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/New-York-USA/Associate-Counsel--Player-Matters_JR000659,Posted 20 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/New-York-USA/Associate-Counsel--Player-Matters_JR000659
NBA:/job/Sao-Paulo-Brazil/Associate-Manager--Partner-Services---NBA-Latam_JR000722,NBA,"Associate Manager, Partner Services – NBA Latam","Sao Paulo, Brazil",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/Sao-Paulo-Brazil/Associate-Manager--Partner-Services---NBA-Latam_JR000722,Posted Today,2026-07-24T14:41:30+00:00,2026-07-24 07:41 Fri,,false,,,,false,workday:NBA:/job/Sao-Paulo-Brazil/Associate-Manager--Partner-Services---NBA-Latam_JR000722
NBA:/job/New-York-USA/Basketball-Operations-Analyst_JR000660-1,NBA,Basketball Operations Analyst,"New York, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/New-York-USA/Basketball-Operations-Analyst_JR000660-1,Posted 3 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/New-York-USA/Basketball-Operations-Analyst_JR000660-1
NBA:/job/New-York-USA/Basketball-Strategy---Operations-Manager_JR000730,NBA,Basketball Strategy & Operations Manager,"New York, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/New-York-USA/Basketball-Strategy---Operations-Manager_JR000730,Posted 4 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/New-York-USA/Basketball-Strategy---Operations-Manager_JR000730
NBA:/job/Secaucus-USA/Broadcast-Comms-Engineer-Lead_JR000645,NBA,Broadcast Comms Engineer Lead,"Secaucus, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/Secaucus-USA/Broadcast-Comms-Engineer-Lead_JR000645,Posted 27 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/Secaucus-USA/Broadcast-Comms-Engineer-Lead_JR000645
NBA:/job/Secaucus-USA---Remote/Broadcast-Event---Studio-Innovation-Lead--Local-Media_JR000746,NBA,"Broadcast Event & Studio Innovation Lead, Local Media","Secaucus, USA - Remote",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/Secaucus-USA---Remote/Broadcast-Event---Studio-Innovation-Lead--Local-Media_JR000746,Posted 2 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/Secaucus-USA---Remote/Broadcast-Event---Studio-Innovation-Lead--Local-Media_JR000746
NBA:/job/Secaucus-USA/Broadcast-Operations-Production-Manager_JR000507,NBA,Broadcast Operations Production Manager,"Secaucus, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/Secaucus-USA/Broadcast-Operations-Production-Manager_JR000507,Posted 17 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/Secaucus-USA/Broadcast-Operations-Production-Manager_JR000507
NBA:/job/Secaucus-USA/Broadcast-Support-Engineer---Replay-Comms_JR000205,NBA,Broadcast Support Engineer – Replay Comms,"Secaucus, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/Secaucus-USA/Broadcast-Support-Engineer---Replay-Comms_JR000205,Posted 27 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/Secaucus-USA/Broadcast-Support-Engineer---Replay-Comms_JR000205
NBA:/job/Secaucus-USA/Business-Operations-Lead--Local-Media_JR000749-1,NBA,"Business Operations Lead, Local Media","Secaucus, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/Secaucus-USA/Business-Operations-Lead--Local-Media_JR000749-1,Posted 4 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/Secaucus-USA/Business-Operations-Lead--Local-Media_JR000749-1
NBA:/job/Secaucus-USA/Content-Planning-Lead--Local-Media_JR000747,NBA,"Content Planning Lead, Local Media","Secaucus, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/Secaucus-USA/Content-Planning-Lead--Local-Media_JR000747,Posted 4 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/Secaucus-USA/Content-Planning-Lead--Local-Media_JR000747
NBA:/job/Secaucus-USA/Content-Production-Lead--Local-Media_JR000743,NBA,"Content Production Lead, Local Media","Secaucus, USA",,https://nba.wd108.myworkdayjobs.com/en-US/nbacareers/job/Secaucus-USA/Content-Production-Lead--Local-Media_JR000743,Posted 4 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:NBA:/job/Secaucus-USA/Content-Production-Lead--Local-Media_JR000743
