job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Netradyne:4706816005,Netradyne, Staff Engineer – Enterprise IT Automation,Bangalore,IT (Dept),https://www.netradyne.com/company/careers?gh_jid=4706816005,2026-07-01T06:01:25-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Netradyne:4706816005
Netradyne:4672677005,Netradyne,12 Volt Installation Technician,Remote,Implementation/Field Enablement,https://www.netradyne.com/company/careers?gh_jid=4672677005,2026-07-06T17:17:32-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Netradyne:4672677005
Netradyne:4686768005,Netradyne,12V Installation Senior Systems Engineer ,United States,Implementation/Field Enablement,https://www.netradyne.com/company/careers?gh_jid=4686768005,2026-07-06T17:17:31-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Netradyne:4686768005
Netradyne:4709305005,Netradyne,"Account Executive, Mid-Market",USA,RSM,https://www.netradyne.com/company/careers?gh_jid=4709305005,2026-07-01T14:34:48-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Netradyne:4709305005
Netradyne:4698908005,Netradyne,Accounting Manager,"San Diego, CA",Controllership,https://www.netradyne.com/company/careers?gh_jid=4698908005,2026-07-01T14:38:35-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Netradyne:4698908005
Netradyne:4708362005,Netradyne,Accounting Manager,"San Francisco, CA",Controllership,https://www.netradyne.com/company/careers?gh_jid=4708362005,2026-07-01T13:39:56-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Netradyne:4708362005
Netradyne:4703800005,Netradyne,Assistant Manager/Manager - Legal  ,Bangalore ,Legal (Dept),https://www.netradyne.com/company/careers?gh_jid=4703800005,2026-07-01T06:01:25-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Netradyne:4703800005
Netradyne:4661199005,Netradyne,Backend - Senior Staff Engineer,Bengaluru,Cloud,https://www.netradyne.com/company/careers?gh_jid=4661199005,2026-07-01T06:01:25-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Netradyne:4661199005
Netradyne:4661203005,Netradyne,Backend - Staff Engineer – Platform,Bengaluru,Cloud,https://www.netradyne.com/company/careers?gh_jid=4661203005,2026-07-01T06:01:25-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Netradyne:4661203005
Netradyne:4686019005,Netradyne,Backend -Sr Staff/ Staff Engineer ,Bangalore,Product & SAAS,https://www.netradyne.com/company/careers?gh_jid=4686019005,2026-07-01T13:38:37-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Netradyne:4686019005
