job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Neuralink:72df9597-3b28-4b97-b878-5cef9737aa8e,Neuralink,Analog and Mixed-Signal IC Design Engineer Intern,South SF,Hardware,https://boards.greenhouse.io/neuralink/jobs/7565469003?gh_jid=7565469003|https://boards.greenhouse.io/neuralink/jobs/7565469003,2026-02-18,2026-02-18,2026-07-31T22:41:46+00:00,2026-07-31 15:41 Fri,,false,,,,false,simplify:Simplify Internships:72df9597-3b28-4b97-b878-5cef9737aa8e|simplify:Simplify Internships:7565469003|greenhouse:Neuralink:7565469003
Neuralink:6644300003,Neuralink,Analog IC Design and Verification Engineer,"South San Francisco, California, United States",Brain Interfaces Hardware,https://boards.greenhouse.io/neuralink/jobs/6644300003?gh_jid=6644300003,2026-07-20T12:47:15-04:00,2026-07-20,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,greenhouse:Neuralink:6644300003
Neuralink:7718856003,Neuralink,Analog IC Layout Engineer,"South San Francisco, California, United States",Brain Interfaces Hardware,https://boards.greenhouse.io/neuralink/jobs/7718856003?gh_jid=7718856003,2026-08-11T13:40:09-04:00,2026-08-11,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,greenhouse:Neuralink:7718856003
Neuralink:7780172003,Neuralink,"Associate General Counsel, Privacy & Compliance","Austin, Texas, United States; South San Francisco, California, United States",Legal,https://boards.greenhouse.io/neuralink/jobs/7780172003?gh_jid=7780172003,2026-08-24T14:11:21-04:00,2026-08-24,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,greenhouse:Neuralink:7780172003
Neuralink:7784040003,Neuralink,"Associate Project Manager, Construction Management","Austin, Texas, United States",Construction & Facilities,https://boards.greenhouse.io/neuralink/jobs/7784040003?gh_jid=7784040003,2026-06-24T13:12:16-04:00,2026-06-24,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,greenhouse:Neuralink:7784040003
Neuralink:7872639003,Neuralink,Biomedical Engineer Intern,"South San Francisco, California, United States",Internships,https://boards.greenhouse.io/neuralink/jobs/7872639003?gh_jid=7872639003,2026-08-14T18:57:49-04:00,2026-08-14,2026-08-14T22:59:31+00:00,2026-08-14 15:59 Fri,Other Technical,true,CLI,18,"The candidate has relevant biomedical imaging, microscopy, experimentation, troubleshooting, and interdisciplinary engineering experience, but lacks demonstrated materials or chemical engineering expertise, chemical handling, surface characterization, electrochemistry, CAD, and implant-focused work required for this internship.",false,greenhouse:Neuralink:7872639003
Neuralink:7799197003,Neuralink,Chemist,"Austin, Texas, United States",Translational,https://boards.greenhouse.io/neuralink/jobs/7799197003?gh_jid=7799197003,2026-09-01T18:39:11-04:00,2026-09-01,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,greenhouse:Neuralink:7799197003
Neuralink:7680569003,Neuralink,Clinical Research Associate,"Austin, Texas, United States",Clinical,https://boards.greenhouse.io/neuralink/jobs/7680569003?gh_jid=7680569003,2026-08-21T15:13:21-04:00,2026-08-21,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,greenhouse:Neuralink:7680569003
Neuralink:7865371003,Neuralink,Clinical Research Associate,"Austin, Texas, United States",Clinical,https://boards.greenhouse.io/neuralink/jobs/7865371003?gh_jid=7865371003,2026-08-13T12:56:29-04:00,2026-08-13,2026-08-13T16:59:49+00:00,2026-08-13 09:59 Thu,AI / ML,true,CLI,8,"Although the candidate has a relevant engineering degree and medical-imaging experience, they lack the required clinical research, GCP, ISO 14155, FDA, EDC, monitoring, and site-management background.",false,greenhouse:Neuralink:7865371003
Neuralink:7676313003,Neuralink,Clinical Scientist,"Austin, Texas, United States",Clinical,https://boards.greenhouse.io/neuralink/jobs/7676313003?gh_jid=7676313003,2026-06-22T12:34:11-04:00,2026-06-22,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,greenhouse:Neuralink:7676313003
