job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Nextracker:/job/Hyderabad-Telangana---IND/Accounting-Lead_NX-4041,Nextracker,Accounting Lead,"Hyderabad, Telangana - IND",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Hyderabad-Telangana---IND/Accounting-Lead_NX-4041,Posted 30+ Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Hyderabad-Telangana---IND/Accounting-Lead_NX-4041
Nextracker:/job/Sao-Paulo-Sao-Paulo---BRA/Administrative-Apprentice_NX-4014,Nextracker,Administrative Apprentice,"Sao Paulo, Sao Paulo - BRA",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Sao-Paulo-Sao-Paulo---BRA/Administrative-Apprentice_NX-4014,Posted 17 Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Sao-Paulo-Sao-Paulo---BRA/Administrative-Apprentice_NX-4014
Nextracker:/job/Sorocaba-Sao-Paulo---BRA/Administrative-Apprentice_NX-3998,Nextracker,Administrative Apprentice,"Sorocaba, Sao Paulo - BRA",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Sorocaba-Sao-Paulo---BRA/Administrative-Apprentice_NX-3998,Posted 30+ Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Sorocaba-Sao-Paulo---BRA/Administrative-Apprentice_NX-3998
Nextracker:/job/Sorocaba-Sao-Paulo---BRA/Administrative-Apprentice_NX-4013,Nextracker,Administrative Apprentice,"Sorocaba, Sao Paulo - BRA",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Sorocaba-Sao-Paulo---BRA/Administrative-Apprentice_NX-4013,Posted 30+ Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Sorocaba-Sao-Paulo---BRA/Administrative-Apprentice_NX-4013
Nextracker:/job/Simoes-Filho-Bahia---BRA/Administrative-Aprentice_NX-3993-1,Nextracker,Administrative Aprentice,"Simoes Filho, Bahia - BRA",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Simoes-Filho-Bahia---BRA/Administrative-Aprentice_NX-3993-1,Posted 30+ Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Simoes-Filho-Bahia---BRA/Administrative-Aprentice_NX-3993-1
Nextracker:/job/Folsom-California---USA/Assembler_NX-4005-1,Nextracker,Assembler,"Folsom, California - USA",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Folsom-California---USA/Assembler_NX-4005-1,Posted 3 Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Folsom-California---USA/Assembler_NX-4005-1
Nextracker:/job/Hyderabad-Telangana---IND/Assistant-Manager---Supply-Chain-Program-Management_NX-4195,Nextracker,Assistant Manager - Supply Chain Program Management,"Hyderabad, Telangana - IND",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Hyderabad-Telangana---IND/Assistant-Manager---Supply-Chain-Program-Management_NX-4195,Posted 3 Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Hyderabad-Telangana---IND/Assistant-Manager---Supply-Chain-Program-Management_NX-4195
Nextracker:/job/Hyderabad-Telangana---IND/Assistant-Project-Engineer_NX-2538-2,Nextracker,Assistant Project Engineer,"Hyderabad, Telangana - IND",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Hyderabad-Telangana---IND/Assistant-Project-Engineer_NX-2538-2,Posted 2 Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Hyderabad-Telangana---IND/Assistant-Project-Engineer_NX-2538-2
Nextracker:/job/Sorocaba-Sao-Paulo---BRA/Assistente-de-Engenharia_NX-3083,Nextracker,Assistente de Engenharia,"Sorocaba, Sao Paulo - BRA",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Sorocaba-Sao-Paulo---BRA/Assistente-de-Engenharia_NX-3083,Posted 30+ Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Sorocaba-Sao-Paulo---BRA/Assistente-de-Engenharia_NX-3083
Nextracker:/job/Hyderabad-Telangana---IND/Automation-Engineer--AutoCAD_NX-2553,Nextracker,"Automation Engineer, AutoCAD","Hyderabad, Telangana - IND",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Hyderabad-Telangana---IND/Automation-Engineer--AutoCAD_NX-2553,Posted 19 Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Hyderabad-Telangana---IND/Automation-Engineer--AutoCAD_NX-2553
Nextracker:/job/Folsom-California---USA/Autonomy-Engineer_NX-3904,Nextracker,Autonomy Engineer,2 Locations,,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Folsom-California---USA/Autonomy-Engineer_NX-3904,Posted 30+ Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Folsom-California---USA/Autonomy-Engineer_NX-3904
Nextracker:/job/Sorocaba-Sao-Paulo---BRA/Backend-Developer_NX-2368,Nextracker,Backend Developer,"Sorocaba, Sao Paulo - BRA",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Sorocaba-Sao-Paulo---BRA/Backend-Developer_NX-2368,Posted 30+ Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Sorocaba-Sao-Paulo---BRA/Backend-Developer_NX-2368
Nextracker:/job/California---Remote---USA/Business-Development-Manager--Tools---Services_NX-3639,Nextracker,"Business Development Manager, Tools & Services",California - Remote - USA,,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/California---Remote---USA/Business-Development-Manager--Tools---Services_NX-3639,Posted 30+ Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/California---Remote---USA/Business-Development-Manager--Tools---Services_NX-3639
Nextracker:/job/California---Remote---USA/Business-Development-Robotics-and-Services_NX-3918,Nextracker,Business Development-Robotics and Services,4 Locations,,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/California---Remote---USA/Business-Development-Robotics-and-Services_NX-3918,Posted 10 Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/California---Remote---USA/Business-Development-Robotics-and-Services_NX-3918
Nextracker:/job/Sao-Paulo-Sao-Paulo---BRA/CAD-Designer_NX-4205,Nextracker,CAD Designer,"Sao Paulo, Sao Paulo - BRA",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Sao-Paulo-Sao-Paulo---BRA/CAD-Designer_NX-4205,Posted Today,2026-07-13T20:17:15+00:00,2026-07-13 13:17 Mon,,false,,,,false,workday:Nextracker:/job/Sao-Paulo-Sao-Paulo---BRA/CAD-Designer_NX-4205
Nextracker:/job/Sorocaba-Sao-Paulo---BRA/Engineer-I_NX-4115,Nextracker,Civil Engineer I,"Sorocaba, Sao Paulo - BRA",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/Sorocaba-Sao-Paulo---BRA/Engineer-I_NX-4115,Posted 10 Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/Sorocaba-Sao-Paulo---BRA/Engineer-I_NX-4115
Nextracker:/job/MadridMadrid---ESP/Commissioning-Technician_NX-4224,Nextracker,Commissioning Technician,"Madrid,Madrid - ESP",,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/MadridMadrid---ESP/Commissioning-Technician_NX-4224,Posted 5 Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/MadridMadrid---ESP/Commissioning-Technician_NX-4224
Nextracker:/job/MadridMadrid---ESP/Compliance-Counsel_NX-4235,Nextracker,Compliance Counsel,2 Locations,,https://nextracker.wd5.myworkdayjobs.com/en-US/nextpower_careers/job/MadridMadrid---ESP/Compliance-Counsel_NX-4235,Posted 2 Days Ago,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,workday:Nextracker:/job/MadridMadrid---ESP/Compliance-Counsel_NX-4235
