job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Noblis:0857080a-9114-4b43-85c4-0dd64e20ad44,Noblis,Biometrics Intelligence Analyst,"McLean, VA",AI/ML/Data,https://careers.noblis.org/jobs/27692?icims=1,2026-08-20,2026-08-20,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:0857080a-9114-4b43-85c4-0dd64e20ad44
Noblis:92c6183d-d851-4394-b104-02bfa42a14e0,Noblis,Data Analyst,"McLean, VA",AI/ML/Data,https://careers.noblis.org/jobs/27693?icims=1,2026-08-20,2026-08-20,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:92c6183d-d851-4394-b104-02bfa42a14e0
Noblis:000e3171-0168-4592-b285-67bb8e84a6a9,Noblis,Data Analyst - Network Security,"Washington, DC; Atlantic City, NJ; United States",AI/ML/Data,https://careers.noblis.org/jobs/27318?icims=1,2026-08-01,2026-08-01,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:000e3171-0168-4592-b285-67bb8e84a6a9
Noblis:a5a4c27f-4bc4-46d6-9141-f486732574b8,Noblis,Junior Software Developer,"Reston, VA",Software,https://careers.noblis.org/jobs/27467?icims=1,2026-08-01,2026-08-01,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:a5a4c27f-4bc4-46d6-9141-f486732574b8
Noblis:0a010f5a-2087-4191-ae86-601ff587789a,Noblis,Machinery Silencing Technician Intern,"Philadelphia, PA",AI/ML/Data,https://careers.noblis.org/jobs/27606?icims=1,2026-08-10,2026-08-10,2026-08-10T19:41:45+00:00,2026-08-10 12:41 Mon,,false,,,,false,simplify:Simplify Internships:0a010f5a-2087-4191-ae86-601ff587789a
Noblis:97f13f8b-db75-49a5-8714-def7a600da0d,Noblis,Software Developer - Full-Stack - Multiple Levels,"Washington, DC",Software,https://careers.noblis.org/jobs/27747?icims=1,2026-08-31,2026-08-31,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:97f13f8b-db75-49a5-8714-def7a600da0d
Noblis:2efe7383-c35c-499a-8d3e-e914016e2ce0,Noblis,Software Engineer,"Philadelphia, PA",Software,https://careers.noblis.org/jobs/27515?icims=1,2026-08-01,2026-08-01,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:2efe7383-c35c-499a-8d3e-e914016e2ce0
Noblis:5836e123-acb1-49d2-abde-395cef4328dd,Noblis,Software Engineer,"Philadelphia, PA",Software,https://careers.noblis.org/jobs/26643?icims=1,2026-08-01,2026-08-01,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:5836e123-acb1-49d2-abde-395cef4328dd
Noblis:aac4e683-8759-4295-9c11-862d924abaf4,Noblis,Targeting Analyst - Multiple Levels,"McLean, VA",AI/ML/Data,https://careers.noblis.org/jobs/27697?icims=1,2026-08-20,2026-08-20,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:aac4e683-8759-4295-9c11-862d924abaf4
Noblis:48051e5a-f365-417e-8fa7-367c8d11d93f,Noblis,Weapons of Mass Destruction Analyst - Counterterrorism,"McLean, VA",AI/ML/Data,https://careers.noblis.org/jobs/27698?icims=1,2026-08-20,2026-08-20,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:48051e5a-f365-417e-8fa7-367c8d11d93f
