job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Nokia:30607,Nokia,5G gNB Layer 2 and Layer 3 Developer,United States,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/30607,2026-06-16,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:30607
Nokia:37765,Nokia,5G gNB PHY Developer,United States,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/37765,2026-06-22,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:37765
Nokia:37829,Nokia,5G NR & Wi-Fi 6 Convergence Development Engineer,United States,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/37829,2026-06-22,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:37829
Nokia:37789,Nokia,5G NR UE Layer 2 and Layer 3 Developer,United States,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/37789,2026-06-25,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:37789
Nokia:37972,Nokia,Account Manager,India,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/37972,2026-07-07,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:37972
Nokia:36253,Nokia,Account Manager Defense/Military,Norway,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36253,2026-06-22,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:36253
Nokia:05c11b2c-84e7-4cd6-bbaf-2f74dc921d25,Nokia,AI R&D Engineer Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36923,2026-05-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:05c11b2c-84e7-4cd6-bbaf-2f74dc921d25
Nokia:3fe7b0ac-cc2f-489b-abd2-0ca91f8981f6,Nokia,AI R&D Engineer Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36920,2026-05-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:3fe7b0ac-cc2f-489b-abd2-0ca91f8981f6
Nokia:5702ea99-c90e-4518-a3a9-36d4292d8f4d,Nokia,AI R&D Engineer Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36921,2026-05-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:5702ea99-c90e-4518-a3a9-36d4292d8f4d
Nokia:8af9ff4b-2d7d-4db7-931d-0728cc8544ee,Nokia,AI R&D Engineer Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36941,2026-06-03,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:8af9ff4b-2d7d-4db7-931d-0728cc8544ee
Nokia:977fd2b4-9242-454f-ae67-76f6efb31fe4,Nokia,AI R&D Engineer Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36914,2026-05-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:977fd2b4-9242-454f-ae67-76f6efb31fe4
Nokia:9fe813e2-c70d-4985-91d4-c70aa74b0ed3,Nokia,AI R&D Engineer Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36919,2026-05-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:9fe813e2-c70d-4985-91d4-c70aa74b0ed3
Nokia:b6122e00-e95a-403a-b449-fd3cef0894c3,Nokia,AI R&D Engineer Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36917,2026-05-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:b6122e00-e95a-403a-b449-fd3cef0894c3
Nokia:d8deb87c-5600-4294-8927-736be0d8b0b1,Nokia,AI R&D Engineer Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36922,2026-05-28,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:d8deb87c-5600-4294-8927-736be0d8b0b1
Nokia:2628faa9-5391-4254-aefc-225742de4547,Nokia,AI R&D Engineering Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36946,2026-06-03,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:2628faa9-5391-4254-aefc-225742de4547
Nokia:82fe00fc-7d98-44f0-9755-8d7b809749ed,Nokia,AI R&D Engineering Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36945,2026-06-03,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:82fe00fc-7d98-44f0-9755-8d7b809749ed
Nokia:c04639e7-4529-42af-a816-a9faeef3ce6c,Nokia,AI R&D Engineering Co-op,"Sunnyvale, CA",AI/ML/Data,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/36943,2026-06-03,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:c04639e7-4529-42af-a816-a9faeef3ce6c
Nokia:37608,Nokia,Analog Layout Engineer,Taiwan,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/37608,2026-07-07,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:37608
Nokia:37609,Nokia,Analog Layout Engineer,Taiwan,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/37609,2026-07-07,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:37609
Nokia:37606,Nokia,Analog/Mixed Signal Design Engineer,Taiwan,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/37606,2026-07-07,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:37606
Nokia:37607,Nokia,Analog/Mixed Signal Design Engineer,Taiwan,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/37607,2026-07-07,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:37607
Nokia:32087,Nokia,Applied R&D Engineer,India,,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/32087,2026-07-09,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,oracle:Nokia:32087
