job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
OpenAI:b904267b-6320-4469-93ce-e74da6586e6a,OpenAI," AI Deployment Engineer, Large Enterprise","London, UK",Go To Market,https://jobs.ashbyhq.com/openai/b904267b-6320-4469-93ce-e74da6586e6a,2026-05-28T10:23:32.660+00:00,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,,false,,,,false,ashby:OpenAI:b904267b-6320-4469-93ce-e74da6586e6a
OpenAI:c416bf18-d941-4a07-933d-2b1026702a70,OpenAI," Head of Scaled, Ads Solutions",San Francisco,Go To Market,https://jobs.ashbyhq.com/openai/c416bf18-d941-4a07-933d-2b1026702a70,2026-06-26T21:52:45.675+00:00,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,,false,,,,false,ashby:OpenAI:c416bf18-d941-4a07-933d-2b1026702a70
OpenAI:75e02795-6c6e-4c09-a723-251b5c730ed2,OpenAI," Solutions Engineer, Financial Services",San Francisco,Go To Market,https://jobs.ashbyhq.com/openai/75e02795-6c6e-4c09-a723-251b5c730ed2,2026-02-04T20:35:11.138+00:00,2026-06-26T11:48:09+00:00,2026-06-26 04:48 Fri,,false,,,,false,ashby:OpenAI:75e02795-6c6e-4c09-a723-251b5c730ed2
OpenAI:2c3ab9f8-e7d0-48b7-9817-afe1b6ddece2,OpenAI,"3D Printing Lab Technician, Robotics",San Francisco,Research,https://jobs.ashbyhq.com/openai/2c3ab9f8-e7d0-48b7-9817-afe1b6ddece2,2026-05-19T21:32:37.364+00:00,2026-06-26T11:48:09+00:00,2026-06-26 04:48 Fri,,false,,,,false,ashby:OpenAI:2c3ab9f8-e7d0-48b7-9817-afe1b6ddece2
OpenAI:e2afdede-a222-4825-b2fc-fec439a7c893,OpenAI,3P Architect,San Francisco,Scaling,https://jobs.ashbyhq.com/openai/e2afdede-a222-4825-b2fc-fec439a7c893,2026-04-20T22:06:59.961+00:00,2026-06-26T11:48:09+00:00,2026-06-26 04:48 Fri,,false,,,,false,ashby:OpenAI:e2afdede-a222-4825-b2fc-fec439a7c893
OpenAI:49a16d46-bf3e-4806-a8af-a0e48c26336c,OpenAI,Abuse Investigator ,New York City,Intelligence & Investigations,https://jobs.ashbyhq.com/openai/49a16d46-bf3e-4806-a8af-a0e48c26336c,2026-03-11T01:23:37.581+00:00,2026-06-26T11:48:09+00:00,2026-06-26 04:48 Fri,,false,,,,false,ashby:OpenAI:49a16d46-bf3e-4806-a8af-a0e48c26336c
OpenAI:19b9af1a-6a6e-42e3-824b-a9f3794fef2b,OpenAI,Abuse Investigator - Child Safety,San Francisco,Intelligence & Investigations,https://jobs.ashbyhq.com/openai/19b9af1a-6a6e-42e3-824b-a9f3794fef2b,2026-06-08T16:03:33.963+00:00,2026-06-26T11:48:09+00:00,2026-06-26 04:48 Fri,,false,,,,false,ashby:OpenAI:19b9af1a-6a6e-42e3-824b-a9f3794fef2b
OpenAI:18f58952-c242-4562-8732-073a0ae8029e,OpenAI,Account Director - Tokyo,"Tokyo, Japan",Go To Market,https://jobs.ashbyhq.com/openai/18f58952-c242-4562-8732-073a0ae8029e,2026-01-23T00:17:18.483+00:00,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,,false,,,,false,ashby:OpenAI:18f58952-c242-4562-8732-073a0ae8029e
OpenAI:52263a22-1621-4dbb-9a11-ae4490f2acc8,OpenAI,"Account Director, Digital Native","Seoul, South Korea",Go To Market,https://jobs.ashbyhq.com/openai/52263a22-1621-4dbb-9a11-ae4490f2acc8,2026-01-22T05:36:07.443+00:00,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,,false,,,,false,ashby:OpenAI:52263a22-1621-4dbb-9a11-ae4490f2acc8
OpenAI:b65d4fb6-1624-4518-bf94-e57ddaa35193,OpenAI,"Account Director, Digital Natives ","Tokyo, Japan",Go To Market,https://jobs.ashbyhq.com/openai/b65d4fb6-1624-4518-bf94-e57ddaa35193,2026-05-12T05:27:08.914+00:00,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,,false,,,,false,ashby:OpenAI:b65d4fb6-1624-4518-bf94-e57ddaa35193
