job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Ouster:w26vMYF2Tb,Ouster,Account Executive (Security),Remote,Business Development,https://ouster.applytojob.com/apply/w26vMYF2Tb/Account-Executive-Security,,2026-07-10T05:21:53+00:00,2026-07-09 22:21 Thu,,false,,,,false,jazzhr:Ouster:w26vMYF2Tb
Ouster:7dmMtkdXW1,Ouster,"Account Executive, Industrial Solutions","San Francisco, CA",Business Development,https://ouster.applytojob.com/apply/7dmMtkdXW1/Account-Executive-Industrial-Solutions,,2026-07-10T05:21:53+00:00,2026-07-09 22:21 Thu,,false,,,,false,jazzhr:Ouster:7dmMtkdXW1
Ouster:pPB5WvdhmU,Ouster,AP Manager,"Bangkok, Thailand",Finance,https://ouster.applytojob.com/apply/pPB5WvdhmU/AP-Manager,,2026-07-10T05:21:53+00:00,2026-07-09 22:21 Thu,,false,,,,false,jazzhr:Ouster:pPB5WvdhmU
Ouster:uWnjZI69fd,Ouster,Business Development Manager/Director,Singapore,Business Development APAC,https://ouster.applytojob.com/apply/uWnjZI69fd/Business-Development-ManagerDirector,,2026-07-10T05:21:53+00:00,2026-07-09 22:21 Thu,,false,,,,false,jazzhr:Ouster:uWnjZI69fd
Ouster:R5uubUu0OT,Ouster,Desktop Support Engineer,"Ayutthaya, Thailand",Information Technology,https://ouster.applytojob.com/apply/R5uubUu0OT/Desktop-Support-Engineer,,2026-07-10T05:21:53+00:00,2026-07-09 22:21 Thu,,false,,,,false,jazzhr:Ouster:R5uubUu0OT
Ouster:zdtQZOMduk,Ouster,"Director, Talent Acquisition","San Francisco, CA",People,https://ouster.applytojob.com/apply/zdtQZOMduk/Director-Talent-Acquisition,,2026-07-16T22:59:02+00:00,2026-07-16 15:59 Thu,,false,,,,false,jazzhr:Ouster:zdtQZOMduk
Ouster:udPAlTom2q,Ouster,Import and Export Manager,"San Francisco, CA",Supply Chain,https://ouster.applytojob.com/apply/udPAlTom2q/Import-And-Export-Manager,,2026-07-10T05:21:53+00:00,2026-07-09 22:21 Thu,,false,,,,false,jazzhr:Ouster:udPAlTom2q
Ouster:SqOhOCCLmz,Ouster,Mechanical Engineer,"San Francisco, CA",Hardware Engineering,https://ouster.applytojob.com/apply/SqOhOCCLmz/Mechanical-Engineer,,2026-07-10T05:21:53+00:00,2026-07-09 22:21 Thu,,false,,,,false,jazzhr:Ouster:SqOhOCCLmz
Ouster:j9qj1XQNsN,Ouster,NPI Materials Program Manager,"San Francisco, CA",Supply Chain,https://ouster.applytojob.com/apply/j9qj1XQNsN/NPI-Materials-Program-Manager,,2026-07-10T05:21:53+00:00,2026-07-09 22:21 Thu,,false,,,,false,jazzhr:Ouster:j9qj1XQNsN
Ouster:A5XQEYHrJG,Ouster,Operations Finance Specialist (Contractor),"Bangkok, Thailand",Finance,https://ouster.applytojob.com/apply/A5XQEYHrJG/Operations-Finance-Specialist-Contractor,,2026-07-10T05:21:53+00:00,2026-07-09 22:21 Thu,,false,,,,false,jazzhr:Ouster:A5XQEYHrJG
