job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Overjet:adf77591-5025-47de-9de7-8d187463e82c,Overjet,"Director of Customer Success, DSO",Remote,Sales & Marketing,https://jobs.ashbyhq.com/Overjet/adf77591-5025-47de-9de7-8d187463e82c,2026-05-15T17:02:35.474+00:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,ashby:Overjet:adf77591-5025-47de-9de7-8d187463e82c
Overjet:48bc9ee9-daaa-4cd8-a007-30c95cf2c291,Overjet,"Director of Customer Success, SMB",Remote,Sales & Marketing,https://jobs.ashbyhq.com/Overjet/48bc9ee9-daaa-4cd8-a007-30c95cf2c291,2026-05-01T15:42:48.462+00:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,ashby:Overjet:48bc9ee9-daaa-4cd8-a007-30c95cf2c291
Overjet:8d2868a6-ce7a-4461-9e3e-9cfc60cff7e2,Overjet,Implementation Manager,Philippines,Sales & Marketing,https://jobs.ashbyhq.com/Overjet/8d2868a6-ce7a-4461-9e3e-9cfc60cff7e2,2026-07-08T20:24:41.477+00:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,ashby:Overjet:8d2868a6-ce7a-4461-9e3e-9cfc60cff7e2
Overjet:2dcae816-964b-4264-a985-9fd537d6eab7,Overjet,Implementation Manager- RCM Domain Expertise,Philippines,Sales & Marketing,https://jobs.ashbyhq.com/Overjet/2dcae816-964b-4264-a985-9fd537d6eab7,2026-07-08T20:24:35.041+00:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,ashby:Overjet:2dcae816-964b-4264-a985-9fd537d6eab7
Overjet:3b74e8b2-0872-48a6-8995-663b944c89aa,Overjet,Lead Product Manager,"San Mateo, CA",R&D,https://jobs.ashbyhq.com/Overjet/3b74e8b2-0872-48a6-8995-663b944c89aa,2026-01-23T21:18:05.892+00:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,ashby:Overjet:3b74e8b2-0872-48a6-8995-663b944c89aa
Overjet:98a8708b-3fe3-4483-bb31-802cde8c06f8,Overjet,Mid-Market Customer Success Manager,"San Mateo, CA",Sales & Marketing,https://jobs.ashbyhq.com/Overjet/98a8708b-3fe3-4483-bb31-802cde8c06f8,2026-05-15T17:06:50.428+00:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,ashby:Overjet:98a8708b-3fe3-4483-bb31-802cde8c06f8
Overjet:5f7d2202-5d22-4d3a-acdb-d74327941c78,Overjet,RCM Manager,Remote,Sales & Marketing,https://jobs.ashbyhq.com/Overjet/5f7d2202-5d22-4d3a-acdb-d74327941c78,2026-07-01T22:26:36.233+00:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,ashby:Overjet:5f7d2202-5d22-4d3a-acdb-d74327941c78
Overjet:cf982071-e3a6-4830-b26f-4fbbb1e18435,Overjet,Revenue Accounting Manager,"Salt Lake City, UT",G&A,https://jobs.ashbyhq.com/Overjet/cf982071-e3a6-4830-b26f-4fbbb1e18435,2026-07-14T20:41:20.783+00:00,2026-07-14T21:00:00+00:00,2026-07-14 14:00 Tue,,false,,,,false,ashby:Overjet:cf982071-e3a6-4830-b26f-4fbbb1e18435
Overjet:93a5111a-8e11-4444-81d8-40e55739bf4c,Overjet,"Sales Development Representative (Salt Lake City, Utah based)","Salt Lake City, UT",Sales & Marketing,https://jobs.ashbyhq.com/Overjet/93a5111a-8e11-4444-81d8-40e55739bf4c,2026-07-02T23:18:09.429+00:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,ashby:Overjet:93a5111a-8e11-4444-81d8-40e55739bf4c
Overjet:21a88dc4-7bb3-45b6-8c04-105adcdb5370,Overjet,"Sales Development Representative, Pakistan",Pakistan,Sales & Marketing,https://jobs.ashbyhq.com/Overjet/21a88dc4-7bb3-45b6-8c04-105adcdb5370,2026-06-05T21:07:37.466+00:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,ashby:Overjet:21a88dc4-7bb3-45b6-8c04-105adcdb5370
