job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Persona AI:c2866fa4-a7d9-459c-a250-13dbf31ae9c9,Persona AI,Autonomy Engineer,"Houston, TX",Persona AI,https://jobs.ashbyhq.com/persona.ai/c2866fa4-a7d9-459c-a250-13dbf31ae9c9,2026-07-23T15:52:51.314+00:00,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,ashby:Persona AI:c2866fa4-a7d9-459c-a250-13dbf31ae9c9
Persona AI:f365beb7-a5e8-49e5-bf67-c5b2a5670e72,Persona AI,Autonomy Engineer,"Houston, TX",Persona AI,https://jobs.ashbyhq.com/persona.ai/f365beb7-a5e8-49e5-bf67-c5b2a5670e72,2026-08-17T15:28:52.628+00:00,2026-08-17T15:39:40+00:00,2026-08-17 08:39 Mon,Computer Vision,true,CLI,58,"Strong computer vision, deep learning, Python/C++, and real-time algorithm experience align with autonomy engineering, but the resume lacks direct robotics, perception-to-planning, sensor fusion, vehicle systems, or autonomous navigation experience.",true,ashby:Persona AI:f365beb7-a5e8-49e5-bf67-c5b2a5670e72
Persona AI:3d2ef8a9-a5da-4120-9c53-50ceec3023cd,Persona AI,Autonomy Software Engineer Intern - World Modeling,"Houston, TX",AI/ML/Data,https://jobs.ashbyhq.com/persona.ai/fd514a3f-4138-48d5-9862-05ff74a4ca08/application?embed=true,2026-08-03,2026-08-03T23:17:08+00:00,2026-08-03 16:17 Mon,Software Engineering,true,Keyword,40,keyword-only heuristic,false,simplify:Simplify Internships:3d2ef8a9-a5da-4120-9c53-50ceec3023cd|simplify:Simplify Internships:fd514a3f-4138-48d5-9862-05ff74a4ca08
Persona AI:fd514a3f-4138-48d5-9862-05ff74a4ca08,Persona AI,Autonomy Software Engineering Internship - World Modeling,"Houston, TX",,https://jobs.ashbyhq.com/persona.ai/fd514a3f-4138-48d5-9862-05ff74a4ca08,,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,Software Engineering,true,CLI,78,"Strong fit through computer vision, PyTorch, C++, reinforcement learning, 3D segmentation, and model-training experience, though the resume lacks direct autonomous-vehicle, robotics, simulation, or explicit world-modeling experience.",true,ashby:Persona AI:fd514a3f-4138-48d5-9862-05ff74a4ca08|speedyapply:SpeedyApply SWE:fd514a3f-4138-48d5-9862-05ff74a4ca08
Persona AI:e31e5382-f998-46cd-8116-56d201a8d175,Persona AI,Commercial Operations & Strategy Lead,"Houston, TX",Persona AI,https://jobs.ashbyhq.com/persona.ai/e31e5382-f998-46cd-8116-56d201a8d175,2026-07-06T12:51:06.684+00:00,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,ashby:Persona AI:e31e5382-f998-46cd-8116-56d201a8d175
Persona AI:5211fd75-846a-488d-8f93-c4cf9c2d1e8d,Persona AI,Deep Learning - Robot Manipulation Engineer,"Houston, TX",Persona AI,https://jobs.ashbyhq.com/persona.ai/5211fd75-846a-488d-8f93-c4cf9c2d1e8d,2026-07-14T14:53:54.400+00:00,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,ashby:Persona AI:5211fd75-846a-488d-8f93-c4cf9c2d1e8d
Persona AI:a68c0823-0b61-4741-9fbc-a1f6d701e4ed,Persona AI,Electrical Engineering Intern,"Pensacola, FL or Houston, TX ",Persona AI,https://jobs.ashbyhq.com/persona.ai/a68c0823-0b61-4741-9fbc-a1f6d701e4ed,2026-07-30T20:18:01.735+00:00,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,ashby:Persona AI:a68c0823-0b61-4741-9fbc-a1f6d701e4ed
Persona AI:1d135d8a-1f3f-4cff-b46a-3e3284b18661,Persona AI,Head of Product,"Houston, TX",Persona AI,https://jobs.ashbyhq.com/persona.ai/1d135d8a-1f3f-4cff-b46a-3e3284b18661,2026-07-24T17:42:34.232+00:00,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,ashby:Persona AI:1d135d8a-1f3f-4cff-b46a-3e3284b18661
Persona AI:cf335dc3-9167-4925-b0ca-a6ac9a6f3ee2,Persona AI,IT Support Specialist,"Houston, TX",Persona AI,https://jobs.ashbyhq.com/persona.ai/cf335dc3-9167-4925-b0ca-a6ac9a6f3ee2,2026-07-29T19:59:09.275+00:00,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,ashby:Persona AI:cf335dc3-9167-4925-b0ca-a6ac9a6f3ee2
Persona AI:cb84dd25-79a6-4719-8068-26f69a15b629,Persona AI,Low Level Controls Engineer,"Houston, TX",Persona AI,https://jobs.ashbyhq.com/persona.ai/cb84dd25-79a6-4719-8068-26f69a15b629,2026-08-18T20:10:02.411+00:00,2026-08-18T20:29:52+00:00,2026-08-18 13:29 Tue,Computer Vision,true,CLI,18,"The candidate has solid C++ and algorithm-development experience but lacks demonstrated low-level controls, robotics, embedded systems, hardware integration, and real-time control expertise required for this role.",true,ashby:Persona AI:cb84dd25-79a6-4719-8068-26f69a15b629
