job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Pika:fb9e43d7-36b8-46c7-93cd-2b7504e30363,Pika,"ML Engineer, Inference & Optimization",Palo Alto HQ,Research,https://jobs.ashbyhq.com/pika/fb9e43d7-36b8-46c7-93cd-2b7504e30363,2026-06-23T21:47:29.414+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,49,keyword-only heuristic,false,ashby:Pika:fb9e43d7-36b8-46c7-93cd-2b7504e30363
Pika:e0533e4b-28a2-4c18-be00-73111f84f326,Pika,Product Manager,Palo Alto HQ,Product,https://jobs.ashbyhq.com/pika/e0533e4b-28a2-4c18-be00-73111f84f326,2026-07-02T07:58:27.111+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,46,keyword-only heuristic,false,ashby:Pika:e0533e4b-28a2-4c18-be00-73111f84f326
Pika:ab076a0a-8abc-4110-a0ab-a56e276ac891,Pika,"Product Manager, Growth",Palo Alto HQ,Product,https://jobs.ashbyhq.com/pika/ab076a0a-8abc-4110-a0ab-a56e276ac891,2026-07-02T07:57:20.140+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,43,keyword-only heuristic,false,ashby:Pika:ab076a0a-8abc-4110-a0ab-a56e276ac891
Pika:bfe1fa19-5602-487e-b386-2e5754e1d4cf,Pika,Product Marketing Manager,Palo Alto HQ,Product,https://jobs.ashbyhq.com/pika/bfe1fa19-5602-487e-b386-2e5754e1d4cf,2026-07-02T08:03:02.816+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Pika:bfe1fa19-5602-487e-b386-2e5754e1d4cf
Pika:733294db-8186-4a47-b274-92585cfb0b66,Pika,Research Intern,"Palo Alto, CA",AI/ML/Data,https://jobs.ashbyhq.com/pika/6c9ba89d-91f3-4cf1-a318-70783773323a/application,2026-07-02,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:733294db-8186-4a47-b274-92585cfb0b66
Pika:e135acb1-2a0b-47b4-81b2-3cb0f787657a,Pika,Research Intern (BS/MS/PhD),Palo Alto HQ,Research,https://jobs.ashbyhq.com/pika/e135acb1-2a0b-47b4-81b2-3cb0f787657a,2026-07-10T18:04:54.423+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Pika:e135acb1-2a0b-47b4-81b2-3cb0f787657a
Pika:99cfa529-cdea-4b33-896c-40df0577187c,Pika,Research Intern - BS/MS/PhD,"Palo Alto, CA",AI/ML/Data,https://jobs.ashbyhq.com/pika/e135acb1-2a0b-47b4-81b2-3cb0f787657a/application,2026-07-10,2026-07-10T22:36:50+00:00,2026-07-10 15:36 Fri,,false,,,,false,simplify:Simplify Internships:99cfa529-cdea-4b33-896c-40df0577187c
Pika:82835e51-284c-47af-b254-088fff23acd5,Pika,"Research Scientist, Data",Palo Alto HQ,Research,https://jobs.ashbyhq.com/pika/82835e51-284c-47af-b254-088fff23acd5,2026-07-01T23:38:46.877+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,58,keyword-only heuristic,true,ashby:Pika:82835e51-284c-47af-b254-088fff23acd5
Pika:d3993c91-4dd5-4868-8108-4e9b78133e7b,Pika,"Research Scientist, Foundation Model",Palo Alto HQ,Research,https://jobs.ashbyhq.com/pika/d3993c91-4dd5-4868-8108-4e9b78133e7b,2026-05-16T03:25:02.352+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,58,keyword-only heuristic,true,ashby:Pika:d3993c91-4dd5-4868-8108-4e9b78133e7b
Pika:35eb68a1-c26b-4221-80e6-51e21ec8edd9,Pika,"Software Engineer, AI Infra",Palo Alto HQ,Engineering,https://jobs.ashbyhq.com/pika/35eb68a1-c26b-4221-80e6-51e21ec8edd9,2026-06-16T21:41:57.289+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,73,keyword-only heuristic,true,ashby:Pika:35eb68a1-c26b-4221-80e6-51e21ec8edd9
Pika:8dab8b44-71cd-4ed9-a598-34111d534ac1,Pika,"Software Engineer, Backend",Palo Alto HQ,Engineering,https://jobs.ashbyhq.com/pika/8dab8b44-71cd-4ed9-a598-34111d534ac1,2026-07-01T23:30:33.164+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,52,keyword-only heuristic,true,ashby:Pika:8dab8b44-71cd-4ed9-a598-34111d534ac1
Pika:534bf2f8-b420-403c-b07c-a903b7062bd4,Pika,"Software Engineer, Product",Palo Alto HQ,Engineering,https://jobs.ashbyhq.com/pika/534bf2f8-b420-403c-b07c-a903b7062bd4,2026-07-01T23:33:49.722+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,55,keyword-only heuristic,true,ashby:Pika:534bf2f8-b420-403c-b07c-a903b7062bd4
