job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
PIMCO:https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-PhD-Summer-Intern---Portfolio-Management--Quantitative-Research-Analyst_R106749,PIMCO,2027 PhD Summer Intern - Portfolio Management - Quantitative Research Analyst,"Newport Beach, CA",,https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-PhD-Summer-Intern---Portfolio-Management--Quantitative-Research-Analyst_R106749,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,,false,,,,false,speedyapply:SpeedyApply AI:https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-PhD-Summer-Intern---Portfolio-Management--Quantitative-Research-Analyst_R106749
PIMCO:https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-PhD-Summer-Intern---Quantitative-Portfolio-Management_R106830,PIMCO,2027 PhD Summer Intern - Quantitative Portfolio Management,"Newport Beach, CA",,https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-PhD-Summer-Intern---Quantitative-Portfolio-Management_R106830,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,,false,,,,false,speedyapply:SpeedyApply AI:https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-PhD-Summer-Intern---Quantitative-Portfolio-Management_R106830
PIMCO:https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-Summer-Intern---Masters-Quant-Research-Analyst--Client-Solutions---Analytics--US_R106816,PIMCO,2027 Summer Intern - Masters Quant Research Analyst - Client Solutions & Analytics - US,"Newport Beach, CA",,https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-Summer-Intern---Masters-Quant-Research-Analyst--Client-Solutions---Analytics--US_R106816,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,Computer Vision,true,CLI,18,"The candidate has strong Python, machine learning, and quantitative problem-solving experience, but lacks finance, econometrics, financial markets, portfolio construction, and client analytics experience central to this quant research role.",true,speedyapply:SpeedyApply AI:https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-Summer-Intern---Masters-Quant-Research-Analyst--Client-Solutions---Analytics--US_R106816
PIMCO:https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-Summer-Intern---PhD-Quant-Research-Analyst--Client-Solutions---Analytics--US_R106815,PIMCO,2027 Summer Intern - PhD Quant Research Analyst - Client Solutions & Analytics - US,"Newport Beach, CA",,https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-Summer-Intern---PhD-Quant-Research-Analyst--Client-Solutions---Analytics--US_R106815,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,,false,,,,false,speedyapply:SpeedyApply AI:https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-Summer-Intern---PhD-Quant-Research-Analyst--Client-Solutions---Analytics--US_R106815
PIMCO:https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Austin-TX-USA/XMLNAME-2027-Summer-Intern---Technology-Analyst--Software-Engineering_R106745,PIMCO,2027 Summer Intern - Technology Analyst - Software Engineering,"Austin, TX",,https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Austin-TX-USA/XMLNAME-2027-Summer-Intern---Technology-Analyst--Software-Engineering_R106745,,,2026-08-20T13:10:56+00:00,2026-08-20 06:10 Thu,Computer Vision,true,Keyword,58,keyword-only heuristic,true,speedyapply:SpeedyApply SWE:https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Austin-TX-USA/XMLNAME-2027-Summer-Intern---Technology-Analyst--Software-Engineering_R106745
PIMCO:d7d2d9a2-c865-47e5-9029-23b28fb08f05,PIMCO,Client Solutions & Analytics Analyst Intern,"Newport Beach, CA",AI/ML/Data,https://pimco.wd1.myworkdayjobs.com/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-Summer-Intern---Client-Solutions---Analytics-Analyst--US_R106605,2026-08-13,2026-08-13,2026-08-14T04:17:30+00:00,2026-08-13 21:17 Thu,,false,,,,false,simplify:Simplify Internships:d7d2d9a2-c865-47e5-9029-23b28fb08f05
PIMCO:746805fc-c4a4-4947-a1d2-05472f648692,PIMCO,Client Solutions & Analytics: Quantitative Research Analyst,"London, UK",Quant,https://pimco.wd1.myworkdayjobs.com/pimco-careers/job/London-GBR/Quantitative-Research-Analyst_R106487,2026-06-19,2026-06-19,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:746805fc-c4a4-4947-a1d2-05472f648692
PIMCO:c7058024-f00f-4d66-a0b6-68745ca6c64a,PIMCO,Product Analyst Intern,"London, UK",Product,https://pimco.wd1.myworkdayjobs.com/pimco-careers/job/London-GBR/XMLNAME-2027-Summer-Intern---Product-Analyst--EMEA_R106780,2026-08-31,2026-08-31,2026-08-31T05:17:34+00:00,2026-08-30 22:17 Sun,,false,,,,false,simplify:Simplify Internships:c7058024-f00f-4d66-a0b6-68745ca6c64a
PIMCO:ef154dc9-5e75-41c5-956c-ecda1d5b4e07,PIMCO,Product Strategy Analyst Intern,"Newport Beach, CA",Product,https://pimco.wd1.myworkdayjobs.com/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-Summer-Intern---Product-Strategy-Analyst--US_R106626,2026-08-17,2026-08-17,2026-09-04T12:40:53+00:00,2026-09-04 05:40 Fri,,false,,,,false,simplify:Simplify Internships:ef154dc9-5e75-41c5-956c-ecda1d5b4e07
PIMCO:b0e0dc49-a912-453a-adaa-9778ac12d391,PIMCO,Quant Research Analyst Intern - Client Solutions & Analytics,"Newport Beach, CA",Quant,https://pimco.wd1.myworkdayjobs.com/pimco-careers/job/Newport-Beach-CA-USA/XMLNAME-2027-Summer-Intern---PhD-Quant-Research-Analyst--Client-Solutions---Analytics--US_R106815,2026-09-01,2026-09-01,2026-09-01T14:41:49+00:00,2026-09-01 07:41 Tue,Computer Vision,true,Keyword,55,keyword-only heuristic,true,simplify:Simplify Internships:b0e0dc49-a912-453a-adaa-9778ac12d391
