job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Pivotal:69119185-2d5b-4b54-8a87-8ea040c9e482,Pivotal,Autonomy Engineer II - Robotics,"Palo Alto, CA or Miami, Florida",General Engineering,https://jobs.lever.co/pivotal/69119185-2d5b-4b54-8a87-8ea040c9e482,1781197620117,2026-06-11,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:69119185-2d5b-4b54-8a87-8ea040c9e482
Pivotal:9520f9d6-71f8-40b0-8ba1-85266247f2db,Pivotal,Battery Engineering Technician (contract),"Palo Alto, CA",General Engineering,https://jobs.lever.co/pivotal/9520f9d6-71f8-40b0-8ba1-85266247f2db,1781135880194,2026-06-10,2026-08-07T17:41:57+00:00,2026-08-07 10:41 Fri,,false,,,,false,lever:Pivotal:9520f9d6-71f8-40b0-8ba1-85266247f2db
Pivotal:https://jobs.lever.co/pivotal/9fe618b9-cf87-4418-9953-31c5e4da56be,Pivotal,Computer Vision Engineer – Autonomy & Perception,"Palo Alto, CA",General Engineering,https://jobs.lever.co/pivotal/9fe618b9-cf87-4418-9953-31c5e4da56be,1780436063632,2026-06-02,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,Computer Vision,true,Keyword,43,keyword-only heuristic,false,speedyapply:SpeedyApply AI:https://jobs.lever.co/pivotal/9fe618b9-cf87-4418-9953-31c5e4da56be|lever:Pivotal:9fe618b9-cf87-4418-9953-31c5e4da56be
Pivotal:9cca8e35-c1c6-4b72-a5c6-0e8d29b3986b,Pivotal,Configuration Specialist (contract),"Palo Alto, CA",General Engineering,https://jobs.lever.co/pivotal/9cca8e35-c1c6-4b72-a5c6-0e8d29b3986b,1787867811228,2026-08-27,2026-09-04T18:41:03+00:00,2026-09-04 11:41 Fri,Computer Vision,true,CLI,18,"The candidate has strong engineering and automation experience but lacks direct configuration management, change control, PLM/ERP, aerospace manufacturing, and cross-functional product traceability experience required for this role.",false,lever:Pivotal:9cca8e35-c1c6-4b72-a5c6-0e8d29b3986b
Pivotal:3e644870-7115-4db4-ab29-a2987ceb3197,Pivotal,Customer Support Representative (Tier 3),"Palo Alto, CA or Miami, Florida",Flight Operations,https://jobs.lever.co/pivotal/3e644870-7115-4db4-ab29-a2987ceb3197,1781120806401,2026-06-10,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:3e644870-7115-4db4-ab29-a2987ceb3197
Pivotal:eb8100f9-b79a-43d8-b6d8-bdc578542b5d,Pivotal,Data Engineer - Flight Data (contract),"Palo Alto, CA",General Engineering,https://jobs.lever.co/pivotal/eb8100f9-b79a-43d8-b6d8-bdc578542b5d,1787085192754,2026-08-18,2026-09-03T21:16:49+00:00,2026-09-03 14:16 Thu,Software Engineering,true,CLI,38,"The candidate has solid Python/C++ backend, database, Docker, cloud, and automation experience, but lacks demonstrated production data warehousing, telemetry pipelines, infrastructure as code, monitoring, and aerospace or flight-data domain expertise.",false,lever:Pivotal:eb8100f9-b79a-43d8-b6d8-bdc578542b5d
Pivotal:e38dc745-b5cf-4baa-82e0-60a6782a00f7,Pivotal,Embedded Software Engineer II,"Palo Alto, CA",Aircraft Software,https://jobs.lever.co/pivotal/e38dc745-b5cf-4baa-82e0-60a6782a00f7,1780689587143,2026-06-05,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:e38dc745-b5cf-4baa-82e0-60a6782a00f7
Pivotal:20cd3dc8-74ef-4dd4-a50f-af9ddaeee1f7,Pivotal,Flight Operations Support Specialist II,"Palo Alto, CA",Flight Operations,https://jobs.lever.co/pivotal/20cd3dc8-74ef-4dd4-a50f-af9ddaeee1f7,1780605862018,2026-06-04,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:20cd3dc8-74ef-4dd4-a50f-af9ddaeee1f7
Pivotal:441b0d05-d9b4-4604-a3a1-c7ad5c614f3b,Pivotal,Flight Test Operator I,"Palo Alto, CA",Flight Operations,https://jobs.lever.co/pivotal/441b0d05-d9b4-4604-a3a1-c7ad5c614f3b,1780606857388,2026-06-04,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:441b0d05-d9b4-4604-a3a1-c7ad5c614f3b
Pivotal:b05be1f0-20ff-4264-8839-4f18f97cbfb7,Pivotal,"Internship, GNC Engineering (Fall)","Palo Alto, CA",Aircraft Software,https://jobs.lever.co/pivotal/b05be1f0-20ff-4264-8839-4f18f97cbfb7,1785446763210,2026-07-30,2026-08-05T17:59:55+00:00,2026-08-05 10:59 Wed,,false,,,,false,lever:Pivotal:b05be1f0-20ff-4264-8839-4f18f97cbfb7
Pivotal:370cafec-79df-4875-b6ea-317b5b0ed97a,Pivotal,"Internship, Maintenance, Repair & Overhaul Engineering (Fall 2026)","Palo Alto, CA","Maintenance, Repair, Overhaul (MRO)",https://jobs.lever.co/pivotal/370cafec-79df-4875-b6ea-317b5b0ed97a,1786118440829,2026-08-07,2026-08-07T16:10:52+00:00,2026-08-07 09:10 Fri,,false,,,,false,lever:Pivotal:370cafec-79df-4875-b6ea-317b5b0ed97a
Pivotal:a5887446-6c15-4003-b6fa-1c0e533e811b,Pivotal,Lead Storyteller (Video & Visual Content),"Miami, Florida",Marketing,https://jobs.lever.co/pivotal/a5887446-6c15-4003-b6fa-1c0e533e811b,1778795233985,2026-05-14,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:a5887446-6c15-4003-b6fa-1c0e533e811b
Pivotal:ac008e43-d276-476e-82d0-55c6c82c7486,Pivotal,"Manager, Aircraft Design & Performance","Palo Alto, CA",Aeromechanical Engineering,https://jobs.lever.co/pivotal/ac008e43-d276-476e-82d0-55c6c82c7486,1779297434846,2026-05-20,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:ac008e43-d276-476e-82d0-55c6c82c7486
Pivotal:9e6fe3e9-7668-483e-9273-85deb97eaff0,Pivotal,Motor Controls Engineer II - R&D,"Palo Alto, CA",Powertrain,https://jobs.lever.co/pivotal/9e6fe3e9-7668-483e-9273-85deb97eaff0,1700174473289,2023-11-16,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:9e6fe3e9-7668-483e-9273-85deb97eaff0
Pivotal:fdf48640-aebe-49a8-b225-bb0164189c6d,Pivotal,Quality Engineer,"Palo Alto, CA",Quality,https://jobs.lever.co/pivotal/fdf48640-aebe-49a8-b225-bb0164189c6d,1778793832039,2026-05-14,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:fdf48640-aebe-49a8-b225-bb0164189c6d
Pivotal:cb052338-ba19-40cb-a040-17acb67ab5c5,Pivotal,Regulatory Affairs Specialist,United States,Flight Operations,https://jobs.lever.co/pivotal/cb052338-ba19-40cb-a040-17acb67ab5c5,1775067780739,2026-04-01,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:cb052338-ba19-40cb-a040-17acb67ab5c5
Pivotal:b78b60a8-25a8-46c1-b487-df3f4fab24ff,Pivotal,Safety Manager,"Palo Alto, CA",Flight Operations,https://jobs.lever.co/pivotal/b78b60a8-25a8-46c1-b487-df3f4fab24ff,1778797403857,2026-05-14,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:b78b60a8-25a8-46c1-b487-df3f4fab24ff
Pivotal:dd27ec43-39ac-4a0e-a911-dc895283327f,Pivotal,Senior Configuration Engineer,"Palo Alto, CA",General Engineering,https://jobs.lever.co/pivotal/dd27ec43-39ac-4a0e-a911-dc895283327f,1780613581581,2026-06-04,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:dd27ec43-39ac-4a0e-a911-dc895283327f
Pivotal:e5c27075-d9d0-47d6-b703-684b42b0a644,Pivotal,Senior Cost Accountant,"Palo Alto, CA",Finance,https://jobs.lever.co/pivotal/e5c27075-d9d0-47d6-b703-684b42b0a644,1780420396868,2026-06-02,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:e5c27075-d9d0-47d6-b703-684b42b0a644
Pivotal:a62654cf-3669-44ed-b3ac-25b87dafb584,Pivotal,Senior Electro-Mechanical Engineer,"Palo Alto, CA",Aeromechanical Engineering,https://jobs.lever.co/pivotal/a62654cf-3669-44ed-b3ac-25b87dafb584,1776191158452,2026-04-14,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:a62654cf-3669-44ed-b3ac-25b87dafb584
Pivotal:47b903d2-2d5d-4ce7-af9f-812a8ca0202e,Pivotal,Senior Embedded Software Engineer,"Palo Alto, CA",Aircraft Software,https://jobs.lever.co/pivotal/47b903d2-2d5d-4ce7-af9f-812a8ca0202e,1769641215416,2026-01-28,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:47b903d2-2d5d-4ce7-af9f-812a8ca0202e
Pivotal:37d75a90-6650-4de4-bcea-8364d58e0271,Pivotal,Senior Maintenance Engineer,"Palo Alto, CA","Maintenance, Repair, Overhaul (MRO)",https://jobs.lever.co/pivotal/37d75a90-6650-4de4-bcea-8364d58e0271,1784147900161,2026-07-15,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:37d75a90-6650-4de4-bcea-8364d58e0271
Pivotal:b00568f4-0441-4a5c-93ca-c3c0c50779c7,Pivotal,"Senior Manager, Flight Test","Palo Alto, CA",Flight Operations,https://jobs.lever.co/pivotal/b00568f4-0441-4a5c-93ca-c3c0c50779c7,1773858567001,2026-03-18,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:b00568f4-0441-4a5c-93ca-c3c0c50779c7
Pivotal:f9e2a573-b217-41a9-ae2f-bff316433474,Pivotal,"Senior Manager, Manufacturing Engineering - Electric Propulsion and Test","Palo Alto, CA",Manufacturing Engineering,https://jobs.lever.co/pivotal/f9e2a573-b217-41a9-ae2f-bff316433474,1772656621778,2026-03-04,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:f9e2a573-b217-41a9-ae2f-bff316433474
Pivotal:f0360d5a-946e-4020-b76e-bc6963efa7f3,Pivotal,Senior NPI Buyer,"Palo Alto, CA",Supply Chain,https://jobs.lever.co/pivotal/f0360d5a-946e-4020-b76e-bc6963efa7f3,1769205261130,2026-01-23,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:f0360d5a-946e-4020-b76e-bc6963efa7f3
Pivotal:666531d5-60d9-4025-8636-cd6400c2ec9f,Pivotal,Senior Software Test Engineer (contract),"Palo Alto, CA",Electrical Engineering,https://jobs.lever.co/pivotal/666531d5-60d9-4025-8636-cd6400c2ec9f,1787868083990,2026-08-27,2026-09-04T18:41:03+00:00,2026-09-04 11:41 Fri,,false,,,,false,lever:Pivotal:666531d5-60d9-4025-8636-cd6400c2ec9f
Pivotal:368d0ed0-683a-4090-9f29-4fb62c24ea8d,Pivotal,Staff Electro-Mechanical Engineer,"Palo Alto, CA",Aeromechanical Engineering,https://jobs.lever.co/pivotal/368d0ed0-683a-4090-9f29-4fb62c24ea8d,1776979537888,2026-04-23,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:368d0ed0-683a-4090-9f29-4fb62c24ea8d
Pivotal:8f1a3948-3faf-4959-9019-25c27302b778,Pivotal,Staff Power Electronics Engineer,"Palo Alto, CA",Electrical Engineering,https://jobs.lever.co/pivotal/8f1a3948-3faf-4959-9019-25c27302b778,1746035646010,2025-04-30,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:8f1a3948-3faf-4959-9019-25c27302b778
Pivotal:fa7e600c-a22f-4e76-a4c9-9cb0ae543381,Pivotal,Technical Project Manager - Hardware (contract),"Palo Alto, CA",General Engineering,https://jobs.lever.co/pivotal/fa7e600c-a22f-4e76-a4c9-9cb0ae543381,1780420840988,2026-06-02,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:fa7e600c-a22f-4e76-a4c9-9cb0ae543381
Pivotal:d1434d84-8a8a-43ec-91c4-18663f3fce99,Pivotal,Verification Engineer - Aeromechanical (Design & Test),"Palo Alto, CA",Aeromechanical Engineering,https://jobs.lever.co/pivotal/d1434d84-8a8a-43ec-91c4-18663f3fce99,1778793326496,2026-05-14,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,lever:Pivotal:d1434d84-8a8a-43ec-91c4-18663f3fce99
