job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Rad AI:0372a459-16e6-4ccb-8df5-da97b728938a,Rad AI,Data Engineer,United States,Engineering,https://jobs.ashbyhq.com/radai/0372a459-16e6-4ccb-8df5-da97b728938a,2026-07-09T19:42:06.219+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Rad AI:0372a459-16e6-4ccb-8df5-da97b728938a
Rad AI:2bbf3f31-0d7b-44eb-860c-6ee408ecb8d6,Rad AI,"Director of Engineering, Reporting Product",San Francisco,Engineering,https://jobs.ashbyhq.com/radai/2bbf3f31-0d7b-44eb-860c-6ee408ecb8d6,2026-04-01T17:44:04.963+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Rad AI:2bbf3f31-0d7b-44eb-860c-6ee408ecb8d6
Rad AI:e9992a27-2d03-497c-bde3-4cfeed72b983,Rad AI,"Director, Demand Generation",United States,Marketing,https://jobs.ashbyhq.com/radai/e9992a27-2d03-497c-bde3-4cfeed72b983,2026-07-13T20:34:27.384+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Rad AI:e9992a27-2d03-497c-bde3-4cfeed72b983
Rad AI:fece5807-1312-4ba7-9b58-7d9efdbf13e8,Rad AI,Head of Product,San Francisco,Leadership,https://jobs.ashbyhq.com/radai/fece5807-1312-4ba7-9b58-7d9efdbf13e8,2026-04-21T23:40:49.422+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Rad AI:fece5807-1312-4ba7-9b58-7d9efdbf13e8
Rad AI:a8894c07-ed04-4057-92a5-de853279dee0,Rad AI,Implementation Project Manager ,United States,Implementations,https://jobs.ashbyhq.com/radai/a8894c07-ed04-4057-92a5-de853279dee0,2026-05-26T22:47:34.791+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Rad AI:a8894c07-ed04-4057-92a5-de853279dee0
Rad AI:93166675-497c-460d-bf91-fa9d2f1aa9ba,Rad AI,Machine Learning Research Manager,United States,Engineering,https://jobs.ashbyhq.com/radai/93166675-497c-460d-bf91-fa9d2f1aa9ba,2026-07-17T06:09:59.194+00:00,2026-07-17T06:17:24+00:00,2026-07-16 23:17 Thu,AI / ML,true,Keyword,61,keyword-only heuristic,true,ashby:Rad AI:93166675-497c-460d-bf91-fa9d2f1aa9ba
Rad AI:8a14e7a2-352a-4367-8fb5-eb22c25b4353,Rad AI,Market Development Representative,United States,Marketing,https://jobs.ashbyhq.com/radai/8a14e7a2-352a-4367-8fb5-eb22c25b4353,2026-06-08T16:36:24.267+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Rad AI:8a14e7a2-352a-4367-8fb5-eb22c25b4353
Rad AI:fbc31526-d9ff-44a3-98ac-8a9f5d7a75ea,Rad AI,"Product Lead, Orchestration",San Francisco,Product,https://jobs.ashbyhq.com/radai/fbc31526-d9ff-44a3-98ac-8a9f5d7a75ea,2026-05-23T01:42:31.399+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Rad AI:fbc31526-d9ff-44a3-98ac-8a9f5d7a75ea
Rad AI:cc37ca83-602b-444e-86e7-b271cf93c061,Rad AI,"Product Manager, SDK",San Francisco,Product,https://jobs.ashbyhq.com/radai/cc37ca83-602b-444e-86e7-b271cf93c061,2026-05-23T01:44:24.686+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Rad AI:cc37ca83-602b-444e-86e7-b271cf93c061
Rad AI:5ededbe9-77d1-4d76-b872-e7f3d5987a87,Rad AI,Radiology Transcriptionist (Contract),United States,ML & Data,https://jobs.ashbyhq.com/radai/5ededbe9-77d1-4d76-b872-e7f3d5987a87,2026-07-21T15:28:11.885+00:00,2026-07-21T15:41:30+00:00,2026-07-21 08:41 Tue,AI / ML,true,Keyword,49,keyword-only heuristic,false,ashby:Rad AI:5ededbe9-77d1-4d76-b872-e7f3d5987a87
