job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Red Hat:/job/Remote-France/Account-Manager----Telco-France_R-058041-2,Red Hat,Account Manager -  Telco France,2 Locations,,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Remote-France/Account-Manager----Telco-France_R-058041-2,Posted 2 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Red Hat:/job/Remote-France/Account-Manager----Telco-France_R-058041-2
Red Hat:/job/Riyadh---MSO/Account-Manager---Central-Government--Saudi-National-_R-055693-2,Red Hat,Account Manager - Central Government (Saudi National),Riyadh - MSO,,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Riyadh---MSO/Account-Manager---Central-Government--Saudi-National-_R-055693-2,Posted Today,2026-07-12T13:40:37+00:00,2026-07-12 06:40 Sun,,false,,,,false,workday:Red Hat:/job/Riyadh---MSO/Account-Manager---Central-Government--Saudi-National-_R-055693-2
Red Hat:/job/Riyadh---MSO/Account-Manager---Health---Education--Saudi-National-_R-055692-2,Red Hat,Account Manager - Health & Education (Saudi National),Riyadh - MSO,,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Riyadh---MSO/Account-Manager---Health---Education--Saudi-National-_R-055692-2,Posted Today,2026-07-12T13:40:37+00:00,2026-07-12 06:40 Sun,,false,,,,false,workday:Red Hat:/job/Riyadh---MSO/Account-Manager---Health---Education--Saudi-National-_R-055692-2
Red Hat:/job/Amsterdam---MSO/Account-Solution-Architect_R-055249-1,Red Hat,Account Solution Architect,Amsterdam - MSO,,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Amsterdam---MSO/Account-Solution-Architect_R-055249-1,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Red Hat:/job/Amsterdam---MSO/Account-Solution-Architect_R-055249-1
Red Hat:/job/Mumbai/Account-Solution-Architect_R-056556-2,Red Hat,Account Solution Architect,Mumbai,,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Mumbai/Account-Solution-Architect_R-056556-2,Posted 27 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Red Hat:/job/Mumbai/Account-Solution-Architect_R-056556-2
Red Hat:/job/New-Delhi/Account-Solution-Architect_R-053762-1,Red Hat,Account Solution Architect,New Delhi,,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/New-Delhi/Account-Solution-Architect_R-053762-1,Posted 4 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Red Hat:/job/New-Delhi/Account-Solution-Architect_R-053762-1
Red Hat:/job/Puteaux/Account-Solution-Architect_R-057166-1,Red Hat,Account Solution Architect,Puteaux,,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Puteaux/Account-Solution-Architect_R-057166-1,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Red Hat:/job/Puteaux/Account-Solution-Architect_R-057166-1
Red Hat:/job/Remote-US-TX/Account-Solution-Architect_R-057455,Red Hat,Account Solution Architect,Remote US TX,,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Remote-US-TX/Account-Solution-Architect_R-057455,Posted 2 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Red Hat:/job/Remote-US-TX/Account-Solution-Architect_R-057455
Red Hat:/job/Tokyo/Agile-Development-Coach_R-055735-1,Red Hat,Agile Development Coach,Tokyo,,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Tokyo/Agile-Development-Coach_R-055735-1,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Red Hat:/job/Tokyo/Agile-Development-Coach_R-055735-1
Red Hat:/job/Tokyo/Agile-Development-Coach_R-057529-2,Red Hat,Agile Development Coach,Tokyo,,https://redhat.wd5.myworkdayjobs.com/en-US/jobs/job/Tokyo/Agile-Development-Coach_R-057529-2,Posted 4 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Red Hat:/job/Tokyo/Agile-Development-Coach_R-057529-2
