job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
RELX:https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/AI-Agent-Engineer_R113765-2,RELX,AI Agent Engineer,"Alpharetta, GA +7",,https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/AI-Agent-Engineer_R113765-2,,,2026-08-05T14:41:47+00:00,2026-08-05 07:41 Wed,AI / ML,true,CLI,62,"The candidate has strong Python, C++, machine learning, computer vision, reinforcement learning, and production engineering experience, but lacks demonstrated LLM, NLP, agent-framework, or generative-AI experience specifically associated with an AI Agent Engineer role.",true,speedyapply:SpeedyApply AI:https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/AI-Agent-Engineer_R113765-2,
RELX:https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/AI-Agent-Engineer_R115152,RELX,AI Agent Engineer,"Alpharetta, GA +6",,https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/AI-Agent-Engineer_R115152,,,2026-08-05T14:41:47+00:00,2026-08-05 07:41 Wed,AI / ML,true,CLI,58,"The candidate has strong Python, machine learning, computer vision, reinforcement learning, and backend engineering experience relevant to AI-agent development, but lacks demonstrated experience with LLMs, agent frameworks, or production generative-AI systems.",true,speedyapply:SpeedyApply AI:https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/AI-Agent-Engineer_R115152,
RELX:591656dc-6caf-4f26-a98b-c216c2624560,RELX,Data Discovery and Enrichment Expert 1,"Toronto, ON, Canada; Canada",AI/ML/Data,https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Quebec/Data-Discovery-and-Enrichment-Expert-I--Canada-Bilingual-Hybrid-or-Remote-_R113429-1,2026-05-21,2026-05-21,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:591656dc-6caf-4f26-a98b-c216c2624560,2026-05-21
RELX:https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/Data-Scientist-I--DSAP-_R116014-1,RELX,Data Scientist I - DSAP,"Alpharetta, GA",AI/ML/Data,https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/Data-Scientist-I--DSAP-_R116014-1,2026-07-28,2026-07-28,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,AI / ML,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply AI:https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/Data-Scientist-I--DSAP-_R116014-1|simplify:Simplify New Grad:454a8c18-9bbe-47aa-a910-a9c9bf790162,2026-07-28|2026-07-28
RELX:178d9615-bc39-4703-ae8c-1092812192f3,RELX,News Taxonomist,"Farringdon, London, UK; United Kingdom",AI/ML/Data,https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Farringdon/Senior-News-Taxonomist_R115261,2026-08-11,2026-08-11,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:178d9615-bc39-4703-ae8c-1092812192f3,2026-08-11
RELX:https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Home-based-Georgia/Site-Reliability-Engineer-II_R114365-1,RELX,Site Reliability Engineer II,"Pittsburgh, PA",,https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Home-based-Georgia/Site-Reliability-Engineer-II_R114365-1,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Home-based-Georgia/Site-Reliability-Engineer-II_R114365-1,
RELX:a9b9d8ee-e94d-4b1f-a542-48d5507be8ef,RELX,Software Engineer 1,"Alpharetta, GA",Software,https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/Software-Engineer-1_R117973-1,2026-09-16,2026-09-16,2026-09-17T01:41:12+00:00,2026-09-16 18:41 Wed,Software Engineering,true,Keyword,52,僅以關鍵字比對評分,true,simplify:Simplify New Grad:a9b9d8ee-e94d-4b1f-a542-48d5507be8ef|speedyapply:SpeedyApply SWE:https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Alpharetta-GA/Software-Engineer-1_R117973-1,2026-09-16|
RELX:91e9b7c7-5e56-474d-ab58-0f4316d9847c,RELX,Software Engineer 1 - Risk Solutions Technology Graduate Program,"London, UK",Software,https://relx.wd3.myworkdayjobs.com/en-US/relx/job/London-Wall/Tech-Accelerate-Grad-Program-Software-Engineer_R118618-1,2026-09-16,2026-09-16,2026-09-16T23:17:53+00:00,2026-09-16 16:17 Wed,,false,,,,false,simplify:Simplify New Grad:91e9b7c7-5e56-474d-ab58-0f4316d9847c,2026-09-16
RELX:52befd31-d887-47a2-8651-4b8574c2d880,RELX,Software Engineer Apprentice,"Southampton, UK",Software,https://relx.wd3.myworkdayjobs.com/en-US/relx/job/UK---Grosvenor-House-Southampton/Apprentice-Software-Engineer_R112557-2,2026-06-16,2026-06-16,2026-07-10T22:36:50+00:00,2026-07-10 15:36 Fri,,false,,,,false,simplify:Simplify Internships:52befd31-d887-47a2-8651-4b8574c2d880,2026-06-16
RELX:d0fe3c23-78d8-4f8b-a69a-17d72eaa5eb2,RELX,Software Engineer Apprentice,"London, UK",Software,https://relx.wd3.myworkdayjobs.com/en-US/relx/job/Grosvernor-House/Software-Engineer-Apprentice_R115941-3,2026-07-10,2026-07-10,2026-07-10T23:13:00+00:00,2026-07-10 16:13 Fri,,false,,,,false,simplify:Simplify Internships:d0fe3c23-78d8-4f8b-a69a-17d72eaa5eb2,2026-07-10
