job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Royal Bank of Canada:https://rbc.wd3.myworkdayjobs.com/en-US/rbcglobal1/job/New-York-New-York-United-States-of-America/AI-Engineer-I_R-0000178591-1,Royal Bank of Canada,AI Engineer I,"New York, New York, United States of America",,https://rbc.wd3.myworkdayjobs.com/en-US/rbcglobal1/job/New-York-New-York-United-States-of-America/AI-Engineer-I_R-0000178591-1,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://rbc.wd3.myworkdayjobs.com/en-US/rbcglobal1/job/New-York-New-York-United-States-of-America/AI-Engineer-I_R-0000178591-1
Royal Bank of Canada:272daeda-6504-4221-a6fb-f2970bd123c7,Royal Bank of Canada,Data Engineer Intern,"Toronto, ON, Canada",AI/ML/Data,https://rbc.wd3.myworkdayjobs.com/ExternalPrivatePostingStudents/job/TORONTO-Ontario-Canada/XMLNAME-2026-Fall---GRM--Data-Engineer-Intern--4-Months-_R-0000169658-3,2026-07-07,2026-07-08T02:45:08+00:00,2026-07-07 19:45 Tue,,false,,,,false,simplify:Simplify Internships:272daeda-6504-4221-a6fb-f2970bd123c7
Royal Bank of Canada:46ee0ac1-9aaa-4794-95fc-c0efe6680bd6,Royal Bank of Canada,Developer Co-op,"Toronto, ON, Canada",AI/ML/Data,https://rbc.wd3.myworkdayjobs.com/ExternalPrivatePostingStudents/job/16-YORK-STTORONTO/Developer--Fall-2026-Co-op--8-months-_R-0000174353,2026-07-15,2026-07-15T14:41:28+00:00,2026-07-15 07:41 Wed,,false,,,,false,simplify:Simplify Internships:46ee0ac1-9aaa-4794-95fc-c0efe6680bd6
Royal Bank of Canada:795fc727-866d-4aee-b2f7-e8967b3e4d76,Royal Bank of Canada,Off Cycle Intern - Aiden Edge,"London, UK",Software,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/London-United-Kingdom-of-Great-Britain-and-Northern-Ireland/Off-Cycle-Intern---Aiden-Edge_R-0000179570,2026-07-07,2026-07-08T02:45:08+00:00,2026-07-07 19:45 Tue,,false,,,,false,simplify:Simplify Internships:795fc727-866d-4aee-b2f7-e8967b3e4d76
Royal Bank of Canada:https://rbc.wd3.myworkdayjobs.com/en-US/rbcglobal1/job/New-York-New-York-United-States-of-America/Rates-Algo-Developer--Associate_R-0000181579,Royal Bank of Canada,Rates Algo Developer - Associate,"New York City, NY",,https://rbc.wd3.myworkdayjobs.com/en-US/rbcglobal1/job/New-York-New-York-United-States-of-America/Rates-Algo-Developer--Associate_R-0000181579,,2026-07-23T14:32:01+00:00,2026-07-23 07:32 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://rbc.wd3.myworkdayjobs.com/en-US/rbcglobal1/job/New-York-New-York-United-States-of-America/Rates-Algo-Developer--Associate_R-0000181579
Royal Bank of Canada:5d6d7dc9-642a-4e6e-85dc-94e769a60939,Royal Bank of Canada,Relationship Manager Business Markets Intern,"Kitchener, ON, Canada",Quant,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/175-WALLACE-AVE-NNORTH-PERTH/Relationship-Manager-Business-Markets-Intern_R-0000172273-2,2026-05-26,2026-07-08T23:12:06+00:00,2026-07-08 16:12 Wed,,false,,,,false,simplify:Simplify Internships:5d6d7dc9-642a-4e6e-85dc-94e769a60939
Royal Bank of Canada:a904747c-0a1b-4b0e-822d-ca3184c2c4b5,Royal Bank of Canada,Relationship Manager Commercial Markets Intern,"Madawaska County, NB, Canada",Quant,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/GRAND-FALLS-New-Brunswick-Canada/Relationship-Manager-Commercial-Markets-Intern_R-0000178547,2026-07-02,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:a904747c-0a1b-4b0e-822d-ca3184c2c4b5
Royal Bank of Canada:15949f9f-5891-47a6-bcc1-7d9b08cc30da,Royal Bank of Canada,Relationship Manager Commercial Markets Intern,"Inverness, NS, Canada",Quant,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/CAPE-BRETON-Nova-Scotia-Canada/Relationship-Manager-Commercial-Markets--Intern_R-0000181768,2026-07-23,2026-07-23T23:17:14+00:00,2026-07-23 16:17 Thu,,false,,,,false,simplify:Simplify Internships:15949f9f-5891-47a6-bcc1-7d9b08cc30da
Royal Bank of Canada:4239cf96-37b5-405d-8764-53684b347047,Royal Bank of Canada,Relationship Manager Commercial Markets Intern,"Charlottetown, PE, Canada",Quant,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/CHARLOTTETOWN-Prince-Edward-Island-Canada/Relationship-Manager-Commercial-Markets-ntern-CFS_R-0000181764-1,2026-07-23,2026-07-23T23:17:14+00:00,2026-07-23 16:17 Thu,,false,,,,false,simplify:Simplify Internships:4239cf96-37b5-405d-8764-53684b347047
Royal Bank of Canada:6852e344-03a1-4352-bfc1-e98277cf707f,Royal Bank of Canada,Relationship Manager Commercial Markets Intern - Agriculture,"Oakland, ON, Canada",Quant,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/BRANTFORD-Ontario-Canada/Relationship-Manager-Commercial-Markets-Intern--Agriculture_R-0000178814,2026-07-02,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:6852e344-03a1-4352-bfc1-e98277cf707f
