job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
SambaNova:5831886004,SambaNova, Process & Quality Engineer,"San Jose, California, United States",Hardware,https://sambanova.ai/sambanova-available-positions/?gh_jid=5831886004,2026-08-15T12:12:55-04:00,2026-08-15,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,AI / ML,true,Keyword,46,keyword-only heuristic,false,greenhouse:SambaNova:5831886004
SambaNova:6145186004,SambaNova, Senior Principal Engineer,"Bengaluru, Karnataka, India",Software,https://sambanova.ai/sambanova-available-positions/?gh_jid=6145186004,2026-08-24T15:40:36-04:00,2026-08-24,2026-08-20T20:42:18+00:00,2026-08-20 13:42 Thu,,false,,,,false,greenhouse:SambaNova:6145186004
SambaNova:6145209004,SambaNova, Senior Principal Engineer - SambaRack,"Bengaluru, Karnataka, India",Software,https://sambanova.ai/sambanova-available-positions/?gh_jid=6145209004,2026-08-20T16:38:49-04:00,2026-08-20,2026-08-20T20:50:12+00:00,2026-08-20 13:50 Thu,,false,,,,false,greenhouse:SambaNova:6145209004
SambaNova:6145198004,SambaNova, Software Architect - SambaRack,"Bengaluru, Karnataka, India",Software,https://sambanova.ai/sambanova-available-positions/?gh_jid=6145198004,2026-08-20T16:38:39-04:00,2026-08-20,2026-08-20T20:42:18+00:00,2026-08-20 13:42 Thu,,false,,,,false,greenhouse:SambaNova:6145198004
SambaNova:6146328004,SambaNova,AI Hardware System Architect,"San Jose, California, United States",Hardware,https://sambanova.ai/sambanova-available-positions/?gh_jid=6146328004,2026-08-26T12:31:07-04:00,2026-08-26,2026-08-18T19:52:16+00:00,2026-08-18 12:52 Tue,,false,,,,false,greenhouse:SambaNova:6146328004
SambaNova:6115124004,SambaNova,AI Systems Performance Engineer - New Graduate,"San Jose, California, United States",,https://sambanova.ai/sambanova-available-positions/?gh_jid=6115124004,2026-07-31T20:23:34-04:00,2026-07-31,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,AI / ML,true,Keyword,70,keyword-only heuristic,true,greenhouse:SambaNova:6115124004
SambaNova:6110254004,SambaNova,ASIC Network Architect,"Austin, Texas, United States; Remote - US; San Jose, California, United States",Hardware,https://sambanova.ai/sambanova-available-positions/?gh_jid=6110254004,2026-08-15T18:56:04-04:00,2026-08-15,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,greenhouse:SambaNova:6110254004
SambaNova:5719049004,SambaNova,Cloud Platform Architect,"San Jose, California, United States",Software,https://sambanova.ai/sambanova-available-positions/?gh_jid=5719049004,2026-08-19T11:18:08-04:00,2026-08-19,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,greenhouse:SambaNova:5719049004
SambaNova:6145183004,SambaNova,Cloud Platform Architect,"Bengaluru, Karnataka, India",Software,https://sambanova.ai/sambanova-available-positions/?gh_jid=6145183004,2026-08-20T16:38:04-04:00,2026-08-20,2026-08-19T16:49:27+00:00,2026-08-19 09:49 Wed,,false,,,,false,greenhouse:SambaNova:6145183004
SambaNova:6149146004,SambaNova,Cloud Platform Architect,"Bengaluru, Karnataka, India",Software,https://sambanova.ai/sambanova-available-positions/?gh_jid=6149146004,2026-08-24T12:14:05-04:00,2026-08-24,2026-08-21T17:50:15+00:00,2026-08-21 10:50 Fri,,false,,,,false,greenhouse:SambaNova:6149146004
SambaNova:6105132004,SambaNova,Cloud Platform Engineer,"Bengaluru, Karnataka, India",Software,https://sambanova.ai/sambanova-available-positions/?gh_jid=6105132004,2026-08-19T11:02:54-04:00,2026-08-19,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,greenhouse:SambaNova:6105132004
SambaNova:5983754004,SambaNova,Cloud Site Reliability Engineer,"San Jose, California, United States",Hardware Engineering,https://sambanova.ai/sambanova-available-positions/?gh_jid=5983754004,2026-07-31T20:23:34-04:00,2026-07-31,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,AI / ML,true,Keyword,70,keyword-only heuristic,true,greenhouse:SambaNova:5983754004
SambaNova:5719056004,SambaNova,Compiler Architect,"San Jose, California, United States",Software,https://sambanova.ai/sambanova-available-positions/?gh_jid=5719056004,2026-08-28T10:47:39-04:00,2026-08-28,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,greenhouse:SambaNova:5719056004
SambaNova:6140494004,SambaNova,Contract Manufacturing Program Manager,"San Jose, California, United States",Hardware,https://sambanova.ai/sambanova-available-positions/?gh_jid=6140494004,2026-08-18T16:42:22-04:00,2026-08-18,2026-08-10T23:41:16+00:00,2026-08-10 16:41 Mon,AI / ML,true,Keyword,43,keyword-only heuristic,false,greenhouse:SambaNova:6140494004
SambaNova:6114166004,SambaNova,Customer Success Manager,"London, England, United Kingdom",Customer Success,https://sambanova.ai/sambanova-available-positions/?gh_jid=6114166004,2026-08-04T17:39:58-04:00,2026-08-04,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,greenhouse:SambaNova:6114166004
SambaNova:6114176004,SambaNova,Customer Success Manager,Remote - US,Customer Success,https://sambanova.ai/sambanova-available-positions/?gh_jid=6114176004,2026-08-04T17:39:58-04:00,2026-08-04,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,greenhouse:SambaNova:6114176004
SambaNova:6146513004,SambaNova,Customer Success Operations Engineer,"San Jose, California, United States",Operations,https://sambanova.ai/sambanova-available-positions/?gh_jid=6146513004,2026-08-18T15:18:47-04:00,2026-08-18,2026-08-18T19:52:16+00:00,2026-08-18 12:52 Tue,,false,,,,false,greenhouse:SambaNova:6146513004
SambaNova:6146139004,SambaNova,Design Verification Engineer,"San Jose, California, United States",Hardware,https://sambanova.ai/sambanova-available-positions/?gh_jid=6146139004,2026-08-18T15:26:58-04:00,2026-08-18,2026-08-18T19:52:16+00:00,2026-08-18 12:52 Tue,,false,,,,false,greenhouse:SambaNova:6146139004
SambaNova:6133780004,SambaNova,Director - Technical Accounting & General Ledger,"San Jose, California, United States",Accounting & Finance,https://sambanova.ai/sambanova-available-positions/?gh_jid=6133780004,2026-08-05T12:39:06-04:00,2026-08-05,2026-08-04T00:41:30+00:00,2026-08-03 17:41 Mon,,false,,,,false,greenhouse:SambaNova:6133780004
SambaNova:6145376004,SambaNova,Director of ASIC Design Verification,"San Jose, California, United States",Hardware,https://sambanova.ai/sambanova-available-positions/?gh_jid=6145376004,2026-08-19T13:33:02-04:00,2026-08-19,2026-08-19T17:41:28+00:00,2026-08-19 10:41 Wed,,false,,,,false,greenhouse:SambaNova:6145376004
SambaNova:6144537004,SambaNova,Field & Partner Marketing Manager,Singapore,Marketing,https://sambanova.ai/sambanova-available-positions/?gh_jid=6144537004,2026-08-14T14:57:43-04:00,2026-08-14,2026-08-14T19:12:48+00:00,2026-08-14 12:12 Fri,,false,,,,false,greenhouse:SambaNova:6144537004
SambaNova:6144556004,SambaNova,Field & Partner Marketing Manager,"Tokyo Prefecture, Japan",Marketing,https://sambanova.ai/sambanova-available-positions/?gh_jid=6144556004,2026-08-14T15:15:49-04:00,2026-08-14,2026-08-14T19:20:01+00:00,2026-08-14 12:20 Fri,,false,,,,false,greenhouse:SambaNova:6144556004
