job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
SBT Global:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015225516-jr-ai-developer-korean-bilingual-must?oga=true,SBT Global,Jr. AI Developer - Korean Bilingual MUST,"Plano, TX",,https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015225516-jr-ai-developer-korean-bilingual-must?oga=true,,,2026-09-14T18:17:09+00:00,2026-09-14 11:17 Mon,AI / ML,true,CLI:claude,20,候選人具備扎實的電腦視覺與AI背景，領域相符，但職缺明確要求韓語雙語能力而履歷中並無韓語相關技能，且該職缺定位為Jr.等級與其5年資歷不甚匹配，故適配度偏低。,true,speedyapply:SpeedyApply SWE:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015225516-jr-ai-developer-korean-bilingual-must?oga=true,
SBT Global:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015227606-jr-ai-developer-korean-bilingual-must?oga=true,SBT Global,Jr. AI Developer - Korean Bilingual MUST,"Plano, TX",,https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015227606-jr-ai-developer-korean-bilingual-must?oga=true,,,2026-09-14T18:17:09+00:00,2026-09-14 11:17 Mon,AI / ML,true,CLI:claude,5,此職缺明確要求Korean Bilingual MUST，而履歷中未顯示韓語能力，儘管候選人具備CV與AI相關技術背景，仍難以滿足此硬性語言門檻。,true,speedyapply:SpeedyApply SWE:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015227606-jr-ai-developer-korean-bilingual-must?oga=true,
SBT Global:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990014439091-jr-java-developer?oga=true,SBT Global,Jr. Java Developer,"Plano, TX",,https://jobs.smartrecruiters.com/SBTGlobalInc/3743990014439091-jr-java-developer?oga=true,,,2026-08-05T14:41:47+00:00,2026-08-05 07:41 Wed,Other Technical,true,CLI,45,"The candidate has strong software engineering fundamentals and some Java experience through teaching and OOP coursework, but limited professional Java development experience and a background primarily focused on computer vision, C++, Python, and backend systems.",false,speedyapply:SpeedyApply SWE:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990014439091-jr-java-developer?oga=true,
SBT Global:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015264126-jr-java-developer-korean-bilingual-?oga=true,SBT Global,Jr. Java Developer - Korean Bilingual,"Plano, TX",,https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015264126-jr-java-developer-korean-bilingual-?oga=true,,,2026-09-16T16:41:16+00:00,2026-09-16 09:41 Wed,Other Technical,true,CLI:claude,3,該職缺為Java後端開發且要求韓語雙語能力，與候選人專精的Computer Vision及ML演算法背景幾乎無關，職缺描述亦無任何內容可供進一步評估，故契合度極低。,true,speedyapply:SpeedyApply SWE:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015264126-jr-java-developer-korean-bilingual-?oga=true,
SBT Global:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015663166-jr-java-developer-korean-bilingual-?oga=true,SBT Global,Jr. Java Developer - Korean Bilingual,"Plano, TX",,https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015663166-jr-java-developer-korean-bilingual-?oga=true,,,2026-09-25T17:08:41+00:00,2026-09-25 10:08 Fri,Other Technical,true,Keyword,56,僅以關鍵字比對評分（只比對職稱）,true,speedyapply:SpeedyApply SWE:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990015663166-jr-java-developer-korean-bilingual-?oga=true,
SBT Global:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990013526926-junior-data-analyst-operations-sales-analytics-?oga=true,SBT Global,Junior Data Analyst - Operations / Sales Analytics,"Cerritos, CA, us",,https://jobs.smartrecruiters.com/SBTGlobalInc/3743990013526926-junior-data-analyst-operations-sales-analytics-?oga=true,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990013526926-junior-data-analyst-operations-sales-analytics-?oga=true,
SBT Global:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990013715446-junior-data-analyst-operations-sales-analytics-?oga=true,SBT Global,Junior Data Analyst - Operations / Sales Analytics,"Cerritos, CA, us",,https://jobs.smartrecruiters.com/SBTGlobalInc/3743990013715446-junior-data-analyst-operations-sales-analytics-?oga=true,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990013715446-junior-data-analyst-operations-sales-analytics-?oga=true,
SBT Global:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990014115606-junior-full-stack-developer-bilingual-in-korean?oga=true,SBT Global,Junior Full Stack Developer - Bilingual in Korean,"Plano, TX",,https://jobs.smartrecruiters.com/SBTGlobalInc/3743990014115606-junior-full-stack-developer-bilingual-in-korean?oga=true,,,2026-07-16T14:17:41+00:00,2026-07-16 07:17 Thu,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990014115606-junior-full-stack-developer-bilingual-in-korean?oga=true,
SBT Global:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990014116306-junior-full-stack-developer-bilingual-in-korean?oga=true,SBT Global,Junior Full Stack Developer - Bilingual in Korean,"Plano, TX",,https://jobs.smartrecruiters.com/SBTGlobalInc/3743990014116306-junior-full-stack-developer-bilingual-in-korean?oga=true,,,2026-07-16T14:17:41+00:00,2026-07-16 07:17 Thu,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990014116306-junior-full-stack-developer-bilingual-in-korean?oga=true,
SBT Global:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990012627536--junior-web-developer-bilingual-in-korean-?oga=true,SBT Global,Junior Web Developer - Bilingual in Korean,"Englewood Cliffs, NJ",,https://jobs.smartrecruiters.com/SBTGlobalInc/3743990012627536--junior-web-developer-bilingual-in-korean-?oga=true,,,2026-07-22T14:17:42+00:00,2026-07-22 07:17 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://jobs.smartrecruiters.com/SBTGlobalInc/3743990012627536--junior-web-developer-bilingual-in-korean-?oga=true,
