job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Associate-Software-Engineer_2026-21564,SEL,Associate Embedded Software Engineer,Washington Pullman,,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Associate-Software-Engineer_2026-21564,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Associate-Software-Engineer_2026-21564
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Associate-Firmware-Engineer_2026-22257,SEL,Associate Firmware Engineer,"Boise, ID",,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Associate-Firmware-Engineer_2026-22257,,2026-08-12T13:42:08+00:00,2026-08-12 06:42 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Associate-Firmware-Engineer_2026-22257
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Associate-Software-Engineer_2026-21012-1,SEL,Associate Software Engineer,Washington Pullman,,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Associate-Software-Engineer_2026-21012-1,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Associate-Software-Engineer_2026-21012-1
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Associate-Software-Engineer_2026-21244,SEL,Associate Software Engineer,Washington Pullman,,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Associate-Software-Engineer_2026-21244,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Associate-Software-Engineer_2026-21244
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Associate-Software-Engineer_2026-21552,SEL,Associate Software Engineer,"Boise, ID",,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Associate-Software-Engineer_2026-21552,,2026-07-15T14:17:27+00:00,2026-07-15 07:17 Wed,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Associate-Software-Engineer_2026-21552
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Data-Analyst-Intern_2026-21105,SEL,Data Analyst Intern,"Washington, DC +1",,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Data-Analyst-Intern_2026-21105,,2026-08-12T13:42:08+00:00,2026-08-12 06:42 Wed,,false,,,,false,speedyapply:SpeedyApply AI:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Data-Analyst-Intern_2026-21105
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Firmware-Engineer---Linux-C--_2026-19758,SEL,Firmware Engineer - Linux/C++,"Boise, ID",,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Firmware-Engineer---Linux-C--_2026-19758,,2026-08-05T14:41:47+00:00,2026-08-05 07:41 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Firmware-Engineer---Linux-C--_2026-19758
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Texas---Round-Rock/Software-Engineer-Intern_2026-21720,SEL,Software Engineer Intern,"Texas, USA +1",,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Texas---Round-Rock/Software-Engineer-Intern_2026-21720,,2026-07-09T15:36:11+00:00,2026-07-09 08:36 Thu,Software Engineering,true,CLI,70,"Candidate is credible for a software engineering internship with strong Python/C++/backend/testing experience and current MS studies, but the posting lacks details and shows no clear match to SEL-specific power systems, embedded, or industrial software domain.",true,speedyapply:SpeedyApply SWE:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Texas---Round-Rock/Software-Engineer-Intern_2026-21720
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Software-Engineer-Intern_2026-21720,SEL,Software Engineer Intern,"Washington, DC +1",,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Software-Engineer-Intern_2026-21720,,2026-07-16T14:17:41+00:00,2026-07-16 07:17 Thu,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Software-Engineer-Intern_2026-21720
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Software-Engineer-Intern_2026-22321,SEL,Software Engineer Intern,"Boise, ID",,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Software-Engineer-Intern_2026-22321,,2026-07-23T14:32:01+00:00,2026-07-23 07:32 Thu,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Idaho---Boise/Software-Engineer-Intern_2026-22321
SEL:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Software-Engineering-Intern--AI-Focus-_2026-22601,SEL,Software Engineering Intern - AI Focus,"Washington, DC +1",,https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Software-Engineering-Intern--AI-Focus-_2026-22601,,2026-08-13T13:42:07+00:00,2026-08-13 06:42 Thu,AI / ML,true,CLI,85,"The candidate strongly fits an AI-focused software engineering internship through extensive Python/C++ development, computer vision, deep learning, reinforcement learning, backend systems, testing automation, and current graduate study, though the missing job description prevents assessing role-specific requirements.",true,speedyapply:SpeedyApply SWE:https://selinc.wd1.myworkdayjobs.com/en-US/sel/job/Washington---Pullman/Software-Engineering-Intern--AI-Focus-_2026-22601
