job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
SharkNinja:https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4680287006,SharkNinja,Applied AI & Analytics Associate Opportunities,"Needham, MA, United States",,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4680287006,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4680287006
SharkNinja:d4f62e21-4bd0-4754-9ae0-0f63ab6272e7,SharkNinja,Applied AI & Analytics Co-op,"Miami, FL",AI/ML/Data,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4669676006,2026-04-02,2026-04-02,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:d4f62e21-4bd0-4754-9ae0-0f63ab6272e7|speedyapply:SpeedyApply AI:https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4669676006|simplify:Simplify Internships:4669676006
SharkNinja:4707165006,SharkNinja,Associate Product Developer - Corded/Cordless,"Needham, MA",,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4707165006,,,2026-08-30T16:41:25+00:00,2026-08-30 09:41 Sun,Other Technical,true,Keyword,48,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:4707165006
SharkNinja:4701492006,SharkNinja,Associate Product Developer - Floorcare,"Needham, MA",,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4701492006,,,2026-08-28T22:17:38+00:00,2026-08-28 15:17 Fri,Other Technical,true,Keyword,48,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:4701492006
SharkNinja:https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4696640006,SharkNinja,Associate Product Developer - Home Environment,"Needham, MA",,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4696640006,,,2026-07-22T14:17:42+00:00,2026-07-22 07:17 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4696640006
SharkNinja:4702969006,SharkNinja,Associate Product Developer - Indoor Heated,"Needham, MA",,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4702969006,,,2026-08-11T13:41:52+00:00,2026-08-11 06:41 Tue,Other Technical,true,CLI,8,"The candidate has strong software, computer vision, and algorithm engineering experience but lacks relevant consumer product development, heated-product, or hardware design experience for this role.",false,speedyapply:SpeedyApply SWE:4702969006
SharkNinja:4703760006,SharkNinja,Associate Product Developer - Ninja APAC,"Needham, MA",,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4703760006,,,2026-08-11T13:41:52+00:00,2026-08-11 06:41 Tue,Other Technical,true,CLI,25,"The candidate has strong software, computer vision, and algorithm engineering experience but lacks clear experience in consumer product development, hardware, manufacturing, or APAC product management required for this role.",false,speedyapply:SpeedyApply SWE:4703760006
SharkNinja:https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4695485006,SharkNinja,Associate Product Developer - Skincare,"Needham, MA",,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4695485006,,,2026-07-22T14:17:42+00:00,2026-07-22 07:17 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4695485006
SharkNinja:https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4695489006,SharkNinja,Associate Product Developer- Ninja Motorized,"Needham, MA",,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4695489006,,,2026-07-22T14:17:42+00:00,2026-07-22 07:17 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4695489006
SharkNinja:278bc4d9-086a-49c0-bd73-d6dc29d652f9,SharkNinja,Codeshark,"Needham, MA",Software,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4695627006,2026-07-08,2026-07-08,2026-07-08T23:12:06+00:00,2026-07-08 16:12 Wed,,false,,,,false,simplify:Simplify Internships:278bc4d9-086a-49c0-bd73-d6dc29d652f9|simplify:Simplify Internships:4695627006
