job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Snap:/job/Product-Manager--Sponsored-AR_R0046130-1,Snap,,,,https://snapchat.wd1.myworkdayjobs.com/en-US/snap/job/Product-Manager--Sponsored-AR_R0046130-1,,2026-07-10T22:12:57+00:00,2026-07-10 15:12 Fri,,false,,,,false,workday:Snap:/job/Product-Manager--Sponsored-AR_R0046130-1
Snap:/job/Los-Angeles-California/Account-Manager_Q326AM3-1,Snap,Account Manager,5 Locations,,https://snapchat.wd1.myworkdayjobs.com/en-US/snap/job/Los-Angeles-California/Account-Manager_Q326AM3-1,Posted 9 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Snap:/job/Los-Angeles-California/Account-Manager_Q326AM3-1
Snap:/job/Tel-Aviv---Israel/Account-Manager_R0043094,Snap,Account Manager - CEE Region,Tel Aviv - Israel,,https://snapchat.wd1.myworkdayjobs.com/en-US/snap/job/Tel-Aviv---Israel/Account-Manager_R0043094,Posted 17 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Snap:/job/Tel-Aviv---Israel/Account-Manager_R0043094
Snap:/job/Beijing-China/Account-Manager--Business-Development_R0046099-1,Snap,"Account Manager, Business Development",2 Locations,,https://snapchat.wd1.myworkdayjobs.com/en-US/snap/job/Beijing-China/Account-Manager--Business-Development_R0046099-1,Posted 2 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Snap:/job/Beijing-China/Account-Manager--Business-Development_R0046099-1
Snap:/job/Beijing-China/Account-Manager--Business-Development_R0046100-1,Snap,"Account Manager, Business Development",2 Locations,,https://snapchat.wd1.myworkdayjobs.com/en-US/snap/job/Beijing-China/Account-Manager--Business-Development_R0046100-1,Posted 2 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Snap:/job/Beijing-China/Account-Manager--Business-Development_R0046100-1
Snap:/job/Beijing-China/Account-Manager--Gaming---Apps_R0046065-2,Snap,"Account Manager, Gaming & Apps",2 Locations,,https://snapchat.wd1.myworkdayjobs.com/en-US/snap/job/Beijing-China/Account-Manager--Gaming---Apps_R0046065-2,Posted 4 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Snap:/job/Beijing-China/Account-Manager--Gaming---Apps_R0046065-2
Snap:/job/Chandler---300-N-56th-St/Accounts-Receivable-Analyst_R0045979-1,Snap,Accounts Receivable Analyst,Chandler - 300 N 56th St,,https://snapchat.wd1.myworkdayjobs.com/en-US/snap/job/Chandler---300-N-56th-St/Accounts-Receivable-Analyst_R0045979-1,Posted 14 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Snap:/job/Chandler---300-N-56th-St/Accounts-Receivable-Analyst_R0045979-1
Snap:/job/Palo-Alto-California/Advanced-Manufacturing-Engineer_R0045855-1,Snap,Advanced SMT Design Manufacturing Engineer,"Palo Alto, California",,https://snapchat.wd1.myworkdayjobs.com/en-US/snap/job/Palo-Alto-California/Advanced-Manufacturing-Engineer_R0045855-1,Posted 17 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Snap:/job/Palo-Alto-California/Advanced-Manufacturing-Engineer_R0045855-1
Snap:/job/New-York-New-York/Agency-Partner_R0045546-2,Snap,Agency Partner,"New York, New York",,https://snapchat.wd1.myworkdayjobs.com/en-US/snap/job/New-York-New-York/Agency-Partner_R0045546-2,Posted 16 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Snap:/job/New-York-New-York/Agency-Partner_R0045546-2
Snap:/job/Los-Angeles-California/AR-Engineer--Level-4_R0043448,Snap,"AR Engineer, Level 4","Los Angeles, California",,https://snapchat.wd1.myworkdayjobs.com/en-US/snap/job/Los-Angeles-California/AR-Engineer--Level-4_R0043448,Posted 17 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Snap:/job/Los-Angeles-California/AR-Engineer--Level-4_R0043448
