job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Snowflake:f6d40ad9-da07-477e-8f4f-e29e67e65f6b,Snowflake, Engineering Manager - SnowConvert AI ,US-CA-Menlo Park,Engineering,https://jobs.ashbyhq.com/snowflake/f6d40ad9-da07-477e-8f4f-e29e67e65f6b,2026-03-15T02:47:43.158+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:f6d40ad9-da07-477e-8f4f-e29e67e65f6b
Snowflake:0c0b8a99-ec28-4a91-bfac-a21ced8cbe3b,Snowflake, Technical Account Manager,US-CA-Menlo Park,Solution Engineering,https://jobs.ashbyhq.com/snowflake/0c0b8a99-ec28-4a91-bfac-a21ced8cbe3b,2026-05-21T15:18:57.003+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:0c0b8a99-ec28-4a91-bfac-a21ced8cbe3b
Snowflake:e47266d7-0e40-4c19-9007-730222ddc3ad,Snowflake,Account Based Marketing Manager ,FR-Paris,Marketing,https://jobs.ashbyhq.com/snowflake/e47266d7-0e40-4c19-9007-730222ddc3ad,2026-02-19T08:48:39.628+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:e47266d7-0e40-4c19-9007-730222ddc3ad
Snowflake:7219c781-c9c4-48d2-a47c-113253e33f5d,Snowflake,Account Engineer,US-CO-Denver,Solution Engineering,https://jobs.ashbyhq.com/snowflake/7219c781-c9c4-48d2-a47c-113253e33f5d,2026-07-10T16:56:01.606+00:00,2026-07-10T17:13:13+00:00,2026-07-10 10:13 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,ashby:Snowflake:7219c781-c9c4-48d2-a47c-113253e33f5d
Snowflake:1d1bf5f2-f764-4a01-ada2-cfa853e30db0,Snowflake,Account Executive,BE-Belgium-Remote,Sales,https://jobs.ashbyhq.com/snowflake/1d1bf5f2-f764-4a01-ada2-cfa853e30db0,2026-03-17T15:30:47.227+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:1d1bf5f2-f764-4a01-ada2-cfa853e30db0
Snowflake:7f07e261-e83e-496c-b7fa-99bf1f1f317f,Snowflake,Account Executive,NL-Amsterdam,Sales,https://jobs.ashbyhq.com/snowflake/7f07e261-e83e-496c-b7fa-99bf1f1f317f,2026-03-19T08:49:42.204+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:7f07e261-e83e-496c-b7fa-99bf1f1f317f
Snowflake:058c268d-b7ab-4728-bc43-13e8dfb0b54f,Snowflake,Account Executive (Acquisition),DE-Germany-Remote,Sales,https://jobs.ashbyhq.com/snowflake/058c268d-b7ab-4728-bc43-13e8dfb0b54f,2026-03-25T10:42:40.146+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:058c268d-b7ab-4728-bc43-13e8dfb0b54f
Snowflake:6161d7ee-d0ff-4f5b-b7e3-39422c3766e3,Snowflake,Account Executive - Acquisition,NO-Oslo-MSO,Sales,https://jobs.ashbyhq.com/snowflake/6161d7ee-d0ff-4f5b-b7e3-39422c3766e3,2026-05-01T08:35:55.407+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:6161d7ee-d0ff-4f5b-b7e3-39422c3766e3
Snowflake:8fb70cca-f3fd-4b57-a5dd-4df51fd08b25,Snowflake,Account Executive - Eastern Europe,PL-Warsaw,Sales,https://jobs.ashbyhq.com/snowflake/8fb70cca-f3fd-4b57-a5dd-4df51fd08b25,2026-04-27T12:36:31.505+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:8fb70cca-f3fd-4b57-a5dd-4df51fd08b25
Snowflake:ec9a5585-8ceb-4f19-bef5-06fd1b4fd012,Snowflake,Account Executive - Insurance,GB-London,Sales,https://jobs.ashbyhq.com/snowflake/ec9a5585-8ceb-4f19-bef5-06fd1b4fd012,2026-07-07T11:49:22.706+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:ec9a5585-8ceb-4f19-bef5-06fd1b4fd012
Snowflake:9cd847f4-8972-4496-ad60-3adae939dc13,Snowflake,Account Executive - Public Safety,GB-London,Sales,https://jobs.ashbyhq.com/snowflake/9cd847f4-8972-4496-ad60-3adae939dc13,2026-07-10T08:40:07.810+00:00,2026-07-10T08:54:04+00:00,2026-07-10 01:54 Fri,,false,,,,false,ashby:Snowflake:9cd847f4-8972-4496-ad60-3adae939dc13
Snowflake:70784d9e-fddb-4e3a-a4e2-2a4f4f197efe,Snowflake,"Account Executive - Retail, CPG,Telco, Media,Travel & Hospitality",FR-Paris,Sales,https://jobs.ashbyhq.com/snowflake/70784d9e-fddb-4e3a-a4e2-2a4f4f197efe,2026-06-22T15:17:31.360+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:70784d9e-fddb-4e3a-a4e2-2a4f4f197efe
Snowflake:7f726564-1ee7-4100-a95b-a00f780be810,Snowflake,Account Executive Energy & Utilities,FR-Paris,Sales,https://jobs.ashbyhq.com/snowflake/7f726564-1ee7-4100-a95b-a00f780be810,2026-06-12T12:32:14.532+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:7f726564-1ee7-4100-a95b-a00f780be810
Snowflake:13d8050a-c722-432f-add8-7910769f326e,Snowflake,Account Executive Public Sector,DE-Germany-Remote,Sales,https://jobs.ashbyhq.com/snowflake/13d8050a-c722-432f-add8-7910769f326e,2026-06-24T14:55:03.421+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:13d8050a-c722-432f-add8-7910769f326e
Snowflake:70fa522f-acbd-467e-aa1d-ddcf078bb256,Snowflake,"Account Executive, Commercial",US-GA-Atlanta,Sales,https://jobs.ashbyhq.com/snowflake/70fa522f-acbd-467e-aa1d-ddcf078bb256,2026-04-14T22:02:48.922+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:70fa522f-acbd-467e-aa1d-ddcf078bb256
Snowflake:81e250e5-bfa8-40a7-b494-076dd2e8b203,Snowflake,"Account Executive, Commercial",US-CO-Denver,Sales,https://jobs.ashbyhq.com/snowflake/81e250e5-bfa8-40a7-b494-076dd2e8b203,2026-06-26T15:39:09.929+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:81e250e5-bfa8-40a7-b494-076dd2e8b203
Snowflake:e54a25b6-e16c-44a1-bc2d-2478c152028b,Snowflake,"Account Executive, Commercial",US-WA-Bellevue,Sales,https://jobs.ashbyhq.com/snowflake/e54a25b6-e16c-44a1-bc2d-2478c152028b,2026-03-11T14:05:09.002+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:e54a25b6-e16c-44a1-bc2d-2478c152028b
Snowflake:3c70af1c-3624-42b3-8fb3-c0c3e6b4bcb3,Snowflake,"Account Executive, Commercial",US-CA-Menlo Park,Sales,https://jobs.ashbyhq.com/snowflake/3c70af1c-3624-42b3-8fb3-c0c3e6b4bcb3,2026-07-10T16:42:06.380+00:00,2026-07-10T16:55:00+00:00,2026-07-10 09:55 Fri,,false,,,,false,ashby:Snowflake:3c70af1c-3624-42b3-8fb3-c0c3e6b4bcb3
Snowflake:3d325034-0be3-4833-a96a-d15186bfff1b,Snowflake,"Account Executive, Commercial Acquisition",US-CA-Menlo Park,Sales,https://jobs.ashbyhq.com/snowflake/3d325034-0be3-4833-a96a-d15186bfff1b,2026-07-02T19:24:53.857+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:3d325034-0be3-4833-a96a-d15186bfff1b
Snowflake:5eaf01e1-8cbe-4268-8aac-5dc73d3fac0c,Snowflake,"Account Executive, Enterprise Acquisition",US-WA-Bellevue,Sales,https://jobs.ashbyhq.com/snowflake/5eaf01e1-8cbe-4268-8aac-5dc73d3fac0c,2026-05-04T17:26:53.974+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:5eaf01e1-8cbe-4268-8aac-5dc73d3fac0c
Snowflake:ee9bfed4-2161-4041-a92e-e244e2fbc39f,Snowflake,"Account Executive, Enterprise Acquisition",CA-Alberta-Remote,Sales,https://jobs.ashbyhq.com/snowflake/ee9bfed4-2161-4041-a92e-e244e2fbc39f,2026-01-22T05:02:27.502+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:ee9bfed4-2161-4041-a92e-e244e2fbc39f
Snowflake:187636a5-76ad-4e3a-81d2-c8c7eb4aa049,Snowflake,"Account Executive, Enterprise Acquisition",US-OH-Remote,Sales,https://jobs.ashbyhq.com/snowflake/187636a5-76ad-4e3a-81d2-c8c7eb4aa049,2026-07-09T14:31:58.362+00:00,2026-07-09T14:36:18+00:00,2026-07-09 07:36 Thu,,false,,,,false,ashby:Snowflake:187636a5-76ad-4e3a-81d2-c8c7eb4aa049
Snowflake:274a32ad-6f89-4dcb-861b-fb652b64144f,Snowflake,"Account Executive, Enterprise Acquisition ",AU-Sydney,Sales,https://jobs.ashbyhq.com/snowflake/274a32ad-6f89-4dcb-861b-fb652b64144f,2026-07-08T05:40:42.889+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:274a32ad-6f89-4dcb-861b-fb652b64144f
Snowflake:cfefa776-46f0-4a8c-81c8-85f6496925ea,Snowflake,"Account Executive, Enterprise Acquistion",US-CA-Menlo Park,Sales,https://jobs.ashbyhq.com/snowflake/cfefa776-46f0-4a8c-81c8-85f6496925ea,2026-06-04T14:20:40.138+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:cfefa776-46f0-4a8c-81c8-85f6496925ea
Snowflake:eb1032be-3c06-4a37-820b-e111649788d9,Snowflake,"Account Executive, Enterprise Growth",US-IL-Remote,Sales,https://jobs.ashbyhq.com/snowflake/eb1032be-3c06-4a37-820b-e111649788d9,2026-06-24T18:45:24.559+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:eb1032be-3c06-4a37-820b-e111649788d9
Snowflake:a6b5c8d4-bb8e-475f-a442-ad0f4cb42963,Snowflake,"Account Executive, Higher Education",US-CA-Remote,Sales,https://jobs.ashbyhq.com/snowflake/a6b5c8d4-bb8e-475f-a442-ad0f4cb42963,2026-05-12T18:28:17.350+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:a6b5c8d4-bb8e-475f-a442-ad0f4cb42963
Snowflake:032ed0ac-6b55-4c5f-9095-7371f95e242d,Snowflake,"Account Executive, Latin America",BR-Sao Paulo-WW,Sales,https://jobs.ashbyhq.com/snowflake/032ed0ac-6b55-4c5f-9095-7371f95e242d,2026-06-30T15:22:36.096+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:032ed0ac-6b55-4c5f-9095-7371f95e242d
Snowflake:29849833-beb2-47c1-952e-5c673ba4d74d,Snowflake,"Account Executive, Latin America",CO-Colombia-Remote,Sales,https://jobs.ashbyhq.com/snowflake/29849833-beb2-47c1-952e-5c673ba4d74d,2026-06-16T00:20:09.257+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:29849833-beb2-47c1-952e-5c673ba4d74d
Snowflake:ae2ae74c-08d5-4b0c-9783-7140b8fad70c,Snowflake,"Account Executive, Latin America",CL-Chile-Remote,Sales,https://jobs.ashbyhq.com/snowflake/ae2ae74c-08d5-4b0c-9783-7140b8fad70c,2026-06-16T00:20:46.224+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:ae2ae74c-08d5-4b0c-9783-7140b8fad70c
Snowflake:dc878ba0-062a-496f-8b5a-d40b3210eafc,Snowflake,"Account Executive, Latin America ",MX-Mexico-Remote,Sales,https://jobs.ashbyhq.com/snowflake/dc878ba0-062a-496f-8b5a-d40b3210eafc,2026-03-30T20:07:34.231+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:dc878ba0-062a-496f-8b5a-d40b3210eafc
Snowflake:a7ee69ca-c4e5-4ddb-b74e-e22965961219,Snowflake,"Account Executive, Majors",AU-Melbourne,Sales,https://jobs.ashbyhq.com/snowflake/a7ee69ca-c4e5-4ddb-b74e-e22965961219,2026-05-07T05:05:25.487+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:a7ee69ca-c4e5-4ddb-b74e-e22965961219
Snowflake:084fdac7-90b5-47ea-b26d-debe1fffdad2,Snowflake,"Account Executive, Majors Acquisition",US-LA-Remote,Sales,https://jobs.ashbyhq.com/snowflake/084fdac7-90b5-47ea-b26d-debe1fffdad2,2026-05-04T17:28:18.131+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:084fdac7-90b5-47ea-b26d-debe1fffdad2
Snowflake:9c72fcbe-c6f4-470c-b2ff-9fca085cccfd,Snowflake,"Account Executive, Majors Acquisition",US-GA-Atlanta,Sales,https://jobs.ashbyhq.com/snowflake/9c72fcbe-c6f4-470c-b2ff-9fca085cccfd,2026-07-08T21:05:47.130+00:00,2026-07-08T21:12:15+00:00,2026-07-08 14:12 Wed,,false,,,,false,ashby:Snowflake:9c72fcbe-c6f4-470c-b2ff-9fca085cccfd
Snowflake:1f1e2a38-51f1-4db8-8e88-1559e9693d0e,Snowflake,"Account Executive, Majors, Financial Services",US-NY-New York,Sales,https://jobs.ashbyhq.com/snowflake/1f1e2a38-51f1-4db8-8e88-1559e9693d0e,2026-06-23T17:42:39.524+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:1f1e2a38-51f1-4db8-8e88-1559e9693d0e
Snowflake:f758a184-2575-4505-a054-c87accf58561,Snowflake,"Account Executive, Majors, HCLS ",US-NY-New York City-Remote,Sales,https://jobs.ashbyhq.com/snowflake/f758a184-2575-4505-a054-c87accf58561,2026-05-11T22:02:17.587+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:f758a184-2575-4505-a054-c87accf58561
Snowflake:2fe52ab2-2c7e-4ccf-b8cb-1cab684b3412,Snowflake,"Account Executive, Majors, Healthcare Provider",US-IL-Chicago-MSO,Sales,https://jobs.ashbyhq.com/snowflake/2fe52ab2-2c7e-4ccf-b8cb-1cab684b3412,2026-06-05T18:20:11.466+00:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,ashby:Snowflake:2fe52ab2-2c7e-4ccf-b8cb-1cab684b3412
