job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Standard Bots:1266ad8f-b2a8-41f9-ba83-8a54b9c022f2,Standard Bots,"AI Applications Engineer (Glen Cove, NY)","Glen Cove, NY",Applications Engineering,https://jobs.ashbyhq.com/standardbots/1266ad8f-b2a8-41f9-ba83-8a54b9c022f2,2026-01-23T21:18:08.470+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Standard Bots:1266ad8f-b2a8-41f9-ba83-8a54b9c022f2
Standard Bots:a3cd1d01-66a1-4d2d-9017-876532f4f68c,Standard Bots,AI Research Engineer,"New York City, NY",Software,https://jobs.ashbyhq.com/standardbots/a3cd1d01-66a1-4d2d-9017-876532f4f68c,2026-01-24T06:46:09.354+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Standard Bots:a3cd1d01-66a1-4d2d-9017-876532f4f68c
Standard Bots:dfb843a2-c4e7-4c29-8f72-2fb8c8555062,Standard Bots,Applications Engineering Manager (Boston),"Boston, MA",Applications Engineering,https://jobs.ashbyhq.com/standardbots/dfb843a2-c4e7-4c29-8f72-2fb8c8555062,2026-06-16T17:42:02.820+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Standard Bots:dfb843a2-c4e7-4c29-8f72-2fb8c8555062
Standard Bots:d76f7109-578b-48b5-9ee1-b0526e43e718,Standard Bots,Associate Electrical Engineer (On-site),"Glen Cove, NY",Hardware,https://jobs.ashbyhq.com/standardbots/d76f7109-578b-48b5-9ee1-b0526e43e718,2026-06-17T16:36:57.072+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Standard Bots:d76f7109-578b-48b5-9ee1-b0526e43e718
Standard Bots:feb3766d-7069-45f7-96b4-3c79d4bf27a3,Standard Bots,Brand Growth Lead,New York City,Marketing ,https://jobs.ashbyhq.com/standardbots/feb3766d-7069-45f7-96b4-3c79d4bf27a3,2026-07-09T13:37:32.239+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Standard Bots:feb3766d-7069-45f7-96b4-3c79d4bf27a3
Standard Bots:22f3f040-7c21-478b-9ebc-ed285beb6156,Standard Bots,CAD Designer,"Philadelphia, PA",Implementation,https://jobs.ashbyhq.com/standardbots/22f3f040-7c21-478b-9ebc-ed285beb6156,2026-03-01T16:17:01.655+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Standard Bots:22f3f040-7c21-478b-9ebc-ed285beb6156
Standard Bots:5f1668ca-c44d-469e-aef4-122d822da408,Standard Bots,Executive Assistant ,"Glen Cove, NY",General & Administrative,https://jobs.ashbyhq.com/standardbots/5f1668ca-c44d-469e-aef4-122d822da408,2026-07-17T19:57:50.350+00:00,2026-07-17T20:17:32+00:00,2026-07-17 13:17 Fri,,false,,,,false,ashby:Standard Bots:5f1668ca-c44d-469e-aef4-122d822da408
Standard Bots:b07bcb4d-1e90-406e-a80e-88b614c68cb4,Standard Bots,Facilities & Capital Projects Manager ,"Glen Cove, NY",Manufacturing Operations,https://jobs.ashbyhq.com/standardbots/b07bcb4d-1e90-406e-a80e-88b614c68cb4,2026-07-06T15:15:34.686+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Standard Bots:b07bcb4d-1e90-406e-a80e-88b614c68cb4
Standard Bots:e962b87e-3e20-4c87-8344-29e97ac92881,Standard Bots,Field Service Technician ,US (Remote),Applications Engineering,https://jobs.ashbyhq.com/standardbots/e962b87e-3e20-4c87-8344-29e97ac92881,2026-05-08T18:30:50.841+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Standard Bots:e962b87e-3e20-4c87-8344-29e97ac92881
Standard Bots:0702798d-b50b-4630-8d4f-feeb23e2a843,Standard Bots,General Counsel ,"New York City, NY",Operations,https://jobs.ashbyhq.com/standardbots/0702798d-b50b-4630-8d4f-feeb23e2a843,2026-07-15T11:41:37.152+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Standard Bots:0702798d-b50b-4630-8d4f-feeb23e2a843
