job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Stryker:c3266d6e-c488-4eef-899d-7b513296dd3b,Stryker,Commercial Operations Software Engineer Intern,"Flower Mound, TX",Software,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Flower-Mound-Texas/Commercial-Operations-Software-Engineering-Intern---Flower-Mound--TX_R572941,2026-09-02,2026-09-02,2026-09-03T05:41:27+00:00,2026-09-02 22:41 Wed,AI / ML,true,CLI,85,"Strong fit through current AI master's enrollment, computer science background, software automation, process improvement, data analysis, healthcare-related experience, leadership, and cross-functional collaboration, though Microsoft Office proficiency and commercial operations experience are not demonstrated.",true,simplify:Simplify Internships:c3266d6e-c488-4eef-899d-7b513296dd3b
Stryker:https://stryker.wd1.myworkdayjobs.com/en-US/strykercareers/job/Flower-Mound-Texas/Commercial-Operations-Software-Engineering-Intern---Flower-Mound--TX_R572941,Stryker,Commercial Operations Software Engineering Intern - Flower Mound - TX,"Flower Mound, TX",,https://stryker.wd1.myworkdayjobs.com/en-US/strykercareers/job/Flower-Mound-Texas/Commercial-Operations-Software-Engineering-Intern---Flower-Mound--TX_R572941,,,2026-09-04T16:16:54+00:00,2026-09-04 09:16 Fri,AI / ML,true,CLI,78,"Strong fit through current AI master’s enrollment, software engineering, automation, data analysis, process improvement, healthcare-related experience, and demonstrated collaboration, though direct commercial operations and Microsoft Office experience are not shown.",true,speedyapply:SpeedyApply SWE:https://stryker.wd1.myworkdayjobs.com/en-US/strykercareers/job/Flower-Mound-Texas/Commercial-Operations-Software-Engineering-Intern---Flower-Mound--TX_R572941
Stryker:https://stryker.wd1.myworkdayjobs.com/en-US/strykercareers/job/Cary-Illinois/Customer-One-Intern--Data-Analyst----Cary--IL_R572734,Stryker,Customer One Intern - Data Analyst - Cary - IL,"Cary, IL",,https://stryker.wd1.myworkdayjobs.com/en-US/strykercareers/job/Cary-Illinois/Customer-One-Intern--Data-Analyst----Cary--IL_R572734,,,2026-09-05T14:58:33+00:00,2026-09-05 07:58 Sat,,false,,,,false,speedyapply:SpeedyApply AI:https://stryker.wd1.myworkdayjobs.com/en-US/strykercareers/job/Cary-Illinois/Customer-One-Intern--Data-Analyst----Cary--IL_R572734
Stryker:302e6ed8-0e34-4d81-bd75-93f9c018883c,Stryker,Data Analyst Intern,"Cary, IL",AI/ML/Data,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Cary-Illinois/Customer-One-Intern--Data-Analyst----Cary--IL_R572734,2026-09-04,2026-09-04,2026-09-04T23:16:41+00:00,2026-09-04 16:16 Fri,Computer Vision,true,CLI,72,"The candidate meets the degree, healthcare, data-processing, programming, problem-solving, and process-automation requirements with strong technical experience, but has limited direct evidence of sales analytics, dashboards, Microsoft Office, and business-facing reporting.",true,simplify:Simplify Internships:302e6ed8-0e34-4d81-bd75-93f9c018883c
Stryker:a980e8b0-12fe-45eb-9fa2-697b990375e7,Stryker,Data Analytics Intern - Multiple Teams,"Portage, MI",AI/ML/Data,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Portage-Michigan/Summer-2027-Internship---Data-Analytics---Michigan_R572601,2026-08-31,2026-08-31,2026-08-31T05:41:41+00:00,2026-08-30 22:41 Sun,Computer Vision,true,Keyword,46,keyword-only heuristic,false,simplify:Simplify Internships:a980e8b0-12fe-45eb-9fa2-697b990375e7
Stryker:80bdfcf1-83d4-4181-ac07-1b85ab062845,Stryker,Data Science Intern,Florida,AI/ML/Data,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Florida-Virtual-Address/Data-Science-Intern_R572731,2026-09-01,2026-09-01,2026-09-01T23:17:49+00:00,2026-09-01 16:17 Tue,Computer Vision,true,CLI,78,"The candidate strongly matches the technical, analytical, healthcare, Python, SQL-adjacent, and currently-enrolled graduate requirements, though their experience is concentrated in computer vision and engineering rather than business analytics, forecasting, Excel, and data visualization.",true,simplify:Simplify Internships:80bdfcf1-83d4-4181-ac07-1b85ab062845
Stryker:61029f11-ef86-4f8a-bf15-92d10b7cf4dc,Stryker,Electrical Engineer Intern,"Weston, FL",Hardware,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Weston-Florida/Electrical-Engineering-Intern---Weston--FL_R572740,2026-09-02,2026-09-02,2026-09-03T06:17:28+00:00,2026-09-02 23:17 Wed,,false,,,,false,simplify:Simplify Internships:61029f11-ef86-4f8a-bf15-92d10b7cf4dc
Stryker:1b786062-b616-4074-94c0-438a2b88231c,Stryker,Real-World Evidence Data Scientist Intern,Florida,AI/ML/Data,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Florida-Virtual-Address/RWE-Data-Scientist_R572954-1,2026-09-01,2026-09-01,2026-09-01T19:18:20+00:00,2026-09-01 12:18 Tue,AI / ML,true,Keyword,58,keyword-only heuristic,true,simplify:Simplify Internships:1b786062-b616-4074-94c0-438a2b88231c
Stryker:https://stryker.wd1.myworkdayjobs.com/en-US/strykercareers/job/Indiana-Fort-Wayne-1950-West-Cook-Road/Software-Development-Engineer_R570340,Stryker,Software Development Engineer,"Indiana, USA",,https://stryker.wd1.myworkdayjobs.com/en-US/strykercareers/job/Indiana-Fort-Wayne-1950-West-Cook-Road/Software-Development-Engineer_R570340,,,2026-08-19T13:18:27+00:00,2026-08-19 06:18 Wed,Software Engineering,true,Keyword,40,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:https://stryker.wd1.myworkdayjobs.com/en-US/strykercareers/job/Indiana-Fort-Wayne-1950-West-Cook-Road/Software-Development-Engineer_R570340
Stryker:3c6dc4c7-bd24-4215-a600-0d55a3952673,Stryker,Software Engineering Intern - Multiple Teams,"Fort Wayne, IN",Software,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Fort-Wayne-Indiana/Summer-2027-Internship---Software-Engineering---Indiana_R572631,2026-08-31,2026-08-31,2026-08-31T05:41:41+00:00,2026-08-30 22:41 Sun,,false,,,,false,simplify:Simplify Internships:3c6dc4c7-bd24-4215-a600-0d55a3952673
