job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Symbotic:/job/VNM-Ho-Chi-Minh/XMLNAME-3D-Web-Engineer_R7201-1,Symbotic,3D Web Engineer,VNM Ho Chi Minh,,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/VNM-Ho-Chi-Minh/XMLNAME-3D-Web-Engineer_R7201-1,Posted 30 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/VNM-Ho-Chi-Minh/XMLNAME-3D-Web-Engineer_R7201-1
Symbotic:/job/USA-Wilmington--MA---HQ/Accounts-Receivable-Specialist_R7247,Symbotic,Accounts Receivable Specialist,"USA Wilmington,  MA - HQ",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Wilmington--MA---HQ/Accounts-Receivable-Specialist_R7247,Posted 30+ Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Wilmington--MA---HQ/Accounts-Receivable-Specialist_R7247
Symbotic:/job/USA-Wilmington--MA---HQ/PCB-System-Architect_R6733,Symbotic,Advanced PCB System Designer,"USA Wilmington,  MA - HQ",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Wilmington--MA---HQ/PCB-System-Architect_R6733,Posted 30+ Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Wilmington--MA---HQ/PCB-System-Architect_R6733
Symbotic:/job/USA-Wilmington--MA---HQ/Advanced-Software-Engineer_R6999,Symbotic,Advanced Software Engineer,"USA Wilmington,  MA - HQ",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Wilmington--MA---HQ/Advanced-Software-Engineer_R6999,Posted 30+ Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Wilmington--MA---HQ/Advanced-Software-Engineer_R6999
Symbotic:/job/USA-Wilmington--MA---HQ/Advanced-Software-Engineer---Motion-Planning_R6739-1,Symbotic,Advanced Software Engineer - Motion Planning,"USA Wilmington,  MA - HQ",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Wilmington--MA---HQ/Advanced-Software-Engineer---Motion-Planning_R6739-1,Posted 30+ Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Wilmington--MA---HQ/Advanced-Software-Engineer---Motion-Planning_R6739-1
Symbotic:/job/USA-Remote--Travel/Associate--Customer-Success_R6873,Symbotic,"Associate, Customer Success",USA Remote & Travel,,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Remote--Travel/Associate--Customer-Success_R6873,Posted 30+ Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Remote--Travel/Associate--Customer-Success_R6873
Symbotic:/job/MX-Silao-Guanajuato/Senior-Automation-General-Manager_R6740,Symbotic,Automation General Manager,"MX Silao, Guanajuato",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/MX-Silao-Guanajuato/Senior-Automation-General-Manager_R6740,Posted 21 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/MX-Silao-Guanajuato/Senior-Automation-General-Manager_R6740
Symbotic:/job/USA-Cullman-AL/Automation-General-Manager_R7397-1,Symbotic,Automation General Manager,"USA Cullman, AL",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Cullman-AL/Automation-General-Manager_R7397-1,Posted 21 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Cullman-AL/Automation-General-Manager_R7397-1
Symbotic:/job/USA-Jackson-GA/Senior-Automation-General-Manager_R5134,Symbotic,Automation General Manager,"USA Jackson, GA",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Jackson-GA/Senior-Automation-General-Manager_R5134,Posted 30+ Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Jackson-GA/Senior-Automation-General-Manager_R5134
Symbotic:/job/USA-Wilmer-TX/Automation-General-Manager_R7356,Symbotic,Automation General Manager,"USA Wilmer, TX",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Wilmer-TX/Automation-General-Manager_R7356,Posted 25 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Wilmer-TX/Automation-General-Manager_R7356
Symbotic:/job/MX-Silao-Guanajuato/Automation-Maintenance-Manager_R6706,Symbotic,Automation Maintenance Manager,"MX Silao, Guanajuato",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/MX-Silao-Guanajuato/Automation-Maintenance-Manager_R6706,Posted 21 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/MX-Silao-Guanajuato/Automation-Maintenance-Manager_R6706
Symbotic:/job/USA-Wilmer-TX/Automation-Maintenance-Manager_R7357,Symbotic,Automation Maintenance Manager,"USA Wilmer, TX",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Wilmer-TX/Automation-Maintenance-Manager_R7357,Posted 25 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Wilmer-TX/Automation-Maintenance-Manager_R7357
Symbotic:/job/USA-Melrose-Park-IL/Automation-Maintenance-Technician_R7504,Symbotic,Automation Maintenance Technician,"USA Melrose Park, IL",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Melrose-Park-IL/Automation-Maintenance-Technician_R7504,Posted 8 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Melrose-Park-IL/Automation-Maintenance-Technician_R7504
Symbotic:/job/USA-Joliet-IL/Automation-Maintenance-Technician--All-Levels-_R7400,Symbotic,Automation Maintenance Technician (All Levels),"USA Joliet, IL",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Joliet-IL/Automation-Maintenance-Technician--All-Levels-_R7400,Posted 21 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Joliet-IL/Automation-Maintenance-Technician--All-Levels-_R7400
Symbotic:/job/USA-Tolleson-AZ/Automation-Maintenance-Technician--All-Levels-_R7542,Symbotic,Automation Maintenance Technician (All Levels),"USA Tolleson, AZ",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Tolleson-AZ/Automation-Maintenance-Technician--All-Levels-_R7542,Posted Yesterday,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Tolleson-AZ/Automation-Maintenance-Technician--All-Levels-_R7542
Symbotic:/job/USA-Joliet-IL/Automation-Maintenance-Technician-II_R6395-1,Symbotic,Automation Maintenance Technician II,"USA Joliet, IL",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Joliet-IL/Automation-Maintenance-Technician-II_R6395-1,Posted 30+ Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Joliet-IL/Automation-Maintenance-Technician-II_R6395-1
Symbotic:/job/USA-Tolleson-AZ/Automation-System-Operator_R7538,Symbotic,Automation System Operator,"USA Tolleson, AZ",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Tolleson-AZ/Automation-System-Operator_R7538,Posted Yesterday,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Tolleson-AZ/Automation-System-Operator_R7538
Symbotic:/job/USA-Remote--Travel/Bot-Field-Service-Maintenance-Technician_R6995,Symbotic,Bot Field Service Maintenance Technician,USA Remote & Travel,,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Remote--Travel/Bot-Field-Service-Maintenance-Technician_R6995,Posted 30+ Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Remote--Travel/Bot-Field-Service-Maintenance-Technician_R6995
Symbotic:/job/USA-Remote--Travel/Buyer--Spares---RSPL-_R7414,Symbotic,Buyer (Spares & RSPL),USA Remote & Travel,,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Remote--Travel/Buyer--Spares---RSPL-_R7414,Posted 18 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Remote--Travel/Buyer--Spares---RSPL-_R7414
Symbotic:/job/USA-Remote--Travel/Buyer--Steel-_R7535,Symbotic,Buyer (Steel),USA Remote & Travel,,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Remote--Travel/Buyer--Steel-_R7535,Posted 2 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Remote--Travel/Buyer--Steel-_R7535
Symbotic:/job/USA-Remote--Travel/Buyer--Warranty-_R7416,Symbotic,Buyer (Warranty),USA Remote & Travel,,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Remote--Travel/Buyer--Warranty-_R7416,Posted 18 Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Remote--Travel/Buyer--Warranty-_R7416
Symbotic:/job/USA-Wilmington--MA---HQ/Cash-Accountant_R7299,Symbotic,Cash Accountant,"USA Wilmington,  MA - HQ",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Wilmington--MA---HQ/Cash-Accountant_R7299,Posted 30+ Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Wilmington--MA---HQ/Cash-Accountant_R7299
Symbotic:/job/USA-Bethlehem-PA/Cell-Operator_R6681,Symbotic,Cell Operator,"USA Bethlehem, PA",,https://symbotic.wd504.myworkdayjobs.com/en-US/Symbotic/job/USA-Bethlehem-PA/Cell-Operator_R6681,Posted 30+ Days Ago,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,workday:Symbotic:/job/USA-Bethlehem-PA/Cell-Operator_R6681
