job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Synthesia:c2d3d3a8-f7b8-45f5-ad89-dba6ac14625c,Synthesia, ML Platform Engineer,Europe,Research and Development,https://jobs.ashbyhq.com/synthesia/c2d3d3a8-f7b8-45f5-ad89-dba6ac14625c,2026-06-25T14:06:22.368+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Synthesia:c2d3d3a8-f7b8-45f5-ad89-dba6ac14625c
Synthesia:1dbcb20a-3701-4ccb-830f-745e85c31ef7,Synthesia, Senior Digital Designer,Austin,Commercial,https://jobs.ashbyhq.com/synthesia/1dbcb20a-3701-4ccb-830f-745e85c31ef7,2026-07-10T18:18:56.972+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Synthesia:1dbcb20a-3701-4ccb-830f-745e85c31ef7
Synthesia:1079fffa-d583-4365-95f4-31013755fd1f,Synthesia,Accounts Receivable Analyst,Austin,Operations,https://jobs.ashbyhq.com/synthesia/1079fffa-d583-4365-95f4-31013755fd1f,2026-07-07T16:16:16.429+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Synthesia:1079fffa-d583-4365-95f4-31013755fd1f
Synthesia:b682f464-c147-48a3-8064-edd5df8cd512,Synthesia,Application Security Engineering Manager,Europe,Engineering,https://jobs.ashbyhq.com/synthesia/b682f464-c147-48a3-8064-edd5df8cd512,2026-06-09T14:24:16.129+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Synthesia:b682f464-c147-48a3-8064-edd5df8cd512
Synthesia:92ee6018-ab22-4c2c-9581-cd4b5077451b,Synthesia,Associate Scaled Customer Success Manager,Austin,Commercial,https://jobs.ashbyhq.com/synthesia/92ee6018-ab22-4c2c-9581-cd4b5077451b,2026-07-15T14:04:32.032+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Synthesia:92ee6018-ab22-4c2c-9581-cd4b5077451b
Synthesia:c511c8e2-a929-4b9c-af16-48f968fafc33,Synthesia,Creative Design Manager  ,Austin,Commercial,https://jobs.ashbyhq.com/synthesia/c511c8e2-a929-4b9c-af16-48f968fafc33,2026-07-07T13:32:04.756+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Synthesia:c511c8e2-a929-4b9c-af16-48f968fafc33
Synthesia:4a623825-93f9-4b90-b995-494f6cbf9a7f,Synthesia,Culture Editor,New York City,Marketing,https://jobs.ashbyhq.com/synthesia/4a623825-93f9-4b90-b995-494f6cbf9a7f,2026-04-18T23:20:42.864+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Synthesia:4a623825-93f9-4b90-b995-494f6cbf9a7f
Synthesia:5d1ba38a-d0bf-441c-94f6-e98b414dda1b,Synthesia,Culture Editor,London,Marketing,https://jobs.ashbyhq.com/synthesia/5d1ba38a-d0bf-441c-94f6-e98b414dda1b,2026-04-21T15:15:01.307+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Synthesia:5d1ba38a-d0bf-441c-94f6-e98b414dda1b
Synthesia:474ccf6f-388d-4ab8-a37d-b130585e41c8,Synthesia,Deal Strategy Analyst - EMEA,London,Commercial,https://jobs.ashbyhq.com/synthesia/474ccf6f-388d-4ab8-a37d-b130585e41c8,2026-05-19T22:31:54.111+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Synthesia:474ccf6f-388d-4ab8-a37d-b130585e41c8
Synthesia:661c1bb9-6aa6-4110-990a-c09ff0923e4e,Synthesia,Digital Designer,London,Commercial,https://jobs.ashbyhq.com/synthesia/661c1bb9-6aa6-4110-990a-c09ff0923e4e,2026-06-09T14:13:00.327+00:00,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Synthesia:661c1bb9-6aa6-4110-990a-c09ff0923e4e
