job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Tenstorrent University:4668185007,Tenstorrent University, Intern Software Engineer – Low Level SW Engineering,"Belgrade, Serbia",University,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4668185007,2026-07-20T17:43:49-04:00,2026-07-20T21:53:07+00:00,2026-07-20 14:53 Mon,,false,,,,false,greenhouse:Tenstorrent University:4668185007
Tenstorrent University:5164251007,Tenstorrent University,Acceleration Kernel Developer Intern,"Gdańsk, Pomeranian Voivodeship, Poland",University,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/5164251007,2026-07-10T20:55:11-04:00,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,greenhouse:Tenstorrent University:5164251007
Tenstorrent University:5106644007,Tenstorrent University,"Applied AI Intern, People Operations","Toronto, Ontario, Canada",University,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/5106644007,2026-07-10T20:55:11-04:00,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,greenhouse:Tenstorrent University:5106644007
Tenstorrent University:4955926007,Tenstorrent University,Chiplet Security Research Intern ,"Santa Clara, California, United States",University,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4955926007,2026-07-10T20:55:11-04:00,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,greenhouse:Tenstorrent University:4955926007
Tenstorrent University:4501134007,Tenstorrent University,CPU Core Performance Verification Intern - CPU/AI Hardware,"Austin, Texas, United States",University,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4501134007,2026-07-10T20:55:11-04:00,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,greenhouse:Tenstorrent University:4501134007
Tenstorrent University:4999339007,Tenstorrent University,Data Movement Architecture Intern,"Austin, Texas, United States; Fort Collins, Colorado, United States; North America; Santa Clara, California, United States",University,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4999339007,2026-07-10T20:55:11-04:00,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,Software Engineering,true,CLI,55,"The candidate is a strong MS-level CS/AI student with solid Python/C++ and performance-oriented engineering experience, but the role specifically targets computer architecture, data movement, RTL simulation, memory hierarchies, and CPU/accelerator modeling, where the resume shows limited direct evidence.",true,greenhouse:Tenstorrent University:4999339007
Tenstorrent University:4522665007,Tenstorrent University,Design Verification Software Intern,North America,University,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4522665007,2026-07-10T20:55:11-04:00,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,greenhouse:Tenstorrent University:4522665007
Tenstorrent University:5186884007,Tenstorrent University,Finance Operations Intern ,"Santa Clara, California, United States",University,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/5186884007,2026-07-23T14:29:51-04:00,2026-07-23T18:41:36+00:00,2026-07-23 11:41 Thu,,false,,,,false,greenhouse:Tenstorrent University:5186884007
Tenstorrent University:5065140007,Tenstorrent University,Inference Server – Product Software Intern,"Belgrade, Serbia",University,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/5065140007,2026-07-10T20:55:11-04:00,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,,false,,,,false,greenhouse:Tenstorrent University:5065140007
Tenstorrent University:5168459007,Tenstorrent University,Infrastructure and Platform Development Intern,"Gdańsk, Pomeranian Voivodeship, Poland; Warszawa, Masovian Voivodeship, Poland",University,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/5168459007,2026-07-10T20:55:11-04:00,2026-07-12T03:47:09+00:00,2026-07-11 20:47 Sat,Computer Vision,true,CLI,74,"Strong Python/C++ and Docker automation background with relevant testing and tooling experience, but the resume is more ML/CV-focused and lacks clear CI/CD, Kubernetes, release engineering, and hardware-platform infrastructure depth.",true,greenhouse:Tenstorrent University:5168459007
